CCR,response,actual,Prediction
"""for inputs for the join operator""",We already log the partition count for all sources and sink in `updateExistingPartitions` which happens prior to traversal. Were you looking for something else or would that suffice?,1,0
Seems like this filed is never used.,done,1,1
"Why the Accessors annotation?
The NoArgsConstructor can be switched over to RequiredArgsConstructor if the field is kept as final.",done,0,1
FLINK-5394 is fixed. So we can remove the changes here right?,OK,1,1
"As attachments are very very seldom in use, then this has negative performance impact. You should check via `hasAttachments` if any copying is needed.","Okay, should I apply this change to the out message as well?",1,1
"According to our code style, there should be blank lines between code lines within the same { } block.",done,0,1
"```suggestion
```",I wasn't able to remove it because the cipher doesn't get initiaalized successfully if it is removed,1,0
"Arrays.asList returns ArrayList, why to pass it into constructor of another ArrayList?",fixed,0,1
"Unfortunately this fix works only if `TestRegistration` is run by itself.  If all tests are run, then it still fails with the same error.

So I think it's best to return `(""ntpd"",)` for other platforms from `get_ntp_service`.",done,0,1
i think this _always_ holds.  The condition we're interested in is whether the casting was lossy.,"Agreed, but this test currently passes the extra test added.",1,1
Use a constant?,+,1,1
@sijie Is line 493 accurate?,OK,1,1
Document the parameters here.,Added,0,0
Add empty line before if().,fixed,0,1
Can you add a static util `readTimestampFieldFromSegments` to `SqlTimestamp`?,Sure,0,1
"I haven't fully thought about this approach yet in terms of the consequences of trying to wait for free memory as I've never tried to do it before but one thing that stands out to me is that there seems like there's always going to be a race condition here. Even if you wait and get the ok that there is memory to proceed by the time you continue and get to this line and go to allocate memory for the byte array there's no guarantee the JVM hasn't already allocated some of the memory you'd need for this to work in another thread. In fact, if you were right on the edge and barely had enough memory then I would think this could fail often with the JVM allocating memory in other threads. In practice though I don't know if that's true without testing but it seems a bit non deterministic since you don't have much control over the GC process and what other threads are doing.","I agree that it's not a perfect solution, it's an attempt at doing something. There are other options that could be added, like only check for free memory if the length is over some size. The problem we run into is that the tablet server is running N scans concurrently, JVM memory is under pressure, and it doesn't know that the next K/V it's going to read is going to create a very large (500MB, 1GB) Value object.",1,1
Open question: should this be a `MatchAction`? Does making this recursive make things too flexible?,Open question: should this be a `MatchAction`? Does making this recursive make things too flexible?,1,1
"If it's an error, then we should change the error message.","ups, yes :)",0,0
"```suggestion
     @cached_property
    def get_conn(self):
```
Then we don't need `self.connection` in constructor. WDYT?","For some reason, cached_property swallows exceptions thrown by this method.. Moreover, I don't think using special decorator really makes it simpler and/or more efficient in this case.",0,1
This one could also be `VarCharHolder[]`.,@vvysotskyi One thing to think about is that the input args may not be strings.  If I make this a `VarCharHolder` would that break things if the user tries to use an int field?,1,1
"while we are here, do we also want to bytes per request/response? ","I can do that in a follow-up PR, I just want to cover messageTypes for now (as we don't have any per-upstream metrics to begin with).",1,1
`tiersByDatasources` ?,@egor-ryashin ?,1,1
`fromSystemProperties`,"Sorry to ask another time Kenn but I dont get the rational, this is a very common strategy all config projects use, why would it break it?",1,1
"```suggestion
            Configuration options) {
```",done,1,0
don't record author in dubbo,fixed,1,1
the new reader could parse the old tsfile? like tsfile in 0.12 or 0.13?,"yes, it's compatible. I have confirm it with manager.",0,1
Delete or reenable this assertion check.,Done,0,0
"I think i would name this SharedMemoryHashMap or similar.  When I see ""SharedHashMap"" it reminds me too much of shared_ptr, and makes me think of ownership or concurrent access or something.",done,0,1
"Is this part of the test or is it only meant as clean up? If it is the latter, it can be removed. Before a test is started, the existing system is reset with `cy.initStreamPipesTest()`. If there were still StreamPipes resources in your tests, we should delete them. The code for the reset can be found in the class `ResetResource.java`. 
This ensures that all tests always have a clean environment, even if the previous test fails.
","This is only meant as clean up. And thanks for the reminder as I just saw that there's such a class. However, [ResetManagement's reset method](https://github.com/apache/streampipes/blob/a6d219a4c8f97c23e328454ed2cdc5da9c87c33f/streampipes-rest/src/main/java/org/apache/streampipes/rest/ResetManagement.java#L58C11-L58C11) only deletes all adapters, data lakes, and visualizations, whereas for this test, a new user is created. If the user is not deleted, then later E2E tests under `userManagement` will fail. I guess the only solution here would be to only delete the user in the clean up. What do you think?",0,1
@ashvina - any reason why --verbose is removed?,"@kramasamy The hard-coded verbose was resulting in a noisy and big log files. I will replace it with the runtime config options, possibly using the dynamic config option @nwangtw has proposed in #2747 ",1,1
"Would you please factor  the common logic to `assertBigDecimalLiteral(String inputText, String expectedOutputText)`?

That would make test much more readable (it won't include repeated `builder.makeExactLiteral...`), and the failure message would be much easier to understand.

Thanks.",Modified.,0,1
Do not wrap everything. Some of these are already osgi bundles like commons-logging and so on,I've identified the commons-logging and commons-lang3 as bundles. Not sure if I've got all of them now...,0,1
"I am not sure that using map.size() will return the same index of the field that is set inside the GenericSchemaImpl

IMHO we should only use the list of fields declared in GenericSchemaImpl and not handle a new Map","Yes, the field index may be inconsistent, but with JSON, field order in an Object does not matter, and it seems also true in AVRO ? Managing properly the indices after adding+removing a field involves a processing right before building the JsonGenericRecord, but is it really useful ?",0,1
"I think this should be done for binary sensor as well (it allows you to name your slave sensors and assign them to different areas etc),  but I am trying to keep this file targeted as I am not set up to test binary sensor. I will leave that for another dev.","I think this should be done for binary sensor as well (it allows you to name your slave sensors and assign them to different areas etc),  but I am trying to keep this file targeted as I am not set up to test binary sensor. I will leave that for another dev.",1,1
What the purpose to change this format?,Dynamic configs are exiting mechanism for passing configs into flink overwriting configs in flink-conf.yaml. The correct format requires a space between '-D' and the following key-value part. This change is just a fix of previous wrong format.,1,1
"I think i would name this SharedMemoryHashMap or similar.  When I see ""SharedHashMap"" it reminds me too much of shared_ptr, and makes me think of ownership or concurrent access or something.",done,0,1
"what will this save?
","what will this save?
",1,1
?,ok,1,1
Don't you need to check if `strategy` is not `ALWAYS_COMPATIBLE`?,"There is no need to check compatibility here. Because in checkConsumerCompatibility will judge. If it is ALWAYS_COMPATIBLE, it will not be called here.",0,1
can you document what these arrays are here,"My understanding is that @mroeschke would like to punt on group-by (and other) behaviors, which would avoid the need for this 3rd tuple item for the time being. If this is the agreed way to go, I'll go back to the original API here.",1,1
Where are these SQL Cases?,In sharding-sql-test/src/main/resources/sql/supported/dml/select-or.xml,1,1
"You could probably simplify this using `Arrays.binarySearch(array, key, comparator)`","The array component is BaseDimensionRangeShardSpec while the key is StringTuple, so I can not directly call Arrays.binarySearch",0,0
@chrisbreiding is there a better way to attach the user's error to this outer error?,@chrisbreiding is there a better way to attach the user's error to this outer error?,1,1
What side effects may this cause if we don't receive a new instance?,"The handlers have no mutation methods, so I don't see what side effects this would cause. I'd say a stateful handler would be a terrible implementation.",1,1
why this change? the old class is only meant for bwc where users are reflection-loading the class via FQCN. internal codebase should always use the new class.,fixed,0,1
"nit: LOG.info(""0 pages fetched for market-
{} on {}."", country, date) can be more efficient if INFO level logging is disabled.
","This LOG.info won't be called often, maybe 4~5 times per market per day. And the information is kind of valuable for now. Instead, I've removed logging in doQuery() at GoogleWebmasterDataFetcherImpl. They are too trivial to keep.
",0,0
This can be abbreviated to new TableRow().set(...).set(...),"I didn't know that could be done, changing, thanks!",0,0
Please add an entry for `lang/rust` too.,"So, nothing to do on doc ?",0,0
"This only was moved below to group tests for durations and periods, resp.","This only was moved below to group tests for durations and periods, resp.",0,0
