project,pullNumber,CCR,Author_response,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
accumulo,1851,A hard-coded date could of `1/4/21` could generate data that is very confusing when run at some point in the future.,You mean if the test were to ever print/log this data?,1,1,1,1,1,0,0,1,1,0,0,0,0
accumulo,2518,"Rather than allowing these types to be exposed in our SPI, why not refactor to avoid exposing the Hadoop types? Do we really need these types? Can we use our own analogous ones? Or can we avoid them entirely, deferring to the plugin implementor?","I removed Configuration in c377cb8. I don't really see an easy way to remove the others since the goal of the plugin is to provide a Codec / Compressor / Decompressor. If we internally were not using Hadoop Codecs, then I think this would be much easier to accomplish. Is that what you are suggesting, that we move the internal implementation away from Hadoop Codecs?",1,1,1,1,1,0,0,0,1,0,0,0,0
accumulo,868,"What about always checking if these are non-null and stopping them if they are?

Checking the configuration for the property (while it should always be accurate) has the potential to introduce a bug where we could just check everything and be certain it's all stopped.","I am not sure what you are asking.  Are you saying, kill the timer watch threads once the replication.name is set?",1,1,1,1,1,0,0,0,0,1,1,0,0
accumulo,2255,"This might be able to be simplified by just using the substring method. Also it doesn't seem like this accounts for strings where there are more than 2 ':' characters (not sure if that will ever be the case), for example `a:c:d:e` would be sent to the `else` branch and possibly handled incorrectly. ",so if we go the cf and cq route do we get rid of -c or keep it ?,1,1,1,1,1,0,0,1,0,0,1,1,0
activemq,679,@mattrpav per your comment it also appears `isPassiveSlave` is not used. We could also remove this it seems like?,@mattrpav per your comment it also appears `isPassiveSlave` is not used. We could also remove this it seems like?,1,1,1,1,1,1,0,0,1,0,0,0,0
activemq-artemis,1775,"please make this an enum so it can be set to null, DURABLE or NON-DURABLE, currently this is just true or false, and overrides the durablitly no matter what in code as whilst in the XML parser it reads Boolean later in code its just operating on boolean. (default behaviour should be existing behaviour) ","Please, would you be so patient and explain me, how to do this? I have implemented enum (in latest commit), but I don't think so it is what you intended.",1,1,1,1,1,0,1,1,0,0,0,0,0
activemq-artemis,2666,You can create directly the FileChannel without using FileInputStream,Could you elaborate this? I thought FileChannel can only be created by FileInputStream/FileOutputStream/RandomAccessFile.,1,1,1,1,1,0,0,1,0,0,1,1,0
activemq-artemis,2666,You don't need the buffer parameter here: we already have an API to write just buffers: just create a specific API for the file case,"Do you mean we call write twice, first write buffer api, second new write file api in channel::send()? This way we will call netty channel::writeAndFlush twice, right?",1,1,1,0,1,0,0,1,0,0,1,0,0
ambari,951,"Would it be possible to test this without guice, just by passing the dependencies via constructor?",We need Guice anyway...either the field would be injected or the constructor...how else would you get `TopologyHolder`? Please note this a Singleton scoped Guice bean.,1,1,1,0,1,0,0,1,0,0,1,0,0
ambari,476,"Since this is a part of the constructor, care should be taken to allow for nulls for a background operation lets say that is not initiated by a user.","AuthorizationHelper.getAuthenticatedName() returned ""internal"" in such cases, as far as I could see. 
Should I just allow nulls?
Should I move the AuthorizationHelper.getAuthenticatedName() call out of the constructor? ",1,1,1,0,1,0,0,1,1,0,1,0,0
ansible_ansible,49432,"Just for clarity when reading the code, this should probably be broken out into multiple lines. It's a bit too long for a simple ternary (imo).","Would this be more appropriate ?
```
if task.check_mode or (task.check_mode is None and context.CLIARGS['check']):
  checkmsg = "" [CHECK MODE]""  
else 
  checkmsg = """"
```


I prefer the compact one line form for such a simple assignment statement. Also there are other long lines e.g.
```
if (self._display.verbosity > 2 or '_ansible_verbose_always' in result._result) and '_ansible_verbose_override' not in result._result:
```",1,1,1,0,0,0,1,1,0,0,1,0,0
ansible_ansible,54235,Requirements for individual integration tests should be installed during the test.,I mean where I would to add dependencies.,1,1,1,0,1,0,0,0,1,1,0,0,1
apex-core,445,Why is it necessary to have an attribute for this. Back pressure should work automatically.,"@vrozov I don't quite understand your example. If it is aggregation won't the operator emit less data. Do you mean like accumulation into a big collection as opposed to aggregation? Also, having back pressure doesn't mean no spooling, data can still get spooled once the subscribers have read the data. 

If we have back pressure as a per port setting, the first operator in the graph traversing from the input, that has the setting turned on will get blocked and its upstream operators will move forward and continue to process data. I don't see a big benefit to this as opposed to turning it off at a DAG level as the application would be pulling data in from the input source anyway.",1,1,1,0,1,1,1,1,1,0,1,1,0
avro,1565,Sort the list plz,Alphabetical?  Would you also like me to make a comment in there to say that it should be sorted in a certain way?,1,0,1,0,1,0,0,0,1,0,0,1,0
avro,133,"this might break the usage of GetName in exisitng usage.
Not sure if we would want to make the function an internal use only.
","I wasn't 100% sure on this one, because `get_name` is already a function. When I did a usage search for `GetName`, the usages looked to be all within this file. When I searched for `get_name`, it seemed like other modules were using it.

Being that the existing `get_name` function delegates to this one, I think the functionality is still available for external use.

Does that seem appropriate to you? What are your thoughts?
",1,1,0,0,1,0,1,1,0,0,1,0,0
beam,951,"Are you able to look at the failure reason in addition to checking job state?

This way it closes a race condition where the job reaches a terminal condition between the fetching state and cancel calls
","Do you mean that look at the IOException from execute() calls? Got confused how it will help to stop the race condition since the race condition is already happened. Or the ""failure reason"" means other messages?
",1,1,1,0,1,0,1,1,0,0,0,0,0
beam,25824,How will these jars get staged for runtime ?,"I'm not sure I understand your question entirely.

These jars should be staged in each worker when the datasource is built",1,1,1,0,1,0,0,1,0,1,0,0,0
