project,pull,author,reviewer,CCR,Prediction,Merge
gobblin,1888,arjun4084346,ibuenros,"Please don't include azkaban specific stuff here. Instead, add it at the `RootMetricContext` level, in that case it will be an automatic tag everywhere.",0,True
ignite,7813,rkondakov,gvvinblade,Move `Commons.comparator(..)` code into `ExpressionFactory.comparator(..)` method,0,False
nifi,5028,Lehel44,turcsanyip,These methods create new instances so I would rather call them `create***Instance()` instead of `get***Instance`.,1,False
flink,6889,yanghua,pnowojski,"Sorry for previous comment, I've just realised that naming it `Kafka 0.11+ Connector` is a bit inconsistent since everywhere else we are claiming support for `>= 1.0.0"". So maybe change this section to `## Kafka 1.0.0+ Connector`?",1,True
kafka,1830,arrawatia,ijuma,"There should be no `unit` here.
",1,False
seatunnel,1836,legendtkl,ruanwenjun,"```suggestion
    static Optional<Pair<String, String>> parseSetOperation(String stmt) {
```",0,True
bookkeeper,1436,eolivelli,sijie,"This will become unmanageable. We ended up adding getWriteSetFor for different type of requests. I would suggest: renaming `getWriteSetForLongPoll` to `getEnsembleWriteSet`, because those requests are required to send to the whole ensemble.
",0,False
beam,9607,soyrice,Hannah-Jiang,"Let's add a link to `base_image_requirements.txt`, which is
`https://github.com/apache/beam/blob/master/sdks/python/container/base_image_requirements.txt`",0,True
flink,8416,azagrebin,zentol,a bunch of these can be final,1,True
pulsar,19364,nicoloboschi,eolivelli,"is archivePath.toFile().getAbsolutePath() potentially performing some IO operation ? (metadata access?)

probably archivePath.toString() is enough in this context",1,True
hadoop,3618,9uapaw,brumi1024,"Where does 10 GB / 10 vcore come from? The setup method has: 100 * 16 * GB, 100 * 32 vcore",1,False
flink,12065,danny0405,wuchong,"```suggestion
		thrown.expect(containsCause(new ValidationException(""Option 'csv.quote-character' must be a Character."")));
```",0,False
gobblin,2184,autumnust,ibuenros,What's the purpose of this log?,1,False
geode,5348,albertogpz,jinmeiliao,"Small typo here, I think this should be ""canProcessRegionQueuesWhenHARegionQueueIsNotInitialized'",1,False
nifi,5195,Lehel44,tpalfy,This doesn't throw any exception so it would be okay to inline it and remove the `getPropertyAsBoolean` altogether.,1,False
phoenix,234,rahulsIOT,joshelser,"Strike this and others, please. Consider adding some meaningful class-level javadoc :)",0,False
camel,2143,aasingh,oscerd,This documentation come from the Javadoc so you have to edit the Java Code comments and then rebuild the module,0,False
beam,8290,amaliujia,amaliujia,"I wonder if it would be better if we have the `CommonLoadTestConfiguration`, streaming testing job and batch testing job in one file? We can create multiple jobs in one file. They could reuse `CommonLoadTestConfiguration` the same way but without the need to import it. The config would also remain hidden for the load tests only - after all we wouldn't want other (non load-test) jobs to be able to import this. WDYT?",1,True
