project,pullNumber,CCR,author,merged
gobblin,1888,"Please don't include azkaban specific stuff here. Instead, add it at the `RootMetricContext` level, in that case it will be an automatic tag everywhere.",arjun4084346,True
ignite,7813,Move `Commons.comparator(..)` code into `ExpressionFactory.comparator(..)` method,rkondakov,False
nifi,5028,These methods create new instances so I would rather call them `create***Instance()` instead of `get***Instance`.,Lehel44,False
flink,6889,"Sorry for previous comment, I've just realised that naming it `Kafka 0.11+ Connector` is a bit inconsistent since everywhere else we are claiming support for `>= 1.0.0"". So maybe change this section to `## Kafka 1.0.0+ Connector`?",yanghua,True
kafka,1830,"There should be no `unit` here.
",arrawatia,False
seatunnel,1836,"```suggestion
    static Optional<Pair<String, String>> parseSetOperation(String stmt) {
```",legendtkl,True
bookkeeper,1436,"This will become unmanageable. We ended up adding getWriteSetFor for different type of requests. I would suggest: renaming `getWriteSetForLongPoll` to `getEnsembleWriteSet`, because those requests are required to send to the whole ensemble.
",eolivelli,False
beam,9607,"Let's add a link to `base_image_requirements.txt`, which is
`https://github.com/apache/beam/blob/master/sdks/python/container/base_image_requirements.txt`",soyrice,True
flink,8416,a bunch of these can be final,azagrebin,True
pulsar,19364,"is archivePath.toFile().getAbsolutePath() potentially performing some IO operation ? (metadata access?)

probably archivePath.toString() is enough in this context",nicoloboschi,True
hadoop,3618,"Where does 10 GB / 10 vcore come from? The setup method has: 100 * 16 * GB, 100 * 32 vcore",9uapaw,False
flink,12065,"```suggestion
		thrown.expect(containsCause(new ValidationException(""Option 'csv.quote-character' must be a Character."")));
```",danny0405,False
gobblin,2184,What's the purpose of this log?,autumnust,False
geode,5348,"Small typo here, I think this should be ""canProcessRegionQueuesWhenHARegionQueueIsNotInitialized'",albertogpz,False
nifi,5195,This doesn't throw any exception so it would be okay to inline it and remove the `getPropertyAsBoolean` altogether.,Lehel44,False
phoenix,234,"Strike this and others, please. Consider adding some meaningful class-level javadoc :)",rahulsIOT,False
camel,2143,This documentation come from the Javadoc so you have to edit the Java Code comments and then rebuild the module,aasingh,False
beam,8290,"I wonder if it would be better if we have the `CommonLoadTestConfiguration`, streaming testing job and batch testing job in one file? We can create multiple jobs in one file. They could reuse `CommonLoadTestConfiguration` the same way but without the need to import it. The config would also remain hidden for the load tests only - after all we wouldn't want other (non load-test) jobs to be able to import this. WDYT?",amaliujia,True
flink,14292,"```suggestion
Versioned tables are defined implicitly for any tables whose underlying sources or formats directly define changelogs. Examples include the [upsert Kafka]({% link dev/table/connectors/upsert-kafka.md %}) source as well as database changelog formats such as [debezium]({% link dev/table/connectors/formats/debezium.md %}) and [canal]({% link dev/table/connectors/formats/canal.md %}). As discussed above, the only additional requirement is the `CREATE` table statement must contain a primary key and an event-time attribute. 
```",sjwiesman,True
cassandra-java-driver,1172,"I think `onAbort` might be a better name for this, and it would be worth adding a javadoc comment to explain that this is what happens when the policy has decided to stop reconnecting.",GregBestland,False
flink,14312,"Now we can remove this and make the constructor `public`, right?",aljoscha,False
hive,3433,"Java String accepts int parameters only
https://docs.oracle.com/javase/8/docs/api/java/lang/String.html#substring-int-int-

How about creating a common `evaluate` which receives int parameters and both the `LongWritable` and `IntWritable` version call it?

```
public Text evaluate(Text t, IntWritable pos, IntWritable len) {

    if ((t == null) || (pos == null) || (len == null)) {
      return null;
    }

   return evaluate(t, pos.get(), len.get());
}
  
public Text evaluate(Text t, LongWritable pos, LongWritable len) {

    if ((t == null) || (pos == null) || (len == null)) {
      return null;
    }

   // Handle long int overflow
   return evaluate(t, (int)pos.get(), (int)len.get());
}

private Text evaluate(Text t, int pos, int len) {
...
}
```",scarlin-cloudera,True
incubator-kie-optaplanner,1892,"```suggestion
     * {@link ProblemChange#doChange(Object, ProblemChangeDirector)} method implementation.
```",rsynek,False
linkis,4784,can use props value?,lenoxzhao,True
iotdb,826,"```suggestion
1. 如果该节点是叶子节点，则直接返回节点中包含的路径，进入步骤2.
```",SilverNarcissus,True
beam,3386,Make this a member variable that's automatically initialized for each test case?,app-tarush,False
ozone,385,We should also handle cases where the `startKey` doesn't match the given prefix.,cxorm,True
