Pull,Path,Diff_hunk,Comment
154,core/src/main/java/org/apache/accumulo/core/cli/ClientOpts.java,"@@ -92,6 +94,20 @@ public Password(String dfault) {
     public String toString() {
       return new String(value, UTF_8);
     }
+
+    /**
+     * Prompts user for a password
+     *
+     * @return user entered Password object, null if no console exists
+     */
+    public static Password promptUser() throws IOException {
+      if (System.console() == null) {
+        return null;","[{'comment': ""I'm thinking that throwing an exception here would be more clear. This method cannot properly function as the caller expected, so they should get a clear exception in this case (not just a null return value).\n"", 'commenter': 'joshelser'}, {'comment': 'Fixed in 895591c\n', 'commenter': 'milleruntime'}]"
154,core/src/main/java/org/apache/accumulo/core/cli/ClientOpts.java,"@@ -142,11 +158,22 @@ public AuthenticationToken getToken() {
       }
     }
 
-    if (securePassword != null)
-      return new PasswordToken(securePassword.value);
-
-    if (password != null)
-      return new PasswordToken(password.value);
+    // other token types should have resolved by this point, so return PasswordToken
+    Password pass = null;
+    if (securePassword != null) {
+      pass = securePassword;
+    } else if (password != null) {
+      pass = password;
+    } else {
+      try {
+        pass = Password.promptUser();
+      } catch (IOException e) {
+        throw new RuntimeException(e);
+      }
+    }
+    if (pass != null) {","[{'comment': 'This becomes simpler too. Either we throw an RTE from the attempt to get a password, or we create a `PasswordToken` with the results. This method always gets to return a non-null value (woo!).\n', 'commenter': 'joshelser'}, {'comment': 'I had something like that before running tests. [TestClientOpts.test ](https://github.com/apache/accumulo/blob/master/core/src/test/java/org/apache/accumulo/core/cli/TestClientOpts.java#L69) expects for that method and ones that call it to return null.\n', 'commenter': 'milleruntime'}, {'comment': ""That's a weird test. I feel like the `fail()` is the expected execution path (e.g. it's asserting that `getPrincipal()` throw an exception) and the `assertNull()` is an afterthought? I wouldn't be too worried about making sure the tests pass exactly as-is. This isn't public API, so the semantics are likely not well-defined.\n"", 'commenter': 'joshelser'}, {'comment': ""OK I like removing the null return. If I get rid of the try/catch, I'd have to make getToken() throw IOException which will touch a bunch of files. \n"", 'commenter': 'milleruntime'}, {'comment': 'I will keep the try catch but remove the check for null\n', 'commenter': 'milleruntime'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/OrIterator.java,"@@ -80,6 +80,19 @@ public int compareTo(TermSource o) {
       // sorted after they have been determined to be valid.
       return this.iter.getTopKey().compareColumnQualifier(o.iter.getTopKey().getColumnQualifier());
     }
+
+    @Override
+    public void close() throws Exception {
+      this.iter.close();
+    }
+
+    public void closeSafely() {","[{'comment': 'why redifine this if its defined in interface?\n', 'commenter': 'keith-turner'}, {'comment': 'I made TermSource just implement AutoCloseable.  But I could make it implement SKVI instead\n', 'commenter': 'milleruntime'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/system/SourceSwitchingIterator.java,"@@ -213,4 +221,13 @@ public void setInterruptFlag(AtomicBoolean flag) {
       source.setInterruptFlag(flag);
     }
   }
+
+  @Override
+  public void close() throws Exception {
+    copies.forEach(ssi -> ssi.closeSafely());","[{'comment': 'this may need to sync on copies\n', 'commenter': 'keith-turner'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/user/IntersectingIterator.java,"@@ -110,6 +111,19 @@ public TermSource(SortedKeyValueIterator<Key,Value> iter, Text term, boolean not
     public String getTermString() {
       return (this.term == null) ? ""Iterator"" : this.term.toString();
     }
+
+    @Override
+    public void close() throws Exception {
+      this.iter.close();
+    }
+
+    public void closeSafely() {","[{'comment': 'why override default impl in interface?\n', 'commenter': 'keith-turner'}, {'comment': 'Same as the OrIterator.. I made TermSource just implement AutoCloseable. But I could make it implement SKVI instead\n', 'commenter': 'milleruntime'}]"
159,core/src/main/java/org/apache/accumulo/core/client/ClientSideIteratorScanner.java,"@@ -257,26 +257,19 @@ public void setSource(final Scanner scanner) {
       tm.put(iterInfo.getPriority(), iterInfo);
     }
 
-    SortedKeyValueIterator<Key,Value> skvi;
-    try {
-      skvi = IteratorUtil.loadIterators(smi, tm.values(), serverSideIteratorOptions, new ClientSideIteratorEnvironment(getSamplerConfiguration() != null,
-          getIteratorSamplerConfigurationInternal()), false, null);
-    } catch (IOException e) {
-      throw new RuntimeException(e);
-    }
+    try (SortedKeyValueIterator<Key,Value> skvi = IteratorUtil.loadIterators(smi, tm.values(), serverSideIteratorOptions, new ClientSideIteratorEnvironment(
+        getSamplerConfiguration() != null, getIteratorSamplerConfigurationInternal()), false, null)) {
 
-    final Set<ByteSequence> colfs = new TreeSet<>();
-    for (Column c : this.getFetchedColumns()) {
-      colfs.add(new ArrayByteSequence(c.getColumnFamily()));
-    }
+      final Set<ByteSequence> colfs = new TreeSet<>();
+      for (Column c : this.getFetchedColumns()) {
+        colfs.add(new ArrayByteSequence(c.getColumnFamily()));
+      }
 
-    try {
       skvi.seek(range, colfs, true);
-    } catch (IOException e) {
+      return new IteratorAdapter(skvi);
+    } catch (Exception e) {","[{'comment': 'This will catch exceptions that extend RuntimeException and rethrow them as a different exception. Seems very undesirable.\n\nLooks like this is because of AutoCloseable. I think we need to do something a little smarter.\n', 'commenter': 'joshelser'}, {'comment': 'Quick fix is to just put a `} catch (RuntimeException e) { throw e; }` bit above the catch-all for `Exception`.\n', 'commenter': 'ctubbsii'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/OrIterator.java,"@@ -249,4 +268,9 @@ final public boolean hasTop() {
   public void init(SortedKeyValueIterator<Key,Value> source, Map<String,String> options, IteratorEnvironment env) throws IOException {
     throw new UnsupportedOperationException();
   }
+
+  @Override
+  public void close() throws Exception {
+    sources.forEach(s -> s.closeSafely());
+  }","[{'comment': ""I think it's probably rare to have multiple sources, and this is really the only value of closeSafely. I think maybe we shouldn't have closeSafely at all, because it forces implementations to think implement it safely, and also they must decide when it's appropriate to use it when closing their sources.\n\nInstead of having that, we should probably just do something special here in the case of multiple sources, to handle and aggregate exceptions from multiple sources.\n"", 'commenter': 'ctubbsii'}, {'comment': ""I agree.  My original thinking was to define closeSafely in the interface for coveinent use with Java 1.8.  But you are right, having multiple sources is a special case so it shouldn't be in the interface.\n"", 'commenter': 'milleruntime'}, {'comment': 'For exception handling of multiple sources, you thinking of not using forEach and going old school loop?\n', 'commenter': 'milleruntime'}, {'comment': 'Probably, yeah. If any one throws an exception, you can remember that, and either aggregate them into a single exception to throw at the end, or just propagate the last one seen.\n', 'commenter': 'ctubbsii'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/SortedKeyValueIterator.java,"@@ -147,4 +147,25 @@
    *              if not supported.
    */
   SortedKeyValueIterator<K,V> deepCopy(IteratorEnvironment env);
+
+  /**
+   * Closes the Iterator. This must be overridden by the implementing class that has access to <tt>SortedKeyValueIterator source</tt> provided in the
+   * <tt>init</tt> method.
+   */
+  @Override
+  default void close() throws Exception {","[{'comment': 'Is it useful to keep the Exception generic, or should we narrow the Exception type on the interface?\n', 'commenter': 'ctubbsii'}, {'comment': ""IOException? FileSKVIterator's override of close for AutoCloseable throws IOException...\n"", 'commenter': 'milleruntime'}, {'comment': ""Not sure. IOException might make the most sense, or a custom one, SKVICloseException (for example... but not that, because that's awful).\n"", 'commenter': 'ctubbsii'}, {'comment': 'After some discussion with @ctubbsii and @keith-turner, we were thinking of removing the ""throws Exception"".  We came to the conclusion that we don\'t want to assume that the close will throw an exception. This will require removing the IOException throws from FileSKVIterator.close and modifying its implementing classes to handle the IOException.  What do you think @joshelser ?\n', 'commenter': 'milleruntime'}]"
159,core/src/main/java/org/apache/accumulo/core/iterators/SortedKeyValueIterator.java,"@@ -147,4 +147,13 @@
    *              if not supported.
    */
   SortedKeyValueIterator<K,V> deepCopy(IteratorEnvironment env);
+
+  /**
+   * Closes the Iterator. This must be overridden by the implementing class that has access to <tt>SortedKeyValueIterator source</tt> provided in the","[{'comment': 'This should say ""should be overridden"". Or it should say that it ""is expected that"". Clearly it\'s not a ""must"" situation, since the default method does exist, and allows them to avoid it. This could cause problems mixing legacy iterators with new iterators, as the new ones will be expected to be closed, but the legacy ones won\'t close them.\n', 'commenter': 'ctubbsii'}, {'comment': 'fixed in ea2e2ae7f10ac950c87e7ff1cb5d7de169ef8974\n', 'commenter': 'milleruntime'}]"
159,server/base/src/main/java/org/apache/accumulo/server/util/FileUtil.java,"@@ -163,15 +163,15 @@ private static Path createTmpDir(AccumuloConfiguration acuConf, VolumeManager fs
         try {
           if (reader != null)
             reader.close();
-        } catch (IOException e) {
+        } catch (Exception e) {","[{'comment': ""Are these still needed if the reader can't throw?\n"", 'commenter': 'ctubbsii'}, {'comment': ""No they are not needed for compilation but since the code was failing quietly before, I didn't want to introduce an exception to classes that use FileUtil.\n"", 'commenter': 'milleruntime'}, {'comment': 'Should these just catch RuntimeException, then? Or does this reader still throw checked exceptions, too?\n', 'commenter': 'ctubbsii'}, {'comment': ""Changed to just catch RuntimeException and I also found places where MultiIterator wasn't being closed in 38049d4d5a655915c89eeb6a5635572967d12118\n"", 'commenter': 'milleruntime'}]"
