Pull,Path,Diff_hunk,Comment
791,artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/XmlDataImporter.java,"@@ -444,33 +444,59 @@ private void processMessageBody(Message message) throws XMLStreamException, IOEx
          }
       }
       reader.next();
+      ActiveMQServerLogger.LOGGER.debug(""XMLStreamReader impl: "" + reader);","[{'comment': 'use  if (log.isDebug()) log.debug(...)\n\nAnd get a logger for this class.\n\nThis is change I have made in all the longer not long ago.\n', 'commenter': 'clebertsuconic'}]"
791,artemis-cli/src/main/java/org/apache/activemq/artemis/cli/commands/tools/XmlDataImporter.java,"@@ -444,33 +444,59 @@ private void processMessageBody(Message message) throws XMLStreamException, IOEx
          }
       }
       reader.next();
+      ActiveMQServerLogger.LOGGER.debug(""XMLStreamReader impl: "" + reader);
       if (isLarge) {
          tempFileName = UUID.randomUUID().toString() + "".tmp"";
          ActiveMQServerLogger.LOGGER.debug(""Creating temp file "" + tempFileName + "" for large message."");
          try (OutputStream out = new FileOutputStream(tempFileName)) {
-            while (reader.hasNext()) {
-               if (reader.getEventType() == XMLStreamConstants.END_ELEMENT) {
-                  break;
-               }
-               else {
-                  String characters = new String(reader.getTextCharacters(), reader.getTextStart(), reader.getTextLength());
-                  String trimmedCharacters = characters.trim();
-                  if (trimmedCharacters.length() > 0) { // this will skip ""indentation"" characters
-                     byte[] data = decode(trimmedCharacters);
-                     out.write(data);
-                  }
-               }
-               reader.next();
-            }
+            getMessageBodyBytes(new MessageBodyBytesProcessor() {
+               @Override
+               public void processBodyBytes(byte[] bytes) throws IOException {
+                  out.write(bytes);
+               }
+            });
          }
          FileInputStream fileInputStream = new FileInputStream(tempFileName);
          BufferedInputStream bufferedInput = new BufferedInputStream(fileInputStream);
          ((ClientMessage) message).setBodyInputStream(bufferedInput);
       }
       else {
-         reader.next(); // step past the ""indentation"" characters to get to the CDATA with the message body
-         String characters = new String(reader.getTextCharacters(), reader.getTextStart(), reader.getTextLength());
-         message.getBodyBuffer().writeBytes(decode(characters.trim()));
+         getMessageBodyBytes(new MessageBodyBytesProcessor() {
+            @Override
+            public void processBodyBytes(byte[] bytes) throws IOException {
+               message.getBodyBuffer().writeBytes(bytes);
+            }
+         });
+      }
+   }
+
+   /**
+    * Message bodies are written to XML as Base64 encoded CDATA elements. Some parser implementations won't read the
+    * entire CDATA element at once (e.g. Woodstox) so it's possible for multiple CDATA events to be combined into a
+    * single Base64 encoded string.  You can't decode bits and pieces of each CDATA.  Each CDATA has to be decoded in
+    * its entirety.
+    *
+    * @param processor used to deal with the decoded CDATA elements
+    * @throws IOException
+    * @throws XMLStreamException
+    */
+   private void getMessageBodyBytes(MessageBodyBytesProcessor processor) throws IOException, XMLStreamException {
+      int currentEventType;
+      StringBuilder cdata = new StringBuilder();
+      while (reader.hasNext()) {
+         currentEventType = reader.getEventType();
+         if (currentEventType == XMLStreamConstants.END_ELEMENT) {
+            break;
+         }
+         // when we hit a CHARACTERS event we know that the entire CDATA is complete so decode and pass back to the processor
+         else if (currentEventType == XMLStreamConstants.CHARACTERS && cdata.length() > 0) {","[{'comment': ""JDK's STAX implementation reports CDATA sections also as XMLStreamConstants.CHARACTERS (instead of XMLStreamConstants.CDATA like Woodstox does) by default. So this condition needs to additionally check that the text contains white spaces only. Probably reader.isWhiteSpace() should do.\n"", 'commenter': 'TomasHofman'}, {'comment': ""Although the problem would only occur if JDK's STAX implementation happened to fragment the the CDATA, which it (probably?) doesn't do. So it may be OK how it is.\n"", 'commenter': 'TomasHofman'}, {'comment': 'I think isWhiteSpace() is better.  Good idea!\n', 'commenter': 'jbertram'}]"
839,artemis-server-osgi/src/main/java/org/apache/activemq/artemis/osgi/OsgiBroker.java,"@@ -1,223 +1,252 @@
-/*
- * Licensed to the Apache Software Foundation (ASF) under one or more
- * contributor license agreements. See the NOTICE file distributed with
- * this work for additional information regarding copyright ownership.
- * The ASF licenses this file to You under the Apache License, Version 2.0
- * (the ""License""); you may not use this file except in compliance with
- * the License. You may obtain a copy of the License at
- *
- *     http://www.apache.org/licenses/LICENSE-2.0
- *
- * Unless required by applicable law or agreed to in writing, software
- * distributed under the License is distributed on an ""AS IS"" BASIS,
- * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
- * See the License for the specific language governing permissions and
- * limitations under the License.
- */
-package org.apache.activemq.artemis.osgi;
-
-import java.io.File;
-import java.lang.management.ManagementFactory;
-import java.util.ArrayList;
-import java.util.Dictionary;
-import java.util.Enumeration;
-import java.util.HashMap;
-import java.util.HashSet;
-import java.util.Hashtable;
-import java.util.List;
-import java.util.Map;
-import java.util.Set;
-
-import org.apache.activemq.artemis.api.core.Interceptor;
-import org.apache.activemq.artemis.api.core.TransportConfiguration;
-import org.apache.activemq.artemis.core.config.FileDeploymentManager;
-import org.apache.activemq.artemis.core.config.impl.FileConfiguration;
-import org.apache.activemq.artemis.core.remoting.impl.netty.TransportConstants;
-import org.apache.activemq.artemis.core.server.ActiveMQComponent;
-import org.apache.activemq.artemis.core.server.ActiveMQServer;
-import org.apache.activemq.artemis.jms.server.config.impl.FileJMSConfiguration;
-import org.apache.activemq.artemis.spi.core.protocol.ProtocolManagerFactory;
-import org.apache.activemq.artemis.spi.core.security.ActiveMQJAASSecurityManager;
-import org.osgi.framework.BundleContext;
-import org.osgi.framework.ServiceRegistration;
-import org.osgi.service.component.ComponentContext;
-import org.osgi.service.component.annotations.Activate;
-import org.osgi.service.component.annotations.Component;
-import org.osgi.service.component.annotations.ConfigurationPolicy;
-import org.osgi.service.component.annotations.Deactivate;
-import org.osgi.util.tracker.ServiceTracker;
-
-@SuppressWarnings({""unchecked"", ""rawtypes""})
-@Component(configurationPid = ""org.apache.activemq.artemis"", configurationPolicy = ConfigurationPolicy.REQUIRE)
-public class OsgiBroker {
-
-   private String name;
-   private String configurationUrl;
-   private String rolePrincipalClass;
-   private Map<String, ActiveMQComponent> components;
-   private Map<String, ServiceRegistration<?>> registrations;
-   private ServiceTracker tracker;
-
-   @Activate
-   public void activate(ComponentContext cctx) throws Exception {
-      final BundleContext context = cctx.getBundleContext();
-      final Dictionary<String, Object> properties = cctx.getProperties();
-      configurationUrl = getMandatory(properties, ""config"");
-      name = getMandatory(properties, ""name"");
-      rolePrincipalClass = (String) properties.get(""rolePrincipalClass"");
-      String domain = getMandatory(properties, ""domain"");
-      ActiveMQJAASSecurityManager security = new ActiveMQJAASSecurityManager(domain);
-      if (rolePrincipalClass != null) {
-         security.setRolePrincipalClass(rolePrincipalClass);
-      }
-      String brokerInstance = null;
-      String karafDataDir = System.getProperty(""karaf.data"");
-      if (karafDataDir != null) {
-         brokerInstance = karafDataDir + ""/artemis/"" + name;
-      }
-
-      // todo if we start to pullout more configs from the main config then we
-      // should pull out the configuration objects from factories if available
-      FileConfiguration configuration = new FileConfiguration();
-      if (brokerInstance != null) {
-         configuration.setBrokerInstance(new File(brokerInstance));
-      }
-      FileJMSConfiguration jmsConfiguration = new FileJMSConfiguration();
-
-      FileDeploymentManager fileDeploymentManager = new FileDeploymentManager(configurationUrl);
-      fileDeploymentManager.addDeployable(configuration).addDeployable(jmsConfiguration).readConfiguration();
-
-      components = fileDeploymentManager.buildService(security, ManagementFactory.getPlatformMBeanServer());
-
-      final ActiveMQServer server = (ActiveMQServer) components.get(""core"");
-
-      String[] requiredProtocols = getRequiredProtocols(server.getConfiguration().getAcceptorConfigurations());
-      ProtocolTrackerCallBack callback = new ProtocolTrackerCallBack() {
-
-         @Override
-         public void addFactory(ProtocolManagerFactory<Interceptor> pmf) {
-            server.addProtocolManagerFactory(pmf);
-         }
-
-         @Override
-         public void removeFactory(ProtocolManagerFactory<Interceptor> pmf) {
-            server.removeProtocolManagerFactory(pmf);
-         }
-
-         @Override
-         public void stop() throws Exception {
-            ActiveMQComponent[] mqComponents = new ActiveMQComponent[components.size()];
-            components.values().toArray(mqComponents);
-            for (int i = mqComponents.length - 1; i >= 0; i--) {
-               mqComponents[i].stop();
-            }
-            unregister();
-         }
-
-         @Override
-         public void start() throws Exception {
-            List<ActiveMQComponent> componentsByStartOrder = getComponentsByStartOrder(components);
-            for (ActiveMQComponent component : componentsByStartOrder) {
-               component.start();
-            }
-            register(context, properties);
-         }
-
-         @Override
-         public boolean isStarted() {
-            return server.isStarted();
-         }
-      };
-      ProtocolTracker trackerCust = new ProtocolTracker(name, context, requiredProtocols, callback);
-      tracker = new ServiceTracker(context, ProtocolManagerFactory.class, trackerCust);
-      tracker.open();
-   }
-
-   private String getMandatory(Dictionary<String, ?> properties, String key) {
-      String value = (String) properties.get(key);
-      if (value == null) {
-         throw new IllegalStateException(""Property "" + key + "" must be set"");
-      }
-      return value;
-   }
-
-   private String[] getRequiredProtocols(Set<TransportConfiguration> acceptors) {
-      ArrayList<String> protocols = new ArrayList<>();
-      for (TransportConfiguration acceptor : acceptors) {
-         Object protocolsFromAcceptor = acceptor.getParams().get(TransportConstants.PROTOCOLS_PROP_NAME);
-         if (protocolsFromAcceptor != null) {
-            String[] protocolsSplit = protocolsFromAcceptor.toString().split("","");
-            for (String protocol : protocolsSplit) {
-               if (!protocols.contains(protocol)) {
-                  protocols.add(protocol);
-               }
-            }
-         }
-      }
-      return protocols.toArray(new String[protocols.size()]);
-   }
-
-   @Deactivate
-   public void stop() throws Exception {
-      tracker.close();
-   }
-
-   public Map<String, ActiveMQComponent> getComponents() {
-      return components;
-   }
-
-   /*
-    * this makes sure the components are started in the correct order. Its
-    * simple at the mo as e only have core and jms but will need impproving if
-    * we get more.
-    */
-   public ArrayList<ActiveMQComponent> getComponentsByStartOrder(Map<String, ActiveMQComponent> components) {
-      ArrayList<ActiveMQComponent> activeMQComponents = new ArrayList<>();
-      ActiveMQComponent jmsComponent = components.get(""jms"");
-      if (jmsComponent != null) {
-         activeMQComponents.add(jmsComponent);
-      }
-      activeMQComponents.add(components.get(""core""));
-      return activeMQComponents;
-   }
-
-   public void register(BundleContext context, Dictionary<String, ?> properties) {
-      registrations = new HashMap<>();
-      for (Map.Entry<String, ActiveMQComponent> component : getComponents().entrySet()) {
-         String[] classes = getInterfaces(component.getValue());
-         Hashtable<String, Object> props = new Hashtable<>();
-         for (Enumeration<String> keyEnum = properties.keys(); keyEnum.hasMoreElements(); ) {
-            String key = keyEnum.nextElement();
-            Object val = properties.get(key);
-            props.put(key, val);
-         }
-         ServiceRegistration<?> registration = context.registerService(classes, component.getValue(), props);
-         registrations.put(component.getKey(), registration);
-      }
-   }
-
-   private String[] getInterfaces(ActiveMQComponent value) {
-      Set<String> interfaces = new HashSet<>();
-      getInterfaces(value.getClass(), interfaces);
-      return interfaces.toArray(new String[interfaces.size()]);
-   }
-
-   private void getInterfaces(Class<?> clazz, Set<String> interfaces) {
-      for (Class<?> itf : clazz.getInterfaces()) {
-         if (interfaces.add(itf.getName())) {
-            getInterfaces(itf, interfaces);
-         }
-      }
-      if (clazz.getSuperclass() != null) {
-         getInterfaces(clazz.getSuperclass(), interfaces);
-      }
-   }
-
-   public void unregister() {
-      if (registrations != null) {
-         for (ServiceRegistration<?> reg : registrations.values()) {
-            reg.unregister();
-         }
-      }
-   }
-}
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements. See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License. You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.activemq.artemis.osgi;
+","[{'comment': ""You are mixing reformat changes here. It's hard to know what you changed.\n\nCan you isolate only what was changed and make this a simple patch?\n\nyou can then:\n\n``` sh\ngit commit -a --amend\ngit push origin -f\n```\n"", 'commenter': 'clebertsuconic'}, {'comment': 'Sorry, my fault. Editor has switched to crlf line endling.\n', 'commenter': 'graben'}]"
839,artemis-server-osgi/src/main/java/org/apache/activemq/artemis/osgi/ProtocolTrackerCallBack.java,"@@ -25,4 +25,6 @@
    void addFactory(ProtocolManagerFactory<Interceptor> pmf);
 
    void removeFactory(ProtocolManagerFactory<Interceptor> pmf);
+
+   void setDataSourceDependency(boolean dataSourceDependency);","[{'comment': 'what about renaming this to:\n\n``` java\naddDataSource(WhateverInformationForTheDatasource);\n```\n\nthe callback could then decide what to do.\n\nthe best would be to have a class extending ProtocolTrackerCallback:\n\nServerTrackerCallback extends ProtocolTrackerCallback\n\nAnd at the caller we would check an instanceof.\n\nWould that be possible with OSGI?\n\nBTW: thanks for rebasing... at least I can comment on these changes now.\n', 'commenter': 'clebertsuconic'}]"
839,artemis-server/src/main/java/org/apache/activemq/artemis/core/config/storage/FileStorageConfiguration.java,"@@ -29,7 +29,7 @@
 
    @Override
    public StoreType getStoreType() {
-      return StoreType.DATABASE;
+      return StoreType.FILE;","[{'comment': '@mtaylor this was a bug, right?\n', 'commenter': 'clebertsuconic'}]"
845,artemis-server/src/main/java/org/apache/activemq/artemis/core/server/reload/ReloadManagerImpl.java,"@@ -92,7 +95,17 @@ private ReloadRegistry getRegistry(URL uri) {
       private final List<ReloadCallback> callbacks = new LinkedList<>();
 
       ReloadRegistry(URL uri) {
-         this.file = new File(uri.getPath());
+         String filePath = null;
+         try {
+            filePath = URLDecoder.decode(uri.getPath(), StandardCharsets.UTF_8.name());","[{'comment': 'hmmm.. the issue is on the reload manager only?\n', 'commenter': 'clebertsuconic'}]"
845,artemis-server/src/test/java/org/apache/activemq/artemis/core/security/jaas/GuestLoginModuleTest.java,"@@ -23,22 +23,33 @@
 import javax.security.auth.login.LoginContext;
 import javax.security.auth.login.LoginException;
 import java.io.IOException;
+import java.io.UnsupportedEncodingException;
 import java.net.URL;
+import java.net.URLDecoder;
+import java.nio.charset.StandardCharsets;
 
 import org.apache.activemq.artemis.spi.core.security.jaas.RolePrincipal;
 import org.apache.activemq.artemis.spi.core.security.jaas.UserPrincipal;
+import org.jboss.logging.Logger;
 import org.junit.Assert;
 import org.junit.Test;
 
 public class GuestLoginModuleTest extends Assert {
 
+   private static final Logger logger = Logger.getLogger(GuestLoginModuleTest.class);
+
    static {
       String path = System.getProperty(""java.security.auth.login.config"");
       if (path == null) {
          URL resource = GuestLoginModuleTest.class.getClassLoader().getResource(""login.config"");
          if (resource != null) {
-            path = resource.getFile();
-            System.setProperty(""java.security.auth.login.config"", path);
+            try {
+               path = URLDecoder.decode(resource.getFile(), StandardCharsets.UTF_8.name());","[{'comment': ""I'm just confused why you changed this, if this is just a test.\n"", 'commenter': 'clebertsuconic'}]"
852,tests/artemis-test-support/src/main/java/org/apache/activemq/transport/amqp/client/AmqpClient.java,"@@ -76,6 +77,23 @@ public AmqpConnection connect() throws Exception {
    }
 
    /**
+    * Creates a connection with the broker at the given location, this method initiates a
+    * connect attempt immediately and will fail if the remote peer cannot be reached.
+    *
+    * @param  protocolTracer handler of all the received and sent frames
+    * @throws Exception if an error occurs attempting to connect to the Broker.
+    * @return a new connection object used to interact with the connected peer.
+    */
+   public AmqpConnection connect(final ProtocolTracer protocolTracer) throws Exception {","[{'comment': ""@tabish121  wouldn't this needed to by sync with AMQ5 code?\n"", 'commenter': 'clebertsuconic'}, {'comment': ""Not sure I'd do it this way so I'd prefer not to port this to 5.x, the client already has some support for internal inspectors which probably could be modified to do this without needing this new interface and massive stub in the test\n"", 'commenter': 'tabish121'}, {'comment': ""@tabish121 what is the way you suggest to intercept frames received from the client?I've searched for something similar and I've found only a state validator,but it is not the same.Maybe I've missed something?\n"", 'commenter': 'franz1981'}]"
861,artemis-rest/src/main/java/org/apache/activemq/artemis/rest/Jms.java,"@@ -0,0 +1,174 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements. See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License. You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.activemq.artemis.rest;
+
+import javax.jms.BytesMessage;
+import javax.jms.JMSException;
+import javax.jms.Message;
+import javax.jms.ObjectMessage;
+import javax.ws.rs.core.MediaType;
+import javax.ws.rs.ext.MessageBodyReader;
+import javax.ws.rs.ext.Providers;
+import java.io.ByteArrayInputStream;
+import java.lang.reflect.Type;
+
+import org.apache.activemq.artemis.rest.util.HttpMessageHelper;
+import org.jboss.resteasy.core.Headers;
+import org.jboss.resteasy.spi.ResteasyProviderFactory;
+import org.jboss.resteasy.util.GenericType;
+
+public class Jms {","[{'comment': 'Is this on purpose?\n', 'commenter': 'johnament'}, {'comment': 'it is not part of this PR.. github is acting up.\n', 'commenter': 'clebertsuconic'}]"
861,artemis-rest/src/main/java/org/apache/activemq/artemis/rest/integration/EmbeddedRestActiveMQ.java,"@@ -41,7 +41,7 @@ protected void initEmbeddedActiveMQ() {
       embeddedActiveMQ = new EmbeddedActiveMQ();
    }
 
-   MessageServiceManager getManager() {
+   public MessageServiceManager getManager() {","[{'comment': 'Same...\n', 'commenter': 'johnament'}]"
