Pull,Path,Diff_hunk,Comment
297,activemq-broker/src/main/java/org/apache/activemq/plugin/SubQueueSelectorCacheBroker.java,"@@ -58,39 +49,27 @@
  * https://issues.apache.org/activemq/browse/AMQ-3004
  * http://mail-archives.apache.org/mod_mbox/activemq-users/201011.mbox/%3C8A013711-2613-450A-A487-379E784AF1D6@homeaway.co.uk%3E
  */
-public class SubQueueSelectorCacheBroker extends BrokerFilter implements Runnable {
+public class SubQueueSelectorCacheBroker extends BrokerFilter {
     private static final Logger LOG = LoggerFactory.getLogger(SubQueueSelectorCacheBroker.class);
     public static final String MATCH_EVERYTHING = ""TRUE"";
 
     /**
      * The subscription's selector cache. We cache compiled expressions keyed
      * by the target destination.
      */
-    private ConcurrentMap<String, Set<String>> subSelectorCache = new ConcurrentHashMap<String, Set<String>>();
+    private final SubSelectorCache subSelectorCache;
 
-    private final File persistFile;
     private boolean singleSelectorPerDestination = false;
     private boolean ignoreWildcardSelectors = false;
     private ObjectName objectName;
 
-    private boolean running = true;
-    private final Thread persistThread;
-    private long persistInterval = MAX_PERSIST_INTERVAL;
-    public static final long MAX_PERSIST_INTERVAL = 600000;
-    private static final String SELECTOR_CACHE_PERSIST_THREAD_NAME = ""SelectorCachePersistThread"";
-
     /**
      * Constructor
      */
-    public SubQueueSelectorCacheBroker(Broker next, final File persistFile) {
+    public SubQueueSelectorCacheBroker(Broker next, final SubSelectorCache subSelectorCache) {","[{'comment': 'Instead of changing the default behavior, I would rather create a totally new plugin, extending `SubQueueSelectorCacheBroker`. I think the configuration would be easier and less confusing for the users.', 'commenter': 'jbonofre'}, {'comment': ""+1 on JB suggestion. Improvement is a good idea, but let's not break previous users. \r\n\r\nPerhaps even make the improvement the default (or recommended) in 5.17.0"", 'commenter': 'mattrpav'}, {'comment': ""I can do that if you'd like, but I lean towards this approach for the usual composition-over-inheritance reasons. \r\n\r\nI'm interested in better understanding how this breaks previous users or changes the default behavior? The behavior is the same I believe, just factored out to a separate class.\r\n\r\nIf you're concerned about changing the constructor signature, I could add the original signature back and keep the new one."", 'commenter': 'alechenninger'}, {'comment': '@jbonofre @mattrpav Thoughts appreciated! Again, happy to move forward, just wanted to take the opportunity to understand a little bit more what you meant. Thanks!', 'commenter': 'alechenninger'}, {'comment': 'Yes, the default behavior is the same as you ""provide"" the plugin already (using file persist). My point is more in term of configuration for users. But I guess it\'s acceptable.', 'commenter': 'jbonofre'}]"
297,activemq-broker/src/main/java/org/apache/activemq/plugin/PeriodicallyFlushedFileSubSelectorCache.java,"@@ -0,0 +1,190 @@
+package org.apache.activemq.plugin;","[{'comment': 'Can you please add the ASF header here ? Thanks.', 'commenter': 'jbonofre'}]"
297,activemq-broker/src/main/java/org/apache/activemq/plugin/SubSelectorCache.java,"@@ -0,0 +1,51 @@
+package org.apache.activemq.plugin;","[{'comment': 'Can you please add the ASF header here ?', 'commenter': 'jbonofre'}]"
304,activemq-broker/src/main/java/org/apache/activemq/broker/region/Queue.java,"@@ -2100,7 +2100,7 @@ private PendingList doPageInForDispatch(boolean force, boolean processExpired, i
                                 ConnectionContext connectionContext = createConnectionContext();
                                 dropMessage(ref);
                                 if (gotToTheStore(ref.getMessage())) {
-                                    LOG.debug(""Duplicate message {} from cursor, removing from store"", this, ref.getMessage());
+                                    LOG.debug(""{}, duplicate message {} from cursor, removing from store"", this, ref.getMessage());","[{'comment': ""I think here we could just remove logging 'this' from the log statement"", 'commenter': 'coheigea'}, {'comment': 'Can you please use:\r\n\r\n```\r\nLOG.debug(""Duplicate message {] from cursor, removing from store"", ref.getMessage());\r\n```\r\n\r\n`this` is useless here.', 'commenter': 'jbonofre'}, {'comment': ""Right, the problem was, that `this` was used as first parameter in the log format string that had only one parameter. So the second  parameter `ref.getMessage()` was silently dropped.\r\nAs I didn't know, if `this` was needed for your analysis of the log messages, I added a second parameter placeholder.\r\nI will try to update this PR.\r\n\r\nIt seems, that `this` is used a lot in the log messages in the rest of the code around. You might want to have a look at those occurrences as well. "", 'commenter': 'FSchumacher'}]"
352,activemq-core/src/main/java/org/apache/activemq/kaha/impl/async/DataFileAppender.java,"@@ -5,9 +5,9 @@
  * The ASF licenses this file to You under the Apache License, Version 2.0
  * (the ""License""); you may not use this file except in compliance with
  * the License.  You may obtain a copy of the License at
- *
- *      http://www.apache.org/licenses/LICENSE-2.0
- *
+ * <p>","[{'comment': 'This kind of change is useless in the PR: it actually creates confusion, as the change part is actually small (exception handling), whereas the formatting changes creates noise.\r\nCan you please rework the PR ? Else, I will extract the change part.', 'commenter': 'jbonofre'}]"
397,assembly/src/release/examples/stomp/python/stomppy/publisher.py,"@@ -37,7 +35,7 @@
 
 for i in range(0, messages):
   conn.send(data, destination=destination, persistent='false')
-  
+
 conn.send(""SHUTDOWN"", destination=destination, persistent='false')
 
-conn.disconnect()
\ No newline at end of file
+conn.disconnect()","[{'comment': 'I guess this is a mistake and the `disconnect()` has to happen. Can you fix please ?', 'commenter': 'jbonofre'}]"
424,assembly/src/release/bin/activemq,"@@ -109,14 +96,7 @@ if [ -z ""$ACTIVEMQ_BASE"" ] ; then
   ACTIVEMQ_BASE=""$ACTIVEMQ_HOME""
 fi
 
-# Configure user specified classpath here or externally using this variable
-if [ -z ""$ACTIVEMQ_USER_CLASSPATH"" ] ; then
-    ACTIVEMQ_USER_CLASSPATH=""""
-fi
-
-# ActiveMQ Classpath configuration
-ACTIVEMQ_CLASSPATH=""$ACTIVEMQ_BASE/../lib/:$ACTIVEMQ_USER_CLASSPATH""
-
+ACTIVEMQ_CLASSPATH=""$ACTIVEMQ_BASE/../lib/""","[{'comment': ""The user should be able to define its classpath extend, no ? What's the rationale here ?"", 'commenter': 'jbonofre'}, {'comment': ""No, that doesn't seem to be necessary from my point of view."", 'commenter': 'scoopex'}]"
424,assembly/src/release/bin/activemq,"@@ -325,20 +305,16 @@ invokeJar(){
       DOIT_POSTFIX="" - $ACTIVEMQ_USER""
       echo ""INFO: changing to user '$ACTIVEMQ_USER' to invoke java""
    fi
-
    # Execute java binary
    if [ -n ""$TASK_TODO"" ] && [ ""$TASK_TODO"" != ""stop"" ];then
-      if [ -z ""$ACTIVEMQ_OUT"" ]; then
-         ACTIVEMQ_OUT=""/dev/null""
-      fi
       $EXEC_OPTION $DOIT_PREFIX ""\""$JAVACMD\"" $ACTIVEMQ_OPTS $ACTIVEMQ_DEBUG_OPTS \
               -Dactivemq.classpath=\""${ACTIVEMQ_CLASSPATH}\"" \
               -Dactivemq.home=\""${ACTIVEMQ_HOME}\"" \
               -Dactivemq.base=\""${ACTIVEMQ_BASE}\"" \
               -Dactivemq.conf=\""${ACTIVEMQ_CONF}\"" \
               -Dactivemq.data=\""${ACTIVEMQ_DATA}\"" \
               $ACTIVEMQ_CYGWIN \
-              -jar \""${ACTIVEMQ_HOME}/bin/activemq.jar\"" $COMMANDLINE_ARGS >> $ACTIVEMQ_OUT 2>&1 &
+              -jar \""${ACTIVEMQ_HOME}/bin/activemq.jar\"" $COMMANDLINE_ARGS >/dev/null 2>&1 &","[{'comment': 'User can still be able to redirect output to a file as he wants.', 'commenter': 'jbonofre'}]"
424,assembly/src/release/bin/activemq,"@@ -386,8 +362,8 @@ checkRunning(){
         echo ""ERROR: Pidfile '$ACTIVEMQ_PIDFILE' exists but contains no pid""
         return 2
        fi
-       ACTIVEMQ_PID=""`cat ${ACTIVEMQ_PIDFILE}`""
-       RET=""`ps -p ""${ACTIVEMQ_PID}""|grep java`""
+       ACTIVEMQ_PID=""`cat $ACTIVEMQ_PIDFILE`""
+       RET=""`ps -p ""$ACTIVEMQ_PID""|grep java`""","[{'comment': ""It's more portable to keep the genere ${xx} format IMHO."", 'commenter': 'jbonofre'}, {'comment': ""from my point of view this doesn't make a huge difference."", 'commenter': 'scoopex'}]"
446,activemq-broker/src/test/java/org/apache/activemq/JmsTransactionTestSupport.java,"@@ -114,6 +114,7 @@ protected void rollbackTx() throws Exception {
     /**
      */
     protected BrokerService createBroker() throws Exception, URISyntaxException {
+        System.setProperty(""org.apache.activemq.SERIALIZABLE_PACKAGES"", ""java.lang,javax.security,java.util,org.apache.activemq,org.fusesource.hawtbuf,com.thoughtworks.xstream.mapper"");","[{'comment': 'Just java.util here fixes the tests in activemq-broker', 'commenter': 'coheigea'}]"
