Pull,Path,Diff_hunk,Comment
97,lang/c++/test/SchemaTests.cc,"@@ -154,6 +205,19 @@ static void testCompile(const char* schema)
     compileJsonSchemaFromString(std::string(schema));
 }
 
+// Test that the JSON output from a valid schema matches the JSON that was 
+// used to construct it, apart from whitespace changes.
+static void testRoundTrip(const char* schema)
+{
+    BOOST_CHECKPOINT(schema);
+    avro::ValidSchema compiledSchema = compileJsonSchemaFromString(std::string(schema));
+    std::ostringstream os;
+    compiledSchema.toJson(os);
+    std::string result = os.str();
+    result.erase( std::remove_if( result.begin(), result.end(), ::isspace ), result.end() ); // Remove whitespace","[{'comment': ""Instead of removing all whitespaces, consecutive whitespaces should be collapsed into a single space. It is true that it doesn't matter how many whitespaces there are, but it does matter whether there is or isn't whitespace between specific characters. A slight modification will give the desired result as described in http://stackoverflow.com/a/8362145/5613485\n\nAdditionally this line uses a different style than the other lines, there should be no spaces after '('-s or before ')'-s.\n"", 'commenter': 'zivanfi'}]"
97,lang/c++/test/SchemaTests.cc,"@@ -136,6 +136,57 @@ const char* basicSchemaErrors[] = {
     ""{\""type\"": \""fixed\"", \""size\"": 314}"",
 };
 
+const char* roundTripSchemas[] = {
+    ""\""null\"""",
+    ""\""boolean\"""",
+    ""\""int\"""",
+    ""\""long\"""",
+    ""\""float\"""",
+    ""\""double\"""",
+    ""\""bytes\"""",
+    ""\""string\"""",
+    // Record
+    ""{\""type\"":\""record\"",\""name\"":\""Test\"",\""fields\"":[]}"",
+    ""{\""type\"":\""record\"",\""name\"":\""Test\"",\""fields\"":""
+        ""[{\""name\"":\""f\"",\""type\"":\""long\""}]}"",
+    ""{\""type\"":\""record\"",\""name\"":\""Test\"",\""fields\"":""
+        ""[{\""name\"":\""f1\"",\""type\"":\""long\""},""
+        ""{\""name\"":\""f2\"",\""type\"":\""int\""}]}"",
+/* Avro-C++ cannot do a round-trip on error schemas. 
+ * ""{\""type\"":\""error\"",\""name\"":\""Test\"",\""fields\"":""
+        ""[{\""name\"":\""f1\"",\""type\"":\""long\""},""","[{'comment': ""Nit: Comment style is inconsistent, some lines start with a *, while others don't.\n"", 'commenter': 'zivanfi'}]"
97,lang/c++/test/SchemaTests.cc,"@@ -154,6 +205,19 @@ static void testCompile(const char* schema)
     compileJsonSchemaFromString(std::string(schema));
 }
 
+// Test that the JSON output from a valid schema matches the JSON that was 
+// used to construct it, apart from whitespace changes.
+static void testRoundTrip(const char* schema)
+{
+    BOOST_CHECKPOINT(schema);","[{'comment': 'Other tests have been updated to use BOOST_TEST_CHECKPOINT, please update this as well.\n', 'commenter': 'zivanfi'}]"
130,lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,"@@ -83,6 +88,9 @@ private static LogicalType fromSchemaImpl(Schema schema, boolean throwErrors) {
     } catch (RuntimeException e) {
       if (throwErrors) {
         throw e;
+      } else {
+        LOGGER.warn(""Ignoring invalid logical type for name: {}"", typeName);
+        LOGGER.debug(""Invalid logical type found"", e);","[{'comment': 'Optional: I would suggest moving the `LOGGER.debug` line before the `if`.\n', 'commenter': 'zivanfi'}, {'comment': 'Make sense. Updated. \nThanks for the review.\n', 'commenter': 'gszadovszky'}]"
130,lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,"@@ -81,8 +86,11 @@ private static LogicalType fromSchemaImpl(Schema schema, boolean throwErrors) {
         logicalType.validate(schema);
       }
     } catch (RuntimeException e) {
+      LOGGER.debug(""Invalid logical type found"", e);
       if (throwErrors) {
         throw e;
+      } else {
+        LOGGER.warn(""Ignoring invalid logical type for name: {}"", typeName);","[{'comment': 'Ah sorry, one more minor issue. The `logicalType = null;` line below gets executed only if throwErrors is false, and so does the `LOGGER.warn` line, but the former is after the if while the latter is in the else branch, which is a bit confusing/inconsistent. Could you move it out of the else, immediately after the if block like the existing code?\n', 'commenter': 'zivanfi'}, {'comment': 'Good point. However the whole else branch is useless. Removed.\n', 'commenter': 'gszadovszky'}]"
130,lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,"@@ -21,8 +21,13 @@
 import java.util.Map;
 import java.util.concurrent.ConcurrentHashMap;
 
+import org.slf4j.Logger;
+import org.slf4j.LoggerFactory;
+
 public class LogicalTypes {
 
+  private static final Logger LOGGER = LoggerFactory.getLogger(LogicalTypes.class);","[{'comment': 'Please change to `LOG` for consistency with the rest of the codebase.\n', 'commenter': 'tomwhite'}, {'comment': ""Sorry, @tomwhite, I've missed your comment. Modified the name.\n"", 'commenter': 'gszadovszky'}]"
133,lang/py3/avro/schema.py,"@@ -385,7 +385,7 @@ def NewWithDefaultNamespace(self, namespace):
     """"""
     return Names(names=self._names, default_namespace=namespace)
 
-  def GetName(self, name, namespace=None):
+  def _get_name(self, name, namespace=None):","[{'comment': 'this might break the usage of GetName in exisitng usage.\nNot sure if we would want to make the function an internal use only.\n', 'commenter': 'spacharya'}, {'comment': ""I wasn't 100% sure on this one, because `get_name` is already a function. When I did a usage search for `GetName`, the usages looked to be all within this file. When I searched for `get_name`, it seemed like other modules were using it.\n\nBeing that the existing `get_name` function delegates to this one, I think the functionality is still available for external use.\n\nDoes that seem appropriate to you? What are your thoughts?\n"", 'commenter': 'ssaamm'}, {'comment': 'I am a bit conflicted on this. I see that this is the only usage, but I am unsure how people use it. \n@rdblue  can you check this out and let us know if moving a function as an internal use only in a minor is okay.\nElse, +1\n', 'commenter': 'spacharya'}, {'comment': 'If I understand correctly, convention is for downstream users to consider methods that do not start with _ to be part of the public API and safe to use. But, all of the renames in the PR are breaking changes so we could just bump the version to indicate what happened.\n', 'commenter': 'rdblue'}]"
141,lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java,"@@ -128,6 +128,17 @@ public void addSchema(Schema writeSchema) {
         new RawMessageDecoder<D>(model, writeSchema, readSchema));
   }
 
+  /**
+   * Sets the new SchemaStore instance that is to be used to retrieve the schemas.
+   *
+   * @param newResolver a {@link SchemaStore} to use when decoding buffers
+   */
+  public void setSchemaStore(SchemaStore newResolver) {
+    if (newResolver != null) {
+      this.resolver = newResolver;
+    }","[{'comment': ""Don't you think the user of this method should be informed about the fact that the resolver was not set? I would suggest throwing an exception here (e.g. IllegalStateException).\n"", 'commenter': 'gszadovszky'}, {'comment': ""Easier: Remove that check and thus allow 'removing' the SchemaStore again.\n"", 'commenter': 'nielsbasjes'}, {'comment': 'Yes, this would be simpler if it fits the logic. :)\n', 'commenter': 'gszadovszky'}, {'comment': 'It does. The resolver is an optional thing that is common to be null.\n', 'commenter': 'nielsbasjes'}]"
141,lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java,"@@ -128,6 +128,17 @@ public void addSchema(Schema writeSchema) {
         new RawMessageDecoder<D>(model, writeSchema, readSchema));
   }
 
+  /**
+   * Sets the new SchemaStore instance that is to be used to retrieve the schemas.
+   *
+   * @param newResolver a {@link SchemaStore} to use when decoding buffers
+   */
+  public void setSchemaStore(SchemaStore newResolver) {","[{'comment': 'This class supposed to be thread-safe. I would suggest having this one synchronized.\n', 'commenter': 'gszadovszky'}, {'comment': 'Yes\n', 'commenter': 'nielsbasjes'}]"
149,lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,"@@ -506,12 +506,12 @@ public String toString(Object datum) {
   }
   /** Renders a Java datum as <a href=""http://www.json.org/"">JSON</a>. */
   protected void toString(Object datum, StringBuilder buffer, IdentityHashMap<Object, Object> seenObjects) {
-    if (seenObjects.containsKey(datum)) {
-      buffer.append("" \"">>> CIRCULAR REFERENCE CANNOT BE PUT IN JSON STRING, ABORTING RECURSION<<<\"" "");
-      return;
-    }
-    seenObjects.put(datum, datum);
     if (isRecord(datum)) {","[{'comment': ""I agree with Doug's comment that this check should happen for any type that can contain an object, like maps and lists.\n"", 'commenter': 'rdblue'}]"
