Pull,Path,Diff_hunk,Comment
9,src/main/java/org/apache/commons/codec/net/PercentCodec.java,"@@ -0,0 +1,114 @@
+package org.apache.commons.codec.net;
+
+import java.io.ByteArrayOutputStream;
+import java.nio.charset.Charset;
+import java.nio.charset.CharsetEncoder;
+import java.util.BitSet;
+import org.apache.commons.codec.BinaryDecoder;
+import org.apache.commons.codec.BinaryEncoder;
+import org.apache.commons.codec.DecoderException;
+import org.apache.commons.codec.EncoderException;
+
+/**
+ * Implements the Percent-Encoding scheme, as described in HTTP 1.1 specification.
+ *
+ * @see <a href=""https://tools.ietf.org/html/rfc3986#section-2.1"">Percent-Encoding</a>
+ */
+public class PercentCodec implements BinaryEncoder, BinaryDecoder {
+
+    private final byte ESCAPE_CHAR = '%';
+
+    private BitSet alwaysEncodeChars = new BitSet();","[{'comment': 'Why not make this final?', 'commenter': 'garydgregory'}]"
9,src/main/java/org/apache/commons/codec/net/PercentCodec.java,"@@ -0,0 +1,114 @@
+package org.apache.commons.codec.net;
+
+import java.io.ByteArrayOutputStream;
+import java.nio.charset.Charset;
+import java.nio.charset.CharsetEncoder;
+import java.util.BitSet;
+import org.apache.commons.codec.BinaryDecoder;
+import org.apache.commons.codec.BinaryEncoder;
+import org.apache.commons.codec.DecoderException;
+import org.apache.commons.codec.EncoderException;
+
+/**
+ * Implements the Percent-Encoding scheme, as described in HTTP 1.1 specification.
+ *
+ * @see <a href=""https://tools.ietf.org/html/rfc3986#section-2.1"">Percent-Encoding</a>
+ */
+public class PercentCodec implements BinaryEncoder, BinaryDecoder {
+
+    private final byte ESCAPE_CHAR = '%';
+
+    private BitSet alwaysEncodeChars = new BitSet();
+
+    public PercentCodec() {
+        alwaysEncodeChars.set(ESCAPE_CHAR);
+    }
+
+    public PercentCodec(char[] alwaysEncodeCharArray) {
+        super();
+        fillBitSet(alwaysEncodeCharArray);
+    }
+
+    private void fillBitSet(char[] alwaysEncodeCharArray) {
+        if (alwaysEncodeCharArray == null)
+            return;","[{'comment': 'Missing { and }.', 'commenter': 'garydgregory'}]"
9,src/test/java/org/apache/commons/codec/net/PercentCodecTest.java,"@@ -0,0 +1,70 @@
+package org.apache.commons.codec.net;
+
+import java.nio.charset.Charset;
+import org.apache.commons.codec.DecoderException;
+import org.apache.commons.codec.EncoderException;
+import static org.junit.Assert.assertEquals;
+import org.junit.Test;
+
+/**
+ * Percent-Encoding cοdec test cases
+ */
+public class PercentCodecTest {
+
+    @Test
+    public void testBasicEncodeDecode() throws Exception {
+        PercentCodec percentCodec = new PercentCodec();
+        final String input = ""Hello world!"";
+        byte[] encoded = percentCodec.encode(input.getBytes(Charset.forName(""UTF-8"")));
+        final String encodedS = new String(encoded, ""UTF-8"");
+        byte[] decoded = percentCodec.decode(encoded);
+        final String decodedS = new String(decoded, ""UTF-8"");
+        assertEquals(""Basic Percent-Encoding test"", ""Hello world!"", encodedS);
+        assertEquals(""Basic URL decoding test"", input, decodedS);
+    }
+
+    @Test
+    public void testSafeCharEncodeDecodeObject() throws Exception {
+        PercentCodec percentCodec = new PercentCodec();
+        final String input = ""abc123_-.*"";
+        Object encoded = percentCodec.encode((Object) input.getBytes(Charset.forName(""UTF-8"")));
+        final String encodedS = new String((byte[]) encoded, ""UTF-8"");
+        Object decoded = percentCodec.decode(encoded);
+        final String decodedS = new String((byte[]) decoded, ""UTF-8"");
+        assertEquals(""Basic Percent-Encoding test"", input, encodedS);
+        assertEquals(""Basic URL decoding test"", input, decodedS);
+    }
+
+    @Test
+    public void testUnsafeCharEncodeDecode() throws Exception {
+        PercentCodec percentCodec = new PercentCodec();
+        final String input = ""\u03B1\u03B2\u03B3\u03B4\u03B5\u03B6% "";
+        byte[] encoded = percentCodec.encode(input.getBytes(Charset.forName(""UTF-8"")));
+        final String encodedS = new String(encoded, ""UTF-8"");
+        byte[] decoded = percentCodec.decode(encoded);
+        final String decodedS = new String(decoded, ""UTF-8"");
+        assertEquals(""Basic Percent-Encoding test"", ""%CE%B1%CE%B2%CE%B3%CE%B4%CE%B5%CE%B6%25 "", encodedS);
+        assertEquals(""Basic URL decoding test"", input, decodedS);
+    }
+
+    @Test
+    public void testConfigurablePercentEncoder() throws Exception {
+        final String input = ""abc123_-.* "";
+        PercentCodec percentCodec = new PercentCodec(input.toCharArray());
+        byte[] encoded = percentCodec.encode(input.getBytes(Charset.forName(""UTF-8"")));
+        final String encodedS = new String(encoded, ""UTF-8"");
+        assertEquals(""Basic Percent-Encoding test"", ""%61%62%63%31%32%33%5F%2D%2E%2A%20"", encodedS);
+    }
+
+    @Test(expected = EncoderException.class)
+    public void testEncodeUnsupportedObject() throws Exception {
+        PercentCodec percentCodec = new PercentCodec();
+        percentCodec.encode(""test"");
+    }
+
+    @Test(expected = DecoderException.class)
+    public void testDecodeUnsupportedObject() throws Exception {
+        PercentCodec percentCodec = new PercentCodec();
+        percentCodec.decode(""test"");
+    }
+}","[{'comment': 'It would be nice to add a code coverage report to the component; not required for this patch but a nice-to-have.', 'commenter': 'garydgregory'}, {'comment': 'According to coveralls, code coverage _decreased_ with this patch. You might want to make sure you get full code coverage for this new code if possible. Thank you!', 'commenter': 'garydgregory'}]"
22,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,"@@ -0,0 +1,215 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ *      http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+
+package org.apache.commons.codec.digest;
+
+/**
+ * MurmurHash2 yields a 32-bit or 64-bit value.
+ * 
+ * MurmurHash is a non-cryptographic hash function suitable for general
+ * hash-based lookup. The name comes from two basic operations, multiply (MU)
+ * and rotate (R), used in its inner loop. Unlike cryptographic hash functions,
+ * it is not specifically designed to be difficult to reverse by an adversary,
+ * making it unsuitable for cryptographic purposes.
+ * 
+ * This is a re-implementation of the original C code plus some additional
+ * features.
+ * 
+ * Public domain.
+ * 
+ * @author Viliam Holub","[{'comment': '@melloware \r\nThank you for your PR.\r\nWe recommend _against_ using author tags, please remove them.', 'commenter': 'garydgregory'}, {'comment': 'Removed.', 'commenter': 'melloware'}]"
22,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,"@@ -0,0 +1,215 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ *      http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+
+package org.apache.commons.codec.digest;
+
+/**
+ * MurmurHash2 yields a 32-bit or 64-bit value.
+ * 
+ * MurmurHash is a non-cryptographic hash function suitable for general
+ * hash-based lookup. The name comes from two basic operations, multiply (MU)
+ * and rotate (R), used in its inner loop. Unlike cryptographic hash functions,
+ * it is not specifically designed to be difficult to reverse by an adversary,
+ * making it unsuitable for cryptographic purposes.
+ * 
+ * This is a re-implementation of the original C code plus some additional
+ * features.
+ * 
+ * Public domain.
+ * 
+ * @author Viliam Holub
+ * @see <a href=""https://en.wikipedia.org/wiki/MurmurHash"">MurmurHash</a>
+ * @since 1.13
+ */
+public final class MurmurHash2 {
+
+	// all methods static; private constructor.","[{'comment': ""NOT all methods should be static: You should implement Codec's `BinaryEncoder` and `BinaryDecoder` interfaces and/or `StringEncoder` and `StringDecoder` depending on the use cases of this code."", 'commenter': 'garydgregory'}, {'comment': 'Good idea let me study those interfaces and see if I can modify.', 'commenter': 'melloware'}, {'comment': ""Actually looking at those the intent was something was encoded.  This is more like the XXHash32 class in Commons Codec.  This hashes a value to a long or int.  I don't see any interface for Hash algorithms?"", 'commenter': 'melloware'}]"
22,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,"@@ -0,0 +1,551 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ *      http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+
+package org.apache.commons.codec.digest;
+
+/**
+ * MurmurHash3 yields a 32-bit or 128-bit value.
+ * 
+ * MurmurHash is a non-cryptographic hash function suitable for general
+ * hash-based lookup. The name comes from two basic operations, multiply (MU)
+ * and rotate (R), used in its inner loop. Unlike cryptographic hash functions,
+ * it is not specifically designed to be difficult to reverse by an adversary,
+ * making it unsuitable for cryptographic purposes.
+ * 
+ * 32-bit Java port of
+ * https://code.google.com/p/smhasher/source/browse/trunk/MurmurHash3.cpp#94
+ * 128-bit Java port of
+ * https://code.google.com/p/smhasher/source/browse/trunk/MurmurHash3.cpp#255
+ *
+ * This is a public domain code with no copyrights. From homepage of MurmurHash
+ * (https://code.google.com/p/smhasher/), ""All MurmurHash versions are public
+ * domain software, and the author disclaims all copyright to their code.""
+ * 
+ * Copied from Apache Hive:
+ * https://github.com/apache/hive/blob/master/storage-api/src/java/org/apache/hive/common/util/Murmur3.java
+ * 
+ * @see <a href=""https://en.wikipedia.org/wiki/MurmurHash"">MurmurHash</a>
+ * @since 1.13
+ */
+public final class MurmurHash3 {","[{'comment': ""NOT all methods should be static: You should implement Codec's `BinaryEncoder` and `BinaryDecoder` interfaces and/or `StringEncoder` and `StringDecoder` depending on the use cases of this code."", 'commenter': 'garydgregory'}]"
23,src/test/java/org/apache/commons/codec/binary/HexTest.java,"@@ -227,18 +227,19 @@ public void testDecodeByteArrayOddCharacters() {
 
     @Test
     public void testDecodeByteBufferEmpty() throws DecoderException {
-        assertTrue(Arrays.equals(new byte[0], new Hex().decode(ByteBuffer.allocate(0))));","[{'comment': 'I would prefer to add tests instead of updating each call to `allocate` with a call to `allocateDirect`. This is something that could be done either with subclasses (one for allocate, one for allocateDirect) or with parameterizing the test with lambdas.', 'commenter': 'garydgregory'}, {'comment': ""I'm sorry but have no time for that"", 'commenter': 'Megaprog'}]"
27,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,"@@ -72,6 +75,7 @@
 	private static final int M = 5;
 	private static final int N1 = 0x52dce729;
 	private static final int N2 = 0x38495ab5;
+	private static final long UINT_MASK = 0x00000000FFFFFFFFL;","[{'comment': 'Use lower case F for consistency. No need for all the leading zeros either.', 'commenter': 'aherbert'}]"
27,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,"@@ -207,20 +211,24 @@ public static int hash32(final byte[] data, final int offset, final int length,
 		// tail
 		final int idx = nblocks << 2;
 		int k1 = 0;
+		/*
+         * The original algorithm uses unsigned bytes.
+         * We have to mask to match the behavior of the unsigned bytes and prevent sign extension.
+         */
 		switch (length - idx) {
-		case 3:
-			k1 ^= data[offset + idx + 2] << 16;
-		case 2:
-			k1 ^= data[offset + idx + 1] << 8;
-		case 1:
-			k1 ^= data[offset + idx];
-
-			// mix functions
-			k1 *= C1_32;
-			k1 = Integer.rotateLeft(k1, R1_32);
-			k1 *= C2_32;
-			hash ^= k1;
-		}
+    	case 3:
+            k1 = (data[offset + idx + 2] & UBYTE_MASK) << 16;
+            // fallthrough
+        case 2:
+            k1 |= (data[offset + idx + 1] & UBYTE_MASK) << 8;
+            // fallthrough
+        case 1:
+            k1 |= (data[offset + idx] & UBYTE_MASK);
+            k1 *= C1_32;
+            k1 = (k1 << 15) | (k1 >>> 17);  // ROTL32(k1,15);","[{'comment': 'I would leave the use of Integer.rotateLeft() and the `// mix functions` comment.\r\n\r\nThe whitespace formatting of this block is incorrect so the git diff seems larger than the actual changes. The final mix functions should not have to be changed, only the unsigned masking applied to k1.', 'commenter': 'aherbert'}]"
27,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,"@@ -393,7 +401,7 @@ public static long hash64(final byte[] data, final int offset, final int length,
 	 * @return - 128 bit hash (2 longs)
 	 */
 	public static long[] hash128(final String data) {
-		final byte[] origin = data.getBytes();
+		final byte[] origin = data.getBytes(StandardCharsets.UTF_8);","[{'comment': 'Why the charset conversion? Changing away from using the default charset is not related to the other changes in this PR.', 'commenter': 'aherbert'}, {'comment': 'It showed up in a bug report -- reverting.', 'commenter': 'Claudenw'}]"
