Pull,Path,Diff_hunk,Comment
21,src/main/java/org/apache/commons/io/FileSystemUtils.java,"@@ -292,10 +292,15 @@ long freeSpaceOS(final String path, final int os, final boolean kb, final long t
      * @param timeout The timeout amount in milliseconds or no timeout if the value
      *  is zero or less
      * @return the amount of free drive space on the drive
-     * @throws IOException if an error occurs
+     * @throws IOException if an error occurs, NullPointerException if path cannot be parsed by FilenameUtils.normalize()
      */
-    long freeSpaceWindows(String path, final long timeout) throws IOException {
+    long freeSpaceWindows(String path, final long timeout) throws IOException, NullPointerException {","[{'comment': '`NullPointerException` is a `RuntimeException` so it should be part of the method signature.', 'commenter': 'PascalSchumacher'}]"
21,src/main/java/org/apache/commons/io/FileSystemUtils.java,"@@ -292,10 +292,15 @@ long freeSpaceOS(final String path, final int os, final boolean kb, final long t
      * @param timeout The timeout amount in milliseconds or no timeout if the value
      *  is zero or less
      * @return the amount of free drive space on the drive
-     * @throws IOException if an error occurs
+     * @throws IOException if an error occurs, NullPointerException if path cannot be parsed by FilenameUtils.normalize()","[{'comment': 'this should be a separate `throws` declaration', 'commenter': 'PascalSchumacher'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * ","[{'comment': 'Closing of `p` tag is not correct.', 'commenter': 'garydgregory'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * 
+ * Original code: http://stackoverflow.com/questions/14522239/test-two-directory-trees-for-equality
+ *
+ */
+public class DirectoryUtils {
+
+    /**
+     * checks if the directory file lists are equal.","[{'comment': 'Start a sentence with a capital letter.', 'commenter': 'garydgregory'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * 
+ * Original code: http://stackoverflow.com/questions/14522239/test-two-directory-trees-for-equality
+ *
+ */
+public class DirectoryUtils {
+
+    /**
+     * checks if the directory file lists are equal.
+     * 
+     * If checkFileContent is true, then also if the file content is equal","[{'comment': 'End a sentence with a period.', 'commenter': 'garydgregory'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * 
+ * Original code: http://stackoverflow.com/questions/14522239/test-two-directory-trees-for-equality
+ *
+ */
+public class DirectoryUtils {
+
+    /**
+     * checks if the directory file lists are equal.
+     * 
+     * If checkFileContent is true, then also if the file content is equal
+     * 
+     * @param directory
+     *            the directory
+     * @param compareDirectory
+     *            the directory to compare with
+     * @param checkFileContent
+     *            also compare file content
+     * @return true if directory and compareDirectory are equal
+     * @throws IOException
+     */
+    public static boolean isEqual(Path directory, Path compareDirectory, boolean checkFileContent)","[{'comment': 'TL;DR: Use `final` where possible; IMO https://garygregory.wordpress.com/2013/01/26/the-final-kiss-in-java/', 'commenter': 'garydgregory'}]"
31,src/test/java/org/apache/commons/io/DirectoryUtilsTestCase_Nested.java,"@@ -0,0 +1,66 @@
+package org.apache.commons.io;
+
+import static org.junit.Assert.*;","[{'comment': 'Do not use `*` imports.', 'commenter': 'garydgregory'}, {'comment': 'Also based your PR on the HEAD of master. This does not compile since we now use JUnit 5.', 'commenter': 'garydgregory'}]"
31,src/test/java/org/apache/commons/io/DirectoryUtilsTestCase_Simple.java,"@@ -0,0 +1,66 @@
+package org.apache.commons.io;
+
+import static org.junit.Assert.*;
+
+import java.io.IOException;
+import java.nio.file.FileSystems;
+import java.nio.file.Path;
+
+import org.junit.Test;
+
+/**
+ * This is used to test DirectoryUtils for correctness with flat directories
+ *
+ * @see DirectoryUtils
+ */
+public class DirectoryUtilsTestCase_Simple {
+
+    String basePath = ""src/test/resources/DirectoryUtils_equal/simple/"";
+
+    @Test
+    public void compare_self() throws IOException {
+        boolean checkFileContent = false;
+        Path directory = FileSystems.getDefault().getPath(basePath + ""directory"");
+        Path compareDirectory = FileSystems.getDefault().getPath(basePath + ""directory"");
+
+        assertTrue(DirectoryUtils.isEqual(directory, compareDirectory, checkFileContent));","[{'comment': 'All tests method are incomplete and should be something like:\r\n```\r\n        assertTrue(DirectoryUtils.isEqual(directory, compareDirectory, checkFileContent));\r\n        assertTrue(DirectoryUtils.isEqual(directory, directory, checkFileContent));\r\n        assertTrue(DirectoryUtils.isEqual(compareDirectory, directory, checkFileContent));\r\n        assertTrue(DirectoryUtils.isEqual(compareDirectory, compareDirectory, checkFileContent));\r\n```', 'commenter': 'garydgregory'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * 
+ * Original code: http://stackoverflow.com/questions/14522239/test-two-directory-trees-for-equality
+ *
+ */
+public class DirectoryUtils {
+
+    /**
+     * checks if the directory file lists are equal.
+     * 
+     * If checkFileContent is true, then also if the file content is equal
+     * 
+     * @param directory
+     *            the directory
+     * @param compareDirectory
+     *            the directory to compare with
+     * @param checkFileContent
+     *            also compare file content
+     * @return true if directory and compareDirectory are equal
+     * @throws IOException
+     */
+    public static boolean isEqual(Path directory, Path compareDirectory, boolean checkFileContent)
+            throws IOException {
+
+        boolean check = isEverythingInCompareDirectory(directory, compareDirectory, checkFileContent);
+
+        // we only need to check file content in on direction.
+        boolean checkOppositeFileContent = false;
+
+        boolean checkOpposite = check
+                && isEverythingInCompareDirectory(compareDirectory, directory, checkOppositeFileContent);
+        return check && checkOpposite;
+
+    }
+
+    /**
+     * checks if the directory file lists and file content is equal
+     * 
+     * @param directory
+     *            the directory
+     * @param compareDirectory
+     *            the directory to compare with
+     * @param checkFileContent
+     *            also compare file content
+     * @return true if directory and compareDirectory are equal
+     * @throws IOException
+     */
+    private static boolean isEverythingInCompareDirectory(Path directory, Path compareDirectory,
+            boolean checkFileContent) throws IOException {
+
+        if (directory != null && compareDirectory != null) {
+            // LOGGER.info(""checking directory "" + directory);
+            // LOGGER.info(""checking compareDirectory "" + compareDirectory);
+
+            File directoryFile = directory.toFile();
+            File compareFile = compareDirectory.toFile();
+
+            // check, if there is the same number of files/subdirectories
+            File[] directoryFiles = directoryFile.listFiles();","[{'comment': ""Don't use `listFiles()`, this will kill performance on large file trees. Use Java's streaming APIs."", 'commenter': 'garydgregory'}]"
31,src/main/java/org/apache/commons/io/DirectoryUtils.java,"@@ -0,0 +1,149 @@
+package org.apache.commons.io;
+
+import java.io.File;
+import java.io.IOException;
+import java.nio.file.DirectoryStream;
+import java.nio.file.Files;
+import java.nio.file.Path;
+
+/**
+ * General directory manipulation utilities.
+ * <p>
+ * Facilities are provided in the following areas:
+ * <ul>
+ * <li>comparing directories
+ * </ul>
+ * <p>
+ * 
+ * Original code: http://stackoverflow.com/questions/14522239/test-two-directory-trees-for-equality
+ *
+ */
+public class DirectoryUtils {
+
+    /**
+     * checks if the directory file lists are equal.
+     * 
+     * If checkFileContent is true, then also if the file content is equal
+     * 
+     * @param directory
+     *            the directory
+     * @param compareDirectory
+     *            the directory to compare with
+     * @param checkFileContent
+     *            also compare file content
+     * @return true if directory and compareDirectory are equal
+     * @throws IOException
+     */
+    public static boolean isEqual(Path directory, Path compareDirectory, boolean checkFileContent)
+            throws IOException {
+
+        boolean check = isEverythingInCompareDirectory(directory, compareDirectory, checkFileContent);
+
+        // we only need to check file content in on direction.
+        boolean checkOppositeFileContent = false;
+
+        boolean checkOpposite = check
+                && isEverythingInCompareDirectory(compareDirectory, directory, checkOppositeFileContent);
+        return check && checkOpposite;
+
+    }
+
+    /**
+     * checks if the directory file lists and file content is equal
+     * 
+     * @param directory
+     *            the directory
+     * @param compareDirectory
+     *            the directory to compare with
+     * @param checkFileContent
+     *            also compare file content
+     * @return true if directory and compareDirectory are equal
+     * @throws IOException
+     */
+    private static boolean isEverythingInCompareDirectory(Path directory, Path compareDirectory,
+            boolean checkFileContent) throws IOException {
+
+        if (directory != null && compareDirectory != null) {
+            // LOGGER.info(""checking directory "" + directory);
+            // LOGGER.info(""checking compareDirectory "" + compareDirectory);
+
+            File directoryFile = directory.toFile();
+            File compareFile = compareDirectory.toFile();
+
+            // check, if there is the same number of files/subdirectories
+            File[] directoryFiles = directoryFile.listFiles();
+            File[] compareFiles = compareFile.listFiles();
+
+            if (directoryFiles != null && compareFiles != null) {
+                //LOGGER.info(""directoryFiles: "" + directoryFiles.length + "" vs compareFiles: "" + compareFiles.length);
+                if (directoryFiles.length == compareFiles.length) {
+                    return compareDirectoryContents(directory, compareDirectory, checkFileContent);
+
+                } else {
+                    //LOGGER.info(""number of files in directory are different "" + directoryFiles.length + "" vs compareDirectory: "" + compareFiles.length);
+                    return false;
+                }
+            } else {
+                return checkForNulls(directoryFiles, compareFiles);
+            }
+
+        } else {
+            // one of the directories is null
+            return checkForNulls(directory, compareDirectory);
+        }
+
+
+    }
+
+    private static boolean checkForNulls(Object directory, Object compareDirectory) {
+        if (directory == null && compareDirectory == null) {
+            return true;
+        } else {
+            return false;
+        }
+    }
+
+    private static boolean compareDirectoryContents(Path directory, Path compareDirectory, boolean checkFileContent)
+            throws IOException {
+
+        // LOGGER.info(""compareDirectoryContents: "" + directory);
+        try (DirectoryStream<Path> directoryStream = Files.newDirectoryStream(directory)) {
+
+            for (Path directoryFilePath : directoryStream) {
+                // LOGGER.info(""processing "" + directoryFilePath);
+                // search for directoryFile in the compareDirectory
+                Path compareFilePath = compareDirectory.resolve(directoryFilePath.getFileName());
+
+                if (compareFilePath != null) {","[{'comment': 'When does `Path#resolve()` ever return `null`?', 'commenter': 'garydgregory'}]"
