Pull,Path,Diff_hunk,Comment
193,commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/fitting/SimpleCurveFitter.java,"@@ -187,10 +187,7 @@ public int compare(WeightedObservedPoint p1,
                         return comp;
                     }
                     comp = Double.compare(p1.getWeight(), p2.getWeight());","[{'comment': 'No need to store the result in `comp`. Just return the result direct.', 'commenter': 'aherbert'}, {'comment': 'yes, inline variable.\r\nTY', 'commenter': 'arturobernalg'}]"
196,commons-math-legacy-core/src/test/java/org/apache/commons/math4/legacy/core/PairTest.java,"@@ -39,26 +39,26 @@ public void testAccessor2() {
 
         // Check that both APIs refer to the same data.
 
-        Assert.assertTrue(p.getFirst() == p.getKey());
-        Assert.assertTrue(p.getSecond() == p.getValue());
+        Assert.assertSame(p.getFirst(), p.getKey());
+        Assert.assertSame(p.getSecond(), p.getValue());
     }
 
     @Test
     public void testEquals() {
         Pair<Integer, Double> p1 = new Pair<>(null, null);
-        Assert.assertFalse(p1.equals(null));
+        Assert.assertNotEquals(null, p1);","[{'comment': '`p1` should be the first argument to allow the assert method to invoke `p1.equals(null)`', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/Array2DRowRealMatrixTest.java,"@@ -895,9 +895,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(new Array2DRowRealMatrix(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/BlockFieldMatrixTest.java,"@@ -1150,9 +1150,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(new BlockFieldMatrix<>(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/BlockRealMatrixTest.java,"@@ -1054,9 +1054,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(new BlockRealMatrix(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/FieldMatrixImplTest.java,"@@ -867,9 +867,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(new Array2DRowFieldMatrix<>(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/RealVectorAbstractTest.java,"@@ -1337,11 +1337,11 @@ public void testCosineDimensionMismatch() {
     public void testEquals() {
         final RealVector v = create(new double[] { 0, 1, 2 });
 
-        Assert.assertTrue(v.equals(v));
-        Assert.assertTrue(v.equals(v.copy()));
-        Assert.assertFalse(v.equals(null));
-        Assert.assertFalse(v.equals(v.getSubVector(0, v.getDimension() - 1)));
-        Assert.assertTrue(v.equals(v.getSubVector(0, v.getDimension())));
+        Assert.assertEquals(v, v);
+        Assert.assertEquals(v, v.copy());
+        Assert.assertNotEquals(null, v);","[{'comment': '`v` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/SparseFieldMatrixTest.java,"@@ -568,9 +568,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(createSparseMatrix(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/linear/SparseRealMatrixTest.java,"@@ -565,9 +565,9 @@ public void testEqualsAndHashCode() {
         Assert.assertEquals(m.hashCode(), m1.hashCode());
         Assert.assertEquals(m, m);
         Assert.assertEquals(m, m1);
-        Assert.assertFalse(m.equals(null));
-        Assert.assertFalse(m.equals(mt));
-        Assert.assertFalse(m.equals(createSparseMatrix(bigSingular)));
+        Assert.assertNotEquals(null, m);","[{'comment': '`m` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/optim/PointValuePairTest.java,"@@ -36,19 +36,19 @@ public void testSerial() {
     public void testEquals() {
         final double[] p1 = new double[] { 1 };
         final PointValuePair pv1 = new PointValuePair(p1, 2);
-        Assert.assertFalse(pv1.equals(null));
+        Assert.assertNotEquals(null, pv1);","[{'comment': '`pv1` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/rank/PSquarePercentileTest.java,"@@ -146,9 +146,9 @@ public void testMiscellaniousFunctionsInMarkers() {
                         Arrays.asList(new Double[] { 0.02, 1.18, 9.15, 21.91,
                                 38.62 }), p);
         // Markers equality
-        Assert.assertTrue(markers.equals(markers));
-        Assert.assertFalse(markers.equals(null));
-        Assert.assertFalse(markers.equals(""""));
+        Assert.assertEquals(markers, markers);
+        Assert.assertNotEquals(null, markers);","[{'comment': '`markers` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/rank/PSquarePercentileTest.java,"@@ -321,8 +321,8 @@ public void testMarkerHeightWithHigherIndex() {
     public void testPSquaredEqualsAndMin() {
         PSquarePercentile ptile = new PSquarePercentile(0);
         Assert.assertEquals(ptile, ptile);
-        Assert.assertFalse(ptile.equals(null));
-        Assert.assertFalse(ptile.equals(""""));
+        Assert.assertNotEquals(null, ptile);","[{'comment': '`ptile` should be the first argument', 'commenter': 'aherbert'}]"
196,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/stat/descriptive/rank/PSquarePercentileTest.java,"@@ -321,8 +321,8 @@ public void testMarkerHeightWithHigherIndex() {
     public void testPSquaredEqualsAndMin() {
         PSquarePercentile ptile = new PSquarePercentile(0);
         Assert.assertEquals(ptile, ptile);
-        Assert.assertFalse(ptile.equals(null));
-        Assert.assertFalse(ptile.equals(""""));
+        Assert.assertNotEquals(null, ptile);
+        Assert.assertNotEquals("""", ptile);","[{'comment': '`ptile` should be the first argument', 'commenter': 'aherbert'}]"
210,commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolatingFunction.java,"@@ -317,49 +325,6 @@ private int searchIndex(double c, double[] val) {
         return r;
     }
 
-    /**
-     * Compute the spline coefficients from the list of function values and
-     * function partial derivatives values at the four corners of a grid
-     * element. They must be specified in the following order:
-     * <ul>
-     *  <li>f(0,0)</li>
-     *  <li>f(1,0)</li>
-     *  <li>f(0,1)</li>
-     *  <li>f(1,1)</li>
-     *  <li>f<sub>x</sub>(0,0)</li>
-     *  <li>f<sub>x</sub>(1,0)</li>
-     *  <li>f<sub>x</sub>(0,1)</li>
-     *  <li>f<sub>x</sub>(1,1)</li>
-     *  <li>f<sub>y</sub>(0,0)</li>
-     *  <li>f<sub>y</sub>(1,0)</li>
-     *  <li>f<sub>y</sub>(0,1)</li>
-     *  <li>f<sub>y</sub>(1,1)</li>
-     *  <li>f<sub>xy</sub>(0,0)</li>
-     *  <li>f<sub>xy</sub>(1,0)</li>
-     *  <li>f<sub>xy</sub>(0,1)</li>
-     *  <li>f<sub>xy</sub>(1,1)</li>
-     * </ul>
-     * where the subscripts indicate the partial derivative with respect to
-     * the corresponding variable(s).
-     *
-     * @param beta List of function values and function partial derivatives
-     * values.
-     * @return the spline coefficients.
-     */
-    private double[] computeSplineCoefficients(double[] beta) {
-        final double[] a = new double[NUM_COEFF];
-
-        for (int i = 0; i < NUM_COEFF; i++) {
-            double result = 0;
-            final double[] row = AINV[i];","[{'comment': 'Q. Why has this been replaced with the matrix multiply?\r\n\r\nUsing the Matrix objects is far less efficient.', 'commenter': 'aherbert'}, {'comment': 'I thought using the Matrix functionality would have made the code much clearer than reinventing the wheel.\r\nIf you want I can rollback it to the previous method (that was indeed multiplying the matrix with the column) but I would expect the matrix packages/classes to be as mush as efficient ... ', 'commenter': 'amoscatelli'}, {'comment': 'If you find the actual method in `org.apache.commons.math4.legacy.linear.Array2DRowRealMatrix.multiply` then you will see that it is not efficient at all. In my experience using the OO matrix classes is 5-10x slower than a manually written implementation that avoids defensive copying of all intermediate arrays.\r\n\r\nPlease revert the change as it is not required (functionality is the same).', 'commenter': 'aherbert'}, {'comment': 'I feel kinda sad.\r\nAnyway I reverted as you suggested !', 'commenter': 'amoscatelli'}]"
210,commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolatingFunction.java,"@@ -322,4 +485,40 @@ private double apply(double[] pX, double[] pY, double[][] coeff) {
 
         return result;
     }
+
+    /**
+     * @return the partial derivative wrt {@code x}.
+     */
+    public BivariateFunction partialDerivativeX() {","[{'comment': 'These can all drop the public keyword.', 'commenter': 'aherbert'}, {'comment': 'Done!', 'commenter': 'amoscatelli'}]"
210,commons-math-legacy/src/main/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolator.java,"@@ -41,6 +41,30 @@
  */
 public class BicubicInterpolator
     implements BivariateGridInterpolator {
+    /** Whether to initialize internal data used to compute the analytical
+    derivatives of the splines. */","[{'comment': 'Add ` * ` at the start of the line for correct javadoc formatting', 'commenter': 'aherbert'}, {'comment': 'Done!', 'commenter': 'amoscatelli'}]"
210,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolatingFunctionTest.java,"@@ -304,7 +304,7 @@ public void testSplinePartialDerivatives() {
             }
         }
 
-        final BicubicFunction f = new BicubicFunction(coeff, true);
+        final BicubicFunction f = new BicubicFunction(coeff, 1, 1, true);","[{'comment': 'Have you tested this when `xR` and `yR` are not 1? I would suggest simply repeating the test with `xR` and `yR` as  0.5 and 2 then testing the derivative is correctly scaled.\r\n', 'commenter': 'aherbert'}, {'comment': 'Look at testMatchingPartialDerivatives test.', 'commenter': 'amoscatelli'}, {'comment': 'That uses an interval of 1 / 20 for both axes. Perhaps update to have different step sizes for each axis. This will ensure xR and yR are not mixed up.', 'commenter': 'aherbert'}, {'comment': ""Done ! I updated that test to have different xval and yval array, and it's still working."", 'commenter': 'amoscatelli'}]"
210,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolatingFunctionTest.java,"@@ -286,6 +287,231 @@ public double value(double x, double y) {
                           maxTolerance,
                           false);
     }
+    
+    /**
+     * Test for partial derivatives of {@link BicubicSplineFunction}.","[{'comment': '`BicubicSplineFunction` does not exist; it should be `BicubicFunction`', 'commenter': 'aherbert'}, {'comment': 'Done!', 'commenter': 'amoscatelli'}]"
210,commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/analysis/interpolation/BicubicInterpolatingFunctionTest.java,"@@ -286,6 +287,231 @@ public double value(double x, double y) {
                           maxTolerance,
                           false);
     }
+    
+    /**
+     * Test for partial derivatives of {@link BicubicSplineFunction}.
+     * <p>
+     * f(x, y) = &Sigma;<sub>i</sub>&Sigma;<sub>j</sub> (i+1) (j+2) x<sup>i</sup> y<sup>j</sup>
+     */
+    @Test
+    public void testSplinePartialDerivatives() {
+        final int N = 4;
+        final double[] coeff = new double[16];
+
+        for (int i = 0; i < N; i++) {
+            for (int j = 0; j < N; j++) {
+                coeff[i + N * j] = (i + 1) * (j + 2);
+            }
+        }
+
+        final BicubicFunction f = new BicubicFunction(coeff, 1, 1, true);
+        BivariateFunction derivative;
+        final double x = 0.435;
+        final double y = 0.776;
+        final double tol = 1e-13;
+
+        derivative = new BivariateFunction() {
+                public double value(double x, double y) {
+                    final double x2 = x * x;
+                    final double y2 = y * y;
+                    final double y3 = y2 * y;
+                    final double yFactor = 2 + 3 * y + 4 * y2 + 5 * y3;
+                    return yFactor * (2 + 6 * x + 12 * x2);
+                }
+            };
+        Assert.assertEquals(""dFdX"", derivative.value(x, y),
+                            f.partialDerivativeX().value(x, y), tol);
+
+        derivative = new BivariateFunction() {
+                public double value(double x, double y) {
+                    final double x2 = x * x;
+                    final double x3 = x2 * x;
+                    final double y2 = y * y;
+                    final double xFactor = 1 + 2 * x + 3 * x2 + 4 * x3;
+                    return xFactor * (3 + 8 * y + 15 * y2);
+                }
+            };
+        Assert.assertEquals(""dFdY"", derivative.value(x, y),
+                            f.partialDerivativeY().value(x, y), tol);
+
+        derivative = new BivariateFunction() {
+                public double value(double x, double y) {
+                    final double y2 = y * y;
+                    final double y3 = y2 * y;
+                    final double yFactor = 2 + 3 * y + 4 * y2 + 5 * y3;
+                    return yFactor * (6 + 24 * x);
+                }
+            };
+        Assert.assertEquals(""d2FdX2"", derivative.value(x, y),
+                            f.partialDerivativeXX().value(x, y), tol);
+
+        derivative = new BivariateFunction() {
+                public double value(double x, double y) {
+                    final double x2 = x * x;
+                    final double x3 = x2 * x;
+                    final double xFactor = 1 + 2 * x + 3 * x2 + 4 * x3;
+                    return xFactor * (8 + 30 * y);
+                }
+            };
+        Assert.assertEquals(""d2FdY2"", derivative.value(x, y),
+                            f.partialDerivativeYY().value(x, y), tol);
+
+        derivative = new BivariateFunction() {
+                public double value(double x, double y) {
+                    final double x2 = x * x;
+                    final double y2 = y * y;
+                    final double yFactor = 3 + 8 * y + 15 * y2;
+                    return yFactor * (2 + 6 * x + 12 * x2);
+                }
+            };
+        Assert.assertEquals(""d2FdXdY"", derivative.value(x, y),
+                            f.partialDerivativeXY().value(x, y), tol);
+    }
+
+    /**
+     * Test that the partial derivatives computed from a
+     * {@link BicubicSplineInterpolatingFunction} match the input data.","[{'comment': '`BicubicSplineInterpolatingFunction` does not exist', 'commenter': 'aherbert'}, {'comment': 'Done!', 'commenter': 'amoscatelli'}]"
