Pull,Path,Diff_hunk,Comment
197,README.md,"@@ -114,6 +114,7 @@ instance, or the system browser.
     - __hardwareback__: set to `yes` to use the hardware back button to navigate backwards through the `InAppBrowser`'s history. If there is no previous page, the `InAppBrowser` will close.  The default value is `yes`, so you must set it to `no` if you want the back button to simply close the InAppBrowser.
     - __mediaPlaybackRequiresUserAction__: Set to `yes` to prevent HTML5 audio or video from autoplaying (defaults to `no`).
     - __shouldPauseOnSuspend__: Set to `yes` to make InAppBrowser WebView to pause/resume with the app to stop background audio (this may be required to avoid Google Play issues like described in [CB-11013](https://issues.apache.org/jira/browse/CB-11013)).
+    - __hidenotclose__: set to 'yes' to make the done/close button hide the browser window rather than closing the browser (defaults to 'no')","[{'comment': 'change done/close to just close as the done button is for iOS', 'commenter': 'jcesarmobile'}]"
197,README.md,"@@ -131,6 +132,7 @@ instance, or the system browser.
     - __presentationstyle__:  Set to `pagesheet`, `formsheet` or `fullscreen` to set the [presentation style](http://developer.apple.com/library/ios/documentation/UIKit/Reference/UIViewController_Class/Reference/Reference.html#//apple_ref/occ/instp/UIViewController/modalPresentationStyle) (defaults to `fullscreen`).
     - __transitionstyle__: Set to `fliphorizontal`, `crossdissolve` or `coververtical` to set the [transition style](http://developer.apple.com/library/ios/#documentation/UIKit/Reference/UIViewController_Class/Reference/Reference.html#//apple_ref/occ/instp/UIViewController/modalTransitionStyle) (defaults to `coververtical`).
     - __toolbarposition__: Set to `top` or `bottom` (default is `bottom`). Causes the toolbar to be at the top or bottom of the window.
+    - __hidenotclose__: set to 'yes' to make the done/close button hide the browser window rather than closing the browser (defaults to 'no')","[{'comment': 'Change done/close to just done as iOS has no close button', 'commenter': 'jcesarmobile'}, {'comment': 'the option is implemented for both android and iOS and in the android docs it was referred to as ""close"" or ""x"" so I included both.  I can change it if you like.', 'commenter': 'ghenry22'}, {'comment': 'yeah, it\'s for both, but the preference is documented for both too, so in the iOS section it should say ""done"" and in the Android section it should say ""close"" instead of saying ""done/close"" on both', 'commenter': 'jcesarmobile'}]"
197,src/ios/CDVInAppBrowser.m,"@@ -246,25 +246,11 @@ - (void)show:(CDVInvokedUrlCommand*)command
 - (void)hide:(CDVInvokedUrlCommand*)command","[{'comment': 'Just make it \r\n```\r\n- (void)hide:(CDVInvokedUrlCommand*)command\r\n{\r\n    [self browserHide];\r\n}\r\n```\r\nThere is no need to create a new hide method, you can call browserHide directly', 'commenter': 'jcesarmobile'}]"
197,src/ios/CDVInAppBrowser.m,"@@ -815,6 +827,13 @@ - (void)close
     });
 }
 
+- (void)hide","[{'comment': 'As I said before, you can just remove this method if you call browserHide from the another hide', 'commenter': 'jcesarmobile'}]"
197,src/ios/CDVInAppBrowser.h,"@@ -96,6 +97,7 @@
 @property (nonatomic) NSURL* currentURL;
 
 - (void)close;
+- (void)hide;","[{'comment': 'There is no need for this method', 'commenter': 'jcesarmobile'}]"
197,src/ios/CDVInAppBrowser.m,"@@ -568,7 +576,11 @@ - (void)createViews
     self.spinner.userInteractionEnabled = NO;
     [self.spinner stopAnimating];
 
-    self.closeButton = [[UIBarButtonItem alloc] initWithBarButtonSystemItem:UIBarButtonSystemItemDone target:self action:@selector(close)];
+    if (_browserOptions.hidenotclose != nil) {","[{'comment': ""This shows a warning \r\n> Comparison between pointer and integer ('int' and 'void *')\r\n\r\nTake a look how the other options are parsed and converted to booleans and do the same so you can use `if (browserOptions.hidenotclose)`"", 'commenter': 'jcesarmobile'}]"
253,plugin.xml,"@@ -147,52 +101,6 @@
         <source-file src=""src/osx/CDVInAppBrowser.m"" />
     </platform>
 
-    <!-- wp7 -->
-    <platform name=""wp7"">
-        <config-file target=""Properties/WMAppManifest.xml"" parent=""/Deployment/App/Capabilities"">
-            <Capability Name=""ID_CAP_NETWORKING""/>
-        </config-file>
-
-        <js-module src=""www/inappbrowser.js"" name=""inappbrowser"">
-            <clobbers target=""cordova.InAppBrowser.open"" />
-            <clobbers target=""window.open"" />
-        </js-module>
-        <config-file target=""config.xml"" parent=""/*"">
-            <feature name=""InAppBrowser"">
-                <param name=""wp-package"" value=""InAppBrowser""/>
-            </feature>
-        </config-file>
-
-        <config-file target=""Properties/WMAppManifest.xml"" parent=""/Deployment/App/Capabilities"">
-            <Capability Name=""ID_CAP_NETWORKING"" />
-        </config-file>
-
-        <source-file src=""src/wp/InAppBrowser.cs"" />
-    </platform>
-
-    <!-- wp8 -->
-    <platform name=""wp8"">
-        <config-file target=""Properties/WMAppManifest.xml"" parent=""/Deployment/App/Capabilities"">
-            <Capability Name=""ID_CAP_NETWORKING""/>
-        </config-file>
-
-        <js-module src=""www/inappbrowser.js"" name=""inappbrowser"">
-            <clobbers target=""cordova.InAppBrowser.open"" />
-            <clobbers target=""window.open"" />
-        </js-module>
-        <config-file target=""config.xml"" parent=""/*"">
-            <feature name=""InAppBrowser"">
-                <param name=""wp-package"" value=""InAppBrowser""/>
-            </feature>
-        </config-file>
-
-        <config-file target=""Properties/WMAppManifest.xml"" parent=""/Deployment/App/Capabilities"">
-            <Capability Name=""ID_CAP_NETWORKING"" />
-        </config-file>
-
-        <source-file src=""src/wp/InAppBrowser.cs"" />
-    </platform>
-
     <!-- windows8 -->","[{'comment': '@surajpindoria I think you want to get rid of this platform too.', 'commenter': 'macdonst'}]"
503,src/android/InAppBrowser.java,"@@ -313,7 +313,9 @@ else if (action.equals(""show"")) {
             this.cordova.getActivity().runOnUiThread(new Runnable() {
                 @Override
                 public void run() {
-                    dialog.show();
+                    if(dialog != null){","[{'comment': 'This is a good change in my point of view.', 'commenter': 'NiklasMerz'}]"
503,src/android/InAppBrowser.java,"@@ -324,7 +326,9 @@ else if (action.equals(""hide"")) {
             this.cordova.getActivity().runOnUiThread(new Runnable() {
                 @Override
                 public void run() {
-                    dialog.hide();
+                    if(dialog != null){","[{'comment': 'This is a good change as well.', 'commenter': 'NiklasMerz'}]"
503,src/android/InAppBrowser.java,"@@ -1066,12 +1070,16 @@ public void postMessage(String data) {
                 lp.height = WindowManager.LayoutParams.MATCH_PARENT;
 
                 dialog.setContentView(main);
-                dialog.show();
+                if(dialog != null){","[{'comment': 'If `dialog` would be null, it would crash anyway because of the lines above and below. I would put the null check around all of these lines:\r\n\r\n```\r\n                if(dialog != null){\r\n                    dialog.setContentView(main);\r\n                    dialog.show();\r\n                   dialog.getWindow().setAttributes(lp);\r\n                }\r\n```\r\n\r\n\r\n', 'commenter': 'NiklasMerz'}, {'comment': 'And add a space after the `if` and before the `{` for all new guards 🙃', 'commenter': 'timbru31'}, {'comment': 'Good catch!', 'commenter': 'NiklasMerz'}, {'comment': 'I just pushed these changes. See my following comment', 'commenter': 'NiklasMerz'}]"
