Pull,Path,Diff_hunk,Comment
78,curator-client/src/main/java/org/apache/curator/ensemble/exhibitor/ExhibitorEnsembleProvider.java,"@@ -301,7 +301,7 @@ else if ( port != thePort )
                     values.putAll(decodeExhibitorList(encoded));
                     done = true;
                 }
-                catch ( Throwable e )
+                catch ( Exception e )","[{'comment': ""I don't understand how this is an improvement. Exceptions such as NPE or OOM would be lost with this change. By catching Throwable, those exceptions are logged.\n"", 'commenter': 'Randgalt'}, {'comment': ""NPE still gets caught. If OOM is thrown, does it really make sense to retry? That's usually a pretty drastic condition and very often the JVM is not actually in a recoverable state. The OOM can be thrown because of a different thread going wonky, and we have no way to clean up the resources it was using.\n"", 'commenter': 'madrob'}, {'comment': ""Probably not. But, I'd view that as a separate issue. It's technically up to the retry policy passed to ExhibitorEnsembleProvider.\n"", 'commenter': 'Randgalt'}, {'comment': 'You also need to \\worry about ThreadDeath error:\n\nhttps://docs.oracle.com/javase/7/docs/api/java/lang/ThreadDeath.html\n\n```\nAn application should catch instances of this class only if it must clean up after being terminated asynchronously. \nIf ThreadDeath is caught by a method, it is important that it be rethrown so that the thread actually dies.\n```\n\nSo ThreadDeath Error can be logged, but should never retry to avoid destabilizing JVM.\n', 'commenter': 'SamG1000'}]"
78,curator-framework/src/main/java/org/apache/curator/framework/imps/CuratorFrameworkImpl.java,"@@ -812,31 +812,28 @@ private void performBackgroundOperation(OperationAndData<?> operationAndData)
                 queueOperation(operationAndData);
             }
         }
-        catch ( Throwable e )
+        catch ( CuratorConnectionLossException e )","[{'comment': 'Similar to above. If Throwable is not caught, the exception will be lost. By catching Throwable, the exception will get logged.\n', 'commenter': 'Randgalt'}]"
165,curator-client/src/main/java/org/apache/curator/ConnectionState.java,"@@ -199,13 +202,28 @@ private synchronized void checkTimeouts() throws Exception
                     {
                         log.error(String.format(""Connection timed out for connection string (%s) and timeout (%d) / elapsed (%d)"", zooKeeper.getConnectionString(), connectionTimeoutMs, elapsed), connectionLossException);
                     }
-                    tracer.get().addCount(""connections-timed-out"", 1);
+                    new EventTrace(""connections-timed-out"", tracer.get(), getSessionId()).commit();
                     throw connectionLossException;
                 }
             }
         }
     }
 
+    /**
+     * Return the current session id
+     */
+    public long getSessionId() {
+        long sessionId = -1;
+        if (isConnected()) {
+            try {
+                sessionId = getZooKeeper().getSessionId();","[{'comment': 'This is an expensive call. Is it really necessary? Maybe we can get the session ID cheaper by a direct call to `zooKeeper.getZooKeeper()` - (checking for nulls)\n', 'commenter': 'Randgalt'}, {'comment': ""Session id is a useful information to track the client side issue, it's kind of identity, so we would like to include it. I'll change it to use zookeeper.getZookeeper() directly here.\n"", 'commenter': 'lvfangmin'}]"
179,curator-framework/src/main/java/org/apache/curator/framework/imps/EnsembleTracker.java,"@@ -179,13 +179,16 @@ public static String configToConnectionString(QuorumVerifier data) throws Except
 
     private void processConfigData(byte[] data) throws Exception
     {
-        log.info(""New config event received: "" + Arrays.toString(data));
-
         Properties properties = new Properties();
         properties.load(new ByteArrayInputStream(data));
         QuorumMaj newConfig = new QuorumMaj(properties);
         currentConfig.set(newConfig);
 
+        if ( log.isInfoEnabled() )","[{'comment': 'Instead of this check you can do:\r\n\r\n```java\r\nlog.info(""New config event received: {}"", properties);\r\n```', 'commenter': 'Randgalt'}]"
197,curator-client/src/main/java/org/apache/curator/ConnectionState.java,"@@ -160,13 +162,33 @@ public void process(WatchedEvent event)
             }
         }
 
+        // only wait during tests
+        assert waitOnExpiredEvent(event.getState());","[{'comment': ""How is this meant to work? Are you assuming that assertions will only be enabled in testing? If you need some logic to only be executed during testing shouldn't there be some sort of internal flag indicating this?"", 'commenter': 'cammckenzie'}, {'comment': ""Yes, assuming assertions are enabled in testing. I've added the delay here wait for the reconnect to happen, but since now the reset is called later in the method it might no longer be necessary."", 'commenter': 'Zoltan-Szekeres'}, {'comment': ""I don't think that it's reasonable to assume that assertions will only be turned on during testing. If you look at something like LeaderSelector, it has specific code in there to support unit testing (the debugLeadershipLatch variable).\r\n\r\nIf you can cause the problem to occur without this code though, then it should be removed. I had a quick play with it and I couldn't seem to reproduce it without this code though."", 'commenter': 'cammckenzie'}, {'comment': 'I changed using a debug flag instead of assert. I added an accessor class to be able to set the flag in the package private ConnectionState class.\r\n\r\nI cannot cause the problem to occur without this code.', 'commenter': 'Zoltan-Szekeres'}]"
197,curator-client/src/main/java/org/apache/curator/ConnectionState.java,"@@ -160,13 +162,33 @@ public void process(WatchedEvent event)
             }
         }
 
+        // only wait during tests
+        assert waitOnExpiredEvent(event.getState());
+
         for ( Watcher parentWatcher : parentWatchers )
         {
-
             OperationTrace trace = new OperationTrace(""connection-state-parent-process"", tracer.get(), getSessionId());
             parentWatcher.process(event);
             trace.commit();
         }
+
+        if (eventTypeNone) handleState(event.getState());
+    }
+
+    // only for testing
+    private boolean waitOnExpiredEvent(Event.KeeperState currentState)","[{'comment': 'What is the purpose of the boolean return? The method only ever returns true? Is it purely so you can call it from the assert?', 'commenter': 'cammckenzie'}, {'comment': 'Yes - only so that it can be called form assert.', 'commenter': 'Zoltan-Szekeres'}]"
197,curator-client/src/main/java/org/apache/curator/ConnectionState.java,"@@ -283,12 +300,19 @@ private boolean checkState(Event.KeeperState state, boolean wasConnected)
             new EventTrace(state.toString(), tracer.get(), getSessionId()).commit();
         }
 
-        if ( checkNewConnectionString && zooKeeper.hasNewConnectionString() )
+        return isConnected;
+    }
+
+    private void handleState(Event.KeeperState state)
+    {
+        if (state == Event.KeeperState.Expired)
+        {
+            handleExpiredSession();","[{'comment': ""We've lost functionality here right? If there's a new connection string and an expired session we don't get the new connection string."", 'commenter': 'Randgalt'}, {'comment': 'It gets handled in the handleState() method, which is called from process()', 'commenter': 'cammckenzie'}, {'comment': ""It's `handleState()` that I'm concerned about. When `state == Event.KeeperState.Expired` the `zooKeeper.hasNewConnectionString()` isn't called."", 'commenter': 'Randgalt'}, {'comment': ""Isn't that true of the existing implementation though? If the state is expired then the checkNewConnectionString flag gets set to false so the handleNewConnectionString() method won't get called."", 'commenter': 'cammckenzie'}, {'comment': ""Oh - I think you're right. The old version set `checkNewConnectionString=false`"", 'commenter': 'Randgalt'}]"
206,src/site/confluence/index.confluence,"@@ -2,7 +2,10 @@ h1. Welcome to Apache Curator
 
 h2. What is Curator?
 
-Curator _n &#x02c8;kyoor&#x035d;&#x02cc;&#x0101;t&#x0259;r_: a keeper or custodian of a museum or other collection \- A ZooKeeper Keeper.","[{'comment': ""I'd like to keep this line please. "", 'commenter': 'Randgalt'}]"
206,src/site/confluence/index.confluence,"@@ -4,6 +4,10 @@ h2. What is Curator?
 
 Curator _n &#x02c8;kyoor&#x035d;&#x02cc;&#x0101;t&#x0259;r_: a keeper or custodian of a museum or other collection \- A ZooKeeper Keeper.
 
+Then, what is Apache Curator? Apache Curator is a Java/JVM client library for [[Apache ZooKeeper|https://zookeeper.apache.org/]], a distributed coordination service.","[{'comment': '""Then, what is Apache Curator?"" is unnecessary IMO. I prefer the line without this.', 'commenter': 'Randgalt'}]"
209,pom.xml,"@@ -277,6 +277,16 @@
             <timezone>-8</timezone>
             <url>https://people.apache.org/~enis</url>
         </developer>
+
+        <developer>
+            <name>Fangmin Lyu</name>
+            <email>fangmin@apache.org</email>
+            <roles>
+                <role>PMC Member</role>","[{'comment': 'You are also a  <role>Committer</role>', 'commenter': 'Randgalt'}, {'comment': '@Randgalt to be clear, you mean I can commit without have this being reviewed?', 'commenter': 'lvfangmin'}, {'comment': 'No, I meant you need to add another line to the file:\r\n\r\n```xml\r\n<role>Committer</role>\r\n```', 'commenter': 'Randgalt'}]"
237,curator-framework/pom.xml,"@@ -100,6 +100,27 @@
                     </execution>
                 </executions>
             </plugin>
+            <plugin>
+                <groupId>org.apache.felix</groupId>
+                <artifactId>maven-bundle-plugin</artifactId>
+                <version>3.3.0</version>
+                <extensions>true</extensions>
+                <configuration>
+                    <instructions>
+                        <Import-Package>!org.apache.curator,*</Import-Package>","[{'comment': 'There is no need to define the plugin again. The plugin is defined once in the parent pom and inherited from the rest of the modules.\r\n\r\nTo customize a modules configuration please set properties:\r\n- `osgi.import.package`\r\n- `osgi.export.package`', 'commenter': 'iocanel'}]"
