Pull,Path,Diff_hunk,Comment
47,fe/src/com/baidu/palo/common/ErrorCode.java,"@@ -155,7 +155,7 @@
     ERR_CLUSTER_NAME_NULL(5041, new byte[] {'4', '2', '0', '0', '0'}, ""No cluster name""),
     ERR_CLUSTER_NO_PERMISSIONS(5042, new byte[] {'4', '2', '0', '0', '0'}, ""No permissions""),
     ERR_CLUSTER_CREATE_ISTANCE_NUM_ERROR(5043, new byte[] {'4', '2', '0', '0', '0'}, 
-            ""Instance num can't be less than 0""),
+            ""Instance num can't be less than or equal 0""),","[{'comment': ""can't be less than nor equal with 0"", 'commenter': 'imay'}, {'comment': '这个确定吗？我怎么查了这么写没错啊', 'commenter': 'chenhao7253886'}]"
47,fe/src/com/baidu/palo/analysis/ShowBackendsStmt.java,"@@ -0,0 +1,45 @@
+// Copyright 2017 The Apache Software Foundation
+// Modifications copyright (C) 2017, Baidu.com, Inc.
+
+// Licensed to the Apache Software Foundation (ASF) under one
+// or more contributor license agreements.  See the NOTICE file
+// distributed with this work for additional information
+// regarding copyright ownership.  The ASF licenses this file
+// to you under the Apache License, Version 2.0 (the
+// ""License""); you may not use this file except in compliance
+// with the License.  You may obtain a copy of the License at
+//
+//   http://www.apache.org/licenses/LICENSE-2.0
+//
+// Unless required by applicable law or agreed to in writing,
+// software distributed under the License is distributed on an
+// ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY
+// KIND, either express or implied.  See the License for the
+// specific language governing permissions and limitations
+// under the License.
+
+package com.baidu.palo.analysis;
+
+import com.baidu.palo.catalog.Column;
+import com.baidu.palo.catalog.ColumnType;
+import com.baidu.palo.common.proc.BackendsProcDir;
+import com.baidu.palo.qe.ShowResultSetMetaData;
+
+public class ShowBackendsStmt extends ShowStmt {
+
+    public ShowBackendsStmt() {  
+    }
+    
+    @Override
+    public ShowResultSetMetaData getMetaData() {
+         ShowResultSetMetaData.Builder builder = ShowResultSetMetaData.builder();
+         for (String title : BackendsProcDir.TITLE_NAMES) {
+             if (title.equals(""HostName"") || title.equals(""HeartbeatPort"") 
+                     || title.equals(""BePort"") || title.equals(""HttpPort"")) {
+                 continue;
+             }
+            builder.addColumn(new Column(title, ColumnType.createVarchar(30)));
+        }
+        return builder.build();","[{'comment': '这个为什么不写成静态对象呢？每次生成的不是一样的么？', 'commenter': 'imay'}, {'comment': '这里用其他地方的静态对象生成的，避免重复吧。', 'commenter': 'chenhao7253886'}, {'comment': '这个没啥重复的吧？因为你每次build出来的内容都一样，那么写成一个静态的对象直接返回是没问题的', 'commenter': 'imay'}]"
47,fe/src/com/baidu/palo/cluster/ClusterNamespace.java,"@@ -85,7 +85,7 @@ public static String getDbNameFromFullName(String db) {
      * @return
      */
     public static String getUsrNameFromFullName(String usr) {
-        if (checkName(usr)) {
+        if (!checkName(usr)) {","[{'comment': '这里难道不应该是checkName不符合后，返回的是参数而不是null么？', 'commenter': 'imay'}, {'comment': '这个我改下，应该返回参数更合理些。', 'commenter': 'chenhao7253886'}]"
47,fe/src/com/baidu/palo/analysis/ShowBackendsStmt.java,"@@ -0,0 +1,45 @@
+// Copyright 2017 The Apache Software Foundation
+// Modifications copyright (C) 2017, Baidu.com, Inc.
+
+// Licensed to the Apache Software Foundation (ASF) under one","[{'comment': '这个Licence写的有问题，需要改下', 'commenter': 'imay'}]"
69,fe/src/com/baidu/palo/catalog/Type.java,"@@ -20,6 +20,20 @@
 
 package com.baidu.palo.catalog;
 
+// Copyright 2012 Cloudera Inc.
+//
+// Licensed under the Apache License, Version 2.0 (the ""License"");","[{'comment': '这个license不需要了吧？直接去掉吧？', 'commenter': 'imay'}, {'comment': '把license去掉吧', 'commenter': 'imay'}]"
69,fe/src/com/baidu/palo/catalog/ScalarType.java,"@@ -20,6 +20,20 @@
 
 package com.baidu.palo.catalog;
 
+// Copyright 2012 Cloudera Inc.
+//","[{'comment': '这个同样', 'commenter': 'imay'}]"
69,fe/src/com/baidu/palo/system/SystemInfoService.java,"@@ -987,7 +987,7 @@ public void unregisterObserver(SystemInfoObserver observer) {
 
     public void replayAddBackend(Backend newBackend) {
         // update idToBackend
-        if (Catalog.getCurrentCatalogJournalVersion() < FeMetaVersion.VERSION_23) {
+        if (Catalog.getCurrentCatalogJournalVersion() < FeMetaVersion.VERSION_30) {","[{'comment': '这个为什么要改呢？', 'commenter': 'imay'}]"
89,fe/src/com/baidu/palo/http/BaseAction.java,"@@ -87,6 +86,7 @@ public void setQeService(QeService qeService) {
     @Override
     public void handleRequest(BaseRequest request) throws Exception {
         BaseResponse response = new BaseResponse();
+        LOG.debug(""receive http request. url="", request.getRequest().uri());","[{'comment': '少个 {}', 'commenter': 'morningman'}, {'comment': 'This log should remove', 'commenter': 'imay'}, {'comment': 'Done.', 'commenter': 'lingbin'}, {'comment': 'this log is to show reqeust url to help debug.', 'commenter': 'lingbin'}]"
91,be/src/common/config.h,"@@ -312,6 +312,9 @@ namespace config {
     // ""If true, Kudu features will be disabled.""
     CONF_Bool(disable_kudu, ""false"")
 
+    // to forward compatibility, will be removed later
+    CONF_Bool(disable_deprecated_download, ""false"");","[{'comment': '这个配置名字不好，应该直接说明你做的是什么。比如在1年后，download模型可能更新多次了，而这个配置选项看名字都不知道在干嘛了。\r\n另外，安全功能默认应该是开启的', 'commenter': 'imay'}, {'comment': '修改成enable_token_check了', 'commenter': 'lingbin'}]"
91,be/src/http/download_action.cpp,"@@ -215,5 +224,37 @@ std::string DownloadAction::get_content_type(const std::string& file_name) {
     return std::string();
 }
 
+Status DownloadAction::check_token(HttpRequest *req) {
+    const std::string& token_str = req->param(TOKEN_PARAMETER);
+    if (token_str.empty()) {
+        return Status(""token is not specified."");
+    }
+
+    StringParser::ParseResult parse_result = StringParser::PARSE_SUCCESS;
+    int32_t token = StringParser::string_to_int<int32_t>(
+            token_str.c_str(), token_str.size(), &parse_result);
+    if (parse_result != StringParser::PARSE_SUCCESS) {
+        return Status(""token format is wrong."");
+    }
+
+    int32_t local_token = static_cast<int32_t>(_exec_env->cluster_id());
+    if (token != local_token) {
+        return Status(""invalid token."");
+    }
+
+    return Status::OK;
+}
+
+Status DownloadAction::check_path(const std::string& file_path) {
+    for (auto& allow_path : _allow_paths) {
+        VLOG_ROW << ""allow path: "" << allow_path;","[{'comment': 'Remove this debug log', 'commenter': 'imay'}, {'comment': 'Done.', 'commenter': 'lingbin'}]"
