Pull,Path,Diff_hunk,Comment
63,dubbo-admin/src/main/java/com/alibaba/dubboadmin/web/mvc/RouterController.java,"@@ -29,6 +29,7 @@
 import com.alibaba.dubboadmin.governance.util.WebConstants;
 import com.alibaba.dubboadmin.web.mvc.governance.ServicesController;
 
+import oracle.jrockit.jfr.events.RequestableEventEnvironment;","[{'comment': 'This is not necessary.', 'commenter': 'ralf0131'}]"
208,dubbo-admin-backend/src/main/resources/application.properties,"@@ -16,6 +16,8 @@
 #
 
 dubbo.registry.group=dubbo
+dubbo.configcenter.username=username
+dubbo.configcenter.password=password","[{'comment': 'please change the style of configcenter to config-center, thanks', 'commenter': 'nzomkxia'}, {'comment': ""ok，I'll do it"", 'commenter': 'sunbufu'}, {'comment': ""Hi, I update this properties. But when I push it and run CI, I get an error '`The Travis CI build failed`'. and details is '`Failed to retrieve POM for org.apache.maven.surefire:surefire-junit4:jar:2.21.0: Could not transfer artifact org.apache.maven.surefire:surefire-junit4:pom:2.21.0 from/to central (https://repo.maven.apache.org/maven2): Connection reset`'. I do not change any POM file. Can you help me for this ? Thank you."", 'commenter': 'sunbufu'}, {'comment': ""It's success when I run it again. Please review my PR, thank you. "", 'commenter': 'sunbufu'}]"
228,dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/common/AdminConstants.java,"@@ -0,0 +1,25 @@
+package org.apache.dubbo.admin.common;
+
+/**
+ * @author zhanghuilong
+ * @desc   Constants
+ * @since 2019/01/03
+ */
+public class AdminConstants {
+
+    public static final String PUNCTUATION_POINT = ""."";
+
+    public static final String PUNCTUATION_SEPARATOR_POINT = ""\\."";
+
+    public final static String PATH_SEPARATOR = ""/"";
+
+    public final static String INTERROGATION_POINT = ""?"";
+
+    public static final String ANY_VALUE = ""*"";
+
+    public static final String APPLICATION = ""application"";
+
+    public static final String SERVICE = ""service"";
+
+    public static final String IP = ""ip"";
+}","[{'comment': 'We already have a class: `org.apache.dubbo.admin.common.util.Constants`,  please add these variables there.', 'commenter': 'nzomkxia'}, {'comment': 'ok , thank you. Later I will add these again.\r\n', 'commenter': 'hrsstd'}]"
228,dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/config/ConfigCenter.java,"@@ -43,7 +43,7 @@
     @Value(""${dubbo.configcenter:}"")
     private String configCenter;
 
-    @Value(""${dubbo.registry.address:}"")
+    @Value(""${dubbo.configcenter:}"")
     private String registryAddress;
 
     private static String globalConfigPath = ""config/dubbo/dubbo.properties"";","[{'comment': 'both dubbo.configcenter and dubbo.registrey.address are necessary here, do not change', 'commenter': 'nzomkxia'}, {'comment': ""if don't change this , can I change the  application.properties add a config ?\r\nlike this: dubbo.registry.address=zookeeper://127.0.0.1:2181\r\n"", 'commenter': 'hrsstd'}]"
228,dubbo-admin-backend/src/main/java/org/apache/dubbo/admin/controller/ServiceController.java,"@@ -52,33 +54,33 @@ public ServiceController(ProviderService providerService, ConsumerService consum
 
     @RequestMapping(method = RequestMethod.GET)
     public Set<ServiceDTO> searchService(@RequestParam String pattern,
-                                         @RequestParam String filter,@PathVariable String env) {
+        @RequestParam String filter,@PathVariable String env) {","[{'comment': 'this format change is unnecessary', 'commenter': 'nzomkxia'}, {'comment': 'get', 'commenter': 'hrsstd'}]"
268,dubbo-admin-backend/src/test/java/org/apache/dubbo/admin/common/util/CoderUtilTest.java,"@@ -0,0 +1,50 @@
+package org.apache.dubbo.admin.common.util;","[{'comment': 'Please add Apache License announcement at the head of new files.\r\nYou can copy it from any other sourcecode.', 'commenter': 'biyuhao'}, {'comment': 'ok', 'commenter': 'sunbufu'}]"
268,dubbo-admin-backend/src/test/java/org/apache/dubbo/admin/service/RegistryServerSyncTest.java,"@@ -0,0 +1,86 @@
+package org.apache.dubbo.admin.service;","[{'comment': 'Apache license announcement is required here.', 'commenter': 'biyuhao'}, {'comment': 'ok', 'commenter': 'sunbufu'}]"
268,dubbo-admin-backend/src/test/java/org/apache/dubbo/admin/common/util/CoderUtilTest.java,"@@ -0,0 +1,50 @@
+package org.apache.dubbo.admin.common.util;
+
+import org.junit.Test;
+
+import static org.junit.Assert.*;","[{'comment': 'remove *', 'commenter': 'lovepoem'}, {'comment': 'ok', 'commenter': 'sunbufu'}]"
311,dubbo-admin-server/src/main/java/org/apache/dubbo/admin/service/impl/GenericServiceImpl.java,"@@ -17,39 +17,74 @@
 
 package org.apache.dubbo.admin.service.impl;
 
+import org.apache.dubbo.admin.common.util.Constants;
 import org.apache.dubbo.config.ApplicationConfig;
 import org.apache.dubbo.config.ReferenceConfig;
 import org.apache.dubbo.config.RegistryConfig;
+import org.apache.dubbo.config.context.ConfigManager;
 import org.apache.dubbo.registry.Registry;
 import org.apache.dubbo.rpc.service.GenericService;
 import org.springframework.beans.factory.annotation.Autowired;
 import org.springframework.stereotype.Component;
 
-import javax.annotation.PostConstruct;
+import java.util.Map;
+import java.util.concurrent.ConcurrentHashMap;
 
 @Component
 public class GenericServiceImpl {
-    private ApplicationConfig applicationConfig;
+
+    private static final Map<String, ReferenceConfig<GenericService>> referenceConfigMap = new ConcurrentHashMap<>();","[{'comment': 'Dubbo admin 里面把服务引用缓存起来个人觉得不太合理，因为服务的调用频率并不高，而且很多服务也就偶尔调用一次，缓存起来似乎没必要，在这里调用稍微慢一点我觉得是可以接受的', 'commenter': 'kexianjun'}, {'comment': '官方文档推荐使用缓存而不是每次都创建\r\n// 引用远程服务 \r\n// 该实例很重量，里面封装了所有与注册中心及服务提供方连接，请缓存\r\n[http://dubbo.incubator.apache.org/zh-cn/docs/user/demos/generic-reference.html](url)', 'commenter': 'qq925716471'}, {'comment': '官方文档推荐这么做应该是在调用量很大的时候避免重复的执行服务引用的过程，和这里的场景我觉得是不一样的. 试想一个场景，一般 Dubbo admin 一个注册中心部署一套，很多服务都会注册上来， 可能开发调试的时候会用一下这个功能，而且调用次数也很少，缓存下来以后久而久之，缓存的数据会越来越多，真正用到的可能就只有最新注册上来的那么几个服务', 'commenter': 'kexianjun'}, {'comment': '这个缓存我先去掉吧', 'commenter': 'qq925716471'}]"
341,dubbo-admin-ui/src/components/test/ServiceTest.vue,"@@ -230,7 +237,7 @@
     mounted () {
       this.$store.dispatch('loadServiceItems')
       let query = this.$route.query
-      this.filter = query['service']
+      this.filter = query['service'] ? query['service'] : ''","[{'comment': ""`query['service'] ? query['service'] : ''` can be replaced with a simpler way `query['service'] || ''`"", 'commenter': 'kezhenxu94'}]"
