Pull,Path,Diff_hunk,Comment
307,README.md,"@@ -66,27 +74,38 @@ The protocol of eventmesh is easier and convenient, you can read more [here](doc
 |         |Support MQTT protocol|
 
 ## Quick Start
+
 1. Build and deploy event-store(RocketMQ), see [instruction](https://rocketmq.apache.org/docs/quick-start/).
-2. Build and deploy eventmesh-runtime, see instruction ['eventmesh-runtime quickstart'](docs/en/instructions/eventmesh-runtime-quickstart.md).
-3. Run eventmesh-sdk-java demo, see instruction ['eventmesh-sdk-java quickstart'](docs/en/instructions/eventmesh-sdk-java-quickstart.md). 
+2. Build and deploy eventmesh-runtime, see
+   instruction ['eventmesh-runtime quickstart'](docs/en/instructions/eventmesh-runtime-quickstart.md).
+3. Run eventmesh-sdk-java demo, see
+   instruction ['eventmesh-sdk-java quickstart'](docs/en/instructions/eventmesh-sdk-java-quickstart.md).
 
 ## Contributing
+
 Contributions are always welcomed! Please see [CONTRIBUTING](CONTRIBUTING.md) for detailed guidelines.
 
-You can start with the issues labeled with good first issue. 
+You can start with the issues labeled with good first issue.
 [GitHub Issues](https://github.com/WeBankFinTech/EventMesh/issues)
 
 ## License
+
 [Apache License, Version 2.0](http://www.apache.org/licenses/LICENSE-2.0.html) Copyright (C) Apache Software Foundation.
 
 ## Community
+
 WeChat group：
 
 ![wechat_qr](docs/images/mesh-helper.png)
 
 Mailing Lists:
-| Name | Description |Subscribe	|Unsubscribe|Archive
-| ----    | ----    |----    | ----    | ----    |
-|Users	|User support and questions mailing list|	[Subscribe](mailto:users-subscribe@eventmesh.incubator.apache.org)	|[Unsubscribe](mailto:users-unsubscribe@eventmesh.incubator.apache.org)	|[Mail Archives](https://lists.apache.org/list.html?users@eventmesh.apache.org)|
-|Development	|Development related discussions|	[Subscribe](mailto:dev-subscribe@eventmesh.incubator.apache.org)	|[Unsubscribe](mailto:dev-unsubscribe@eventmesh.incubator.apache.org)	|[Mail Archives](https://lists.apache.org/list.html?dev@eventmesh.apache.org)|
-|Commits	|All commits to repositories|	[Subscribe](mailto:commits-subscribe@eventmesh.incubator.apache.org)	|[Unsubscribe](mailto:commits-unsubscribe@eventmesh.incubator.apache.org)	|[Mail Archives](https://lists.apache.org/list.html?commits@eventmesh.apache.org)|
+| Name | Description |Subscribe |Unsubscribe|Archive | ---- | ---- |---- | ---- | ---- | |Users |User support and","[{'comment': 'here need a new line character, not append  **|Name|** to **Mailing Lists:**', 'commenter': 'xwm1992'}]"
319,eventmesh-runtime/src/main/java/org/apache/eventmesh/runtime/configuration/CommonConfiguration.java,"@@ -15,10 +15,10 @@
 // * limitations under the License.
 // */
 //
-//package org.apache.runtime.configuration;
+//package com.webank.runtime.configuration;
 //
 //import com.google.common.base.Preconditions;
-//import org.apache.runtime.util.EventMeshUtil;
+//import com.webank.runtime.util.EventMeshUtil;","[{'comment': 'here still com.webank', 'commenter': 'xwm1992'}, {'comment': 'Yes, I have noticed that. But I think there is no ""org.apache.runtime"" package...', 'commenter': 'SteveYurongSu'}, {'comment': ""If the class is useless, we'd better remove it :D"", 'commenter': 'SteveYurongSu'}, {'comment': 'Ok, you can remove these classes later', 'commenter': 'xwm1992'}]"
319,eventmesh-runtime/src/main/java/org/apache/eventmesh/runtime/configuration/ConfigurationWraper.java,"@@ -15,7 +15,7 @@
 // * limitations under the License.
 // */
 //
-//package org.apache.runtime.configuration;
+//package com.webank.runtime.configuration;","[{'comment': 'Similar to the above', 'commenter': 'xwm1992'}]"
319,eventmesh-runtime/src/main/java/org/apache/eventmesh/runtime/domain/ConsumeRequest.java,"@@ -14,7 +14,7 @@
 // * See the License for the specific language governing permissions and
 // * limitations under the License.
 // */
-//package org.apache.runtime.domain;
+//package com.webank.runtime.domain;","[{'comment': 'Similar to the above', 'commenter': 'xwm1992'}]"
326,eventmesh-common/build.gradle,"@@ -73,18 +73,18 @@ dependencies {
     testCompile apache_commons, httpclient, guava, netty, fastjson, jackson
 }
 
-uploadArchives {
-    repositories {
-        mavenDeployer {
-            snapshotRepository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-            repository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-        }
-    }
-}
+//uploadArchives {","[{'comment': 'remove it if no used anymore.', 'commenter': 'wqliang'}]"
326,eventmesh-runtime/build.gradle,"@@ -146,15 +141,15 @@ task tar(type: Tar, dependsOn: ['clean', 'jar']) {
     }
 }
 
-uploadArchives {
-    repositories {
-        mavenDeployer {
-            snapshotRepository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-            repository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-        }
-    }
-}
\ No newline at end of file
+//uploadArchives {","[{'comment': 'remove it if no use anymore.', 'commenter': 'wqliang'}]"
326,eventmesh-connector-api/build.gradle,"@@ -51,18 +51,18 @@ dependencies {
     testCompile group: 'junit', name: 'junit', version: '4.12', open_message
 }
 
-uploadArchives {
-    repositories {
-        mavenDeployer {
-            snapshotRepository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-            repository(url: 'Your target repo address') {
-                authentication(userName: 'Your user name', password: 'Your password')
-            }
-        }
-    }
-}
+//uploadArchives {","[{'comment': 'remove it if no use anymore.', 'commenter': 'wqliang'}]"
326,gradle.properties,"@@ -14,11 +14,17 @@
 # See the License for the specific language governing permissions and
 # limitations under the License.
 #
-group=org.apache.eventmesh
-version=1.2.0-SNAPSHOT
-rocketmqVersion=4.4.0
 jdk=1.8
 snapshot=false
-mavenUserName=
-mavenPassword=
-#org.gradle.java.home=C:\\Program Files\\Java\\jdk1.7.0_67
+group=org.apache.eventmesh
+version=1.2.0-SNAPSHOT
+#40位公钥的最后8位","[{'comment': 'English would be better.', 'commenter': 'wqliang'}]"
345,eventmesh-runtime/src/main/java/org/apache/eventmesh/runtime/core/protocol/http/processor/UnSubscribeProcessor.java,"@@ -131,12 +126,15 @@ public void onResponse(HttpCommand httpCommand) {
 
         synchronized (eventMeshHTTPServer.localClientInfoMapping) {
             boolean isChange = true;
+
+            registerClient(unSubscribeRequestHeader, consumerGroup, unSubTopicList, unSubscribeUrl);
+
             for (String unSubTopic : unSubTopicList) {
                 List<Client> groupTopicClients = eventMeshHTTPServer.localClientInfoMapping.get(consumerGroup + ""@"" + unSubTopic);
                 Iterator<Client> clientIterator = groupTopicClients.iterator();
                 while (clientIterator.hasNext()) {
                     Client client = clientIterator.next();
-                    if (StringUtils.equals(client.ip, ip)) {
+                    if (StringUtils.equals(client.ip, ip) && StringUtils.equals(client.url, unSubscribeUrl)) {","[{'comment': ""**client.ip** here should change to use **client.pid** as for equals condition，here ip represent ip+port and the port is random this equal condition will never reached, and client won't unsubscribe"", 'commenter': 'xwm1992'}, {'comment': 'Thanks @xwm1992 I fixed it by using client.pid instead. Thanks.', 'commenter': 'jinrongluo'}]"
388,eventmesh-sdk-java/src/main/java/org/apache/eventmesh/client/http/consumer/LiteConsumer.java,"@@ -234,7 +237,13 @@ public void run() {
     }
 
     public boolean unsubscribe(List<String> topicList, String url) throws Exception {
-        subscription.removeAll(topicList);
+        Set<String> unSub = new HashSet<>(topicList);
+        for (SubscriptionItem item:subscription) {
+            if (unSub.contains(item.getTopic())) {
+                subscription.remove(item);","[{'comment': 'Here, may cause ConcurrentModification Exception, use iterator may be better, please take a look', 'commenter': 'xwm1992'}]"
