Pull,Path,Diff_hunk,Comment
14,tools/releasing/create_release_branch.sh,"@@ -0,0 +1,59 @@
+#!/usr/bin/env bash
+
+#
+# Licensed to the Apache Software Foundation (ASF) under one or more
+# contributor license agreements.  See the NOTICE file distributed with
+# this work for additional information regarding copyright ownership.
+# The ASF licenses this file to You under the Apache License, Version 2.0
+# (the ""License""); you may not use this file except in compliance with
+# the License.  You may obtain a copy of the License at
+#
+#    http://www.apache.org/licenses/LICENSE-2.0
+#
+# Unless required by applicable law or agreed to in writing, software
+# distributed under the License is distributed on an ""AS IS"" BASIS,
+# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+# See the License for the specific language governing permissions and
+# limitations under the License.
+#
+
+##
+## Variables with defaults (if not overwritten by environment)
+##
+RELEASE_CANDIDATE=${RELEASE_CANDIDATE:-none}
+
+##
+## Required variables
+##
+RELEASE_VERSION=${RELEASE_VERSION}","[{'comment': 'It seems like a redundant assignment, am I missing some bash-foo :-)', 'commenter': 'igalshilman'}, {'comment': '@igalshilman its there to avoid `Unresolved variable` warnings later in the script when using the variable.', 'commenter': 'tzulitai'}]"
14,tools/releasing/create_release_branch.sh,"@@ -0,0 +1,59 @@
+#!/usr/bin/env bash
+
+#
+# Licensed to the Apache Software Foundation (ASF) under one or more
+# contributor license agreements.  See the NOTICE file distributed with
+# this work for additional information regarding copyright ownership.
+# The ASF licenses this file to You under the Apache License, Version 2.0
+# (the ""License""); you may not use this file except in compliance with
+# the License.  You may obtain a copy of the License at
+#
+#    http://www.apache.org/licenses/LICENSE-2.0
+#
+# Unless required by applicable law or agreed to in writing, software
+# distributed under the License is distributed on an ""AS IS"" BASIS,
+# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+# See the License for the specific language governing permissions and
+# limitations under the License.
+#
+
+##
+## Variables with defaults (if not overwritten by environment)
+##
+RELEASE_CANDIDATE=${RELEASE_CANDIDATE:-none}
+
+##
+## Required variables
+##
+RELEASE_VERSION=${RELEASE_VERSION}
+
+if [ -z ""${RELEASE_VERSION}"" ]; then
+	echo ""RELEASE_VERSION was not set""
+	exit 1
+fi
+
+# fail immediately
+set -o errexit
+set -o nounset
+
+BASE_DIR=""$( cd ""$( dirname ""${BASH_SOURCE[0]}"" )"" >/dev/null && pwd )""
+PROJECT_ROOT=""${BASE_DIR}/../../""
+
+###########################
+
+TARGET_BRANCH=release-${RELEASE_VERSION}
+if [ ""${RELEASE_CANDIDATE}"" != ""none"" ]; then
+  TARGET_BRANCH=${TARGET_BRANCH}-rc${RELEASE_CANDIDATE}
+fi
+
+cd ${PROJECT_ROOT}
+git checkout -b ${TARGET_BRANCH}
+
+RELEASE_COMMIT_HASH=`git rev-parse HEAD`
+
+TAG_COMMIT_MSG=""Apache Flink Stateful Functions, release ${RELEASE_VERSION}""
+if [ ""${RELEASE_CANDIDATE}"" != ""none"" ]; then
+  TAG_COMMIT_MSG=""${TAG_COMMIT_MSG} candidate #${RELEASE_CANDIDATE}""","[{'comment': 'The TAG_COMMIT_MESSAGE is unused.', 'commenter': 'igalshilman'}, {'comment': 'Oops, good catch.', 'commenter': 'tzulitai'}]"
14,tools/releasing/update_branch_version.sh,"@@ -0,0 +1,56 @@
+#!/usr/bin/env bash
+
+#
+# Licensed to the Apache Software Foundation (ASF) under one or more
+# contributor license agreements.  See the NOTICE file distributed with
+# this work for additional information regarding copyright ownership.
+# The ASF licenses this file to You under the Apache License, Version 2.0
+# (the ""License""); you may not use this file except in compliance with
+# the License.  You may obtain a copy of the License at
+#
+#    http://www.apache.org/licenses/LICENSE-2.0
+#
+# Unless required by applicable law or agreed to in writing, software
+# distributed under the License is distributed on an ""AS IS"" BASIS,
+# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+# See the License for the specific language governing permissions and
+# limitations under the License.
+#
+
+##
+## Required variables
+##
+OLD_VERSION=${OLD_VERSION}
+NEW_VERSION=${NEW_VERSION}
+
+if [ -z ""${OLD_VERSION}"" ]; then
+    echo ""OLD_VERSION was not set.""
+    exit 1
+fi
+
+if [ -z ""${NEW_VERSION}"" ]; then
+    echo ""NEW_VERSION was not set.""
+    exit 1
+fi
+
+# fail immediately
+set -o errexit
+set -o nounset
+
+BASE_DIR=""$( cd ""$( dirname ""${BASH_SOURCE[0]}"" )"" >/dev/null && pwd )""
+PROJECT_ROOT=""${BASE_DIR}/../../""
+
+###########################
+
+cd ${PROJECT_ROOT}","[{'comment': 'It is a good practice to test for a file that you would expect to see here, for example pom.xml, or README.md.\r\nThis would help if the shell script would be moved outside it’s current location.', 'commenter': 'igalshilman'}, {'comment': 'Good point.', 'commenter': 'tzulitai'}]"
14,tools/releasing/update_branch_version.sh,"@@ -0,0 +1,56 @@
+#!/usr/bin/env bash
+
+#
+# Licensed to the Apache Software Foundation (ASF) under one or more
+# contributor license agreements.  See the NOTICE file distributed with
+# this work for additional information regarding copyright ownership.
+# The ASF licenses this file to You under the Apache License, Version 2.0
+# (the ""License""); you may not use this file except in compliance with
+# the License.  You may obtain a copy of the License at
+#
+#    http://www.apache.org/licenses/LICENSE-2.0
+#
+# Unless required by applicable law or agreed to in writing, software
+# distributed under the License is distributed on an ""AS IS"" BASIS,
+# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+# See the License for the specific language governing permissions and
+# limitations under the License.
+#
+
+##
+## Required variables
+##
+OLD_VERSION=${OLD_VERSION}
+NEW_VERSION=${NEW_VERSION}
+
+if [ -z ""${OLD_VERSION}"" ]; then
+    echo ""OLD_VERSION was not set.""
+    exit 1
+fi
+
+if [ -z ""${NEW_VERSION}"" ]; then
+    echo ""NEW_VERSION was not set.""
+    exit 1
+fi
+
+# fail immediately
+set -o errexit
+set -o nounset
+
+BASE_DIR=""$( cd ""$( dirname ""${BASH_SOURCE[0]}"" )"" >/dev/null && pwd )""
+PROJECT_ROOT=""${BASE_DIR}/../../""
+
+###########################
+
+cd ${PROJECT_ROOT}
+
+#change version in all pom files
+find . -name 'pom.xml' -type f -exec perl -pi -e 's#<version>(.*)'${OLD_VERSION}'(.*)</version>#<version>${1}'${NEW_VERSION}'${2}</version>#' {} \;","[{'comment': 'There is a maven command for this,\r\nSee https://www.mojohaus.org/versions-maven-plugin/examples/set.html', 'commenter': 'igalshilman'}, {'comment': ""I'll still keep this script and encourage its usage, since this script handles doc version string updates."", 'commenter': 'tzulitai'}, {'comment': 'For example, there is a version string in the README as well.', 'commenter': 'tzulitai'}, {'comment': ""I'll change the Maven POM update part to `mvn versions:set -DgenerateBackupPoms=false -DnewVersion=${NEW_VERSION}`."", 'commenter': 'tzulitai'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/cache/SingleThreadedLruCache.java,"@@ -0,0 +1,62 @@
+/*
+ * Copyright 2019 Ververica GmbH.","[{'comment': ""Is this intended? If yes, we might have to add this to the NOTICE file and tag this file (see what I've done to the `fastutil` sources).\r\nOtherwise, since we also happen to be from Ververica 😃 It'd probably be fine for us to make the decision to just copyright this to Apache since this is part of the contribution anyways."", 'commenter': 'tzulitai'}, {'comment': 'It is not intended, it was an old editor template :-) \r\nAnd it was fixed in 5d05e231fddc9932e40e1d6943ccb4bcd6b6c159 (fxiup)', 'commenter': 'igalshilman'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/state/StateBinder.java,"@@ -36,13 +39,34 @@ public StateBinder(@Label(""state"") State state) {
   }
 
   public BoundState bind(FunctionType functionType, @Nullable Object instance) {
-    List<PersistedValue<Object>> values = PersistedValues.findReflectively(instance);
-
-    for (PersistedValue<Object> persistedValue : values) {
-      Accessor<Object> accessor = state.createFlinkStateAccessor(functionType, persistedValue);
-      ApiExtension.setPersistedValueAccessor(persistedValue, accessor);
+    List<?> values = PersistedValues.findReflectively(instance);","[{'comment': 'Please rename the variable `values` and the class `PersistedValues` to probably `PersistedStates`, since the class now handles not only values but tables as well.', 'commenter': 'tzulitai'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/state/MultiplexedTableStateAccessor.java,"@@ -0,0 +1,141 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.flink.statefun.flink.core.state;
+
+import com.google.protobuf.ByteString;
+import java.io.IOException;
+import java.util.Objects;
+import javax.annotation.Nonnull;
+import javax.annotation.Nullable;
+import org.apache.flink.api.common.state.MapState;
+import org.apache.flink.api.common.typeutils.TypeSerializer;
+import org.apache.flink.core.memory.DataInputDeserializer;
+import org.apache.flink.core.memory.DataOutputSerializer;
+import org.apache.flink.statefun.flink.core.cache.SingleThreadedLruCache;
+import org.apache.flink.statefun.flink.core.generated.MultiplexedStateKey;
+import org.apache.flink.statefun.sdk.state.TableAccessor;
+
+final class MultiplexedTableStateAccessor<K, V> implements TableAccessor<K, V> {
+  private final MapState<MultiplexedStateKey, byte[]> mapStateHandle;
+  private final MultiplexedStateKey accessorMapKeyPrefix;
+  private final TaggedRawSerializer<K> keySerializer;
+  private final TaggedRawSerializer<V> valueSerializer;
+
+  private final SingleThreadedLruCache<K, MultiplexedStateKey> commonKeysCache =
+      new SingleThreadedLruCache<>(128);
+
+  MultiplexedTableStateAccessor(
+      MapState<MultiplexedStateKey, byte[]> handle,
+      MultiplexedStateKey accessorMapKeyPrefix,
+      TypeSerializer<K> subKeySerializer,
+      TypeSerializer<V> subValueSerializer) {
+    this.mapStateHandle = Objects.requireNonNull(handle);
+    this.keySerializer = new TaggedRawSerializer<>(new byte[0], subKeySerializer);
+    this.valueSerializer = new TaggedRawSerializer<>(new byte[0], subValueSerializer);
+    this.accessorMapKeyPrefix = accessorMapKeyPrefix;
+  }
+
+  @Override
+  public void set(K key, V value) {
+    try {
+      MultiplexedStateKey keyBytes = stateKey(key);
+      if (value == null) {
+        mapStateHandle.remove(keyBytes);
+      } else {
+        byte[] bytes = valueSerializer.serialize(value);
+        mapStateHandle.put(keyBytes, bytes);
+      }
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public V get(K userKey) {
+    try {
+      final MultiplexedStateKey stateKey = stateKey(userKey);
+      final byte[] bytes = mapStateHandle.get(stateKey);
+      if (bytes == null) {
+        return null;
+      }
+      return valueSerializer.deserialize(bytes);
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public void remove(K userKey) {
+    try {
+      mapStateHandle.remove(stateKey(userKey));
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Nonnull
+  private MultiplexedStateKey stateKey(final K userKey) {
+    Objects.requireNonNull(userKey, ""Key can not be NULL"");
+    @Nullable MultiplexedStateKey stateKey = commonKeysCache.get(userKey);
+    if (stateKey != null) {
+      return stateKey;
+    }
+    try {
+      commonKeysCache.put(userKey, stateKey = computeStateKeyFromUserKey(userKey));
+      return stateKey;
+    } catch (IOException e) {
+      throw new RuntimeException(""Unable to serialize the key "" + userKey, e);
+    }
+  }
+
+  private MultiplexedStateKey computeStateKeyFromUserKey(K userKey) throws IOException {
+    byte[] userKeyBytes = keySerializer.serialize(userKey);
+    ByteString userKeyByteString = ByteString.copyFrom(userKeyBytes);
+    return accessorMapKeyPrefix.toBuilder().addUserKeys(userKeyByteString).build();
+  }
+
+  private static final class TaggedRawSerializer<T> {
+
+    private final TypeSerializer<T> delegate;
+    private final DataOutputSerializer output;
+    private final DataInputDeserializer input;
+    private final byte[] tag;
+
+    TaggedRawSerializer(byte[] tag, TypeSerializer<T> delegate) {
+      this.tag = Objects.requireNonNull(tag);
+      this.delegate = Objects.requireNonNull(delegate);
+      this.output = new DataOutputSerializer(32 + tag.length);","[{'comment': 'nit: Might want to consider setting this `32` to a named static final variable, for the sake of readability of the code.\r\nSomething along the lines of `DEFAULT_OUT_BUFFER_SIZE`.', 'commenter': 'tzulitai'}, {'comment': 'Let me actually remove that, and pull up the RawSerializer.', 'commenter': 'igalshilman'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/state/MultiplexedTableStateAccessor.java,"@@ -0,0 +1,141 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.flink.statefun.flink.core.state;
+
+import com.google.protobuf.ByteString;
+import java.io.IOException;
+import java.util.Objects;
+import javax.annotation.Nonnull;
+import javax.annotation.Nullable;
+import org.apache.flink.api.common.state.MapState;
+import org.apache.flink.api.common.typeutils.TypeSerializer;
+import org.apache.flink.core.memory.DataInputDeserializer;
+import org.apache.flink.core.memory.DataOutputSerializer;
+import org.apache.flink.statefun.flink.core.cache.SingleThreadedLruCache;
+import org.apache.flink.statefun.flink.core.generated.MultiplexedStateKey;
+import org.apache.flink.statefun.sdk.state.TableAccessor;
+
+final class MultiplexedTableStateAccessor<K, V> implements TableAccessor<K, V> {
+  private final MapState<MultiplexedStateKey, byte[]> mapStateHandle;
+  private final MultiplexedStateKey accessorMapKeyPrefix;
+  private final TaggedRawSerializer<K> keySerializer;
+  private final TaggedRawSerializer<V> valueSerializer;
+
+  private final SingleThreadedLruCache<K, MultiplexedStateKey> commonKeysCache =
+      new SingleThreadedLruCache<>(128);
+
+  MultiplexedTableStateAccessor(
+      MapState<MultiplexedStateKey, byte[]> handle,
+      MultiplexedStateKey accessorMapKeyPrefix,
+      TypeSerializer<K> subKeySerializer,
+      TypeSerializer<V> subValueSerializer) {
+    this.mapStateHandle = Objects.requireNonNull(handle);
+    this.keySerializer = new TaggedRawSerializer<>(new byte[0], subKeySerializer);
+    this.valueSerializer = new TaggedRawSerializer<>(new byte[0], subValueSerializer);
+    this.accessorMapKeyPrefix = accessorMapKeyPrefix;
+  }
+
+  @Override
+  public void set(K key, V value) {
+    try {
+      MultiplexedStateKey keyBytes = stateKey(key);
+      if (value == null) {
+        mapStateHandle.remove(keyBytes);
+      } else {
+        byte[] bytes = valueSerializer.serialize(value);
+        mapStateHandle.put(keyBytes, bytes);
+      }
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public V get(K userKey) {
+    try {
+      final MultiplexedStateKey stateKey = stateKey(userKey);
+      final byte[] bytes = mapStateHandle.get(stateKey);
+      if (bytes == null) {
+        return null;
+      }
+      return valueSerializer.deserialize(bytes);
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public void remove(K userKey) {
+    try {
+      mapStateHandle.remove(stateKey(userKey));
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Nonnull
+  private MultiplexedStateKey stateKey(final K userKey) {
+    Objects.requireNonNull(userKey, ""Key can not be NULL"");
+    @Nullable MultiplexedStateKey stateKey = commonKeysCache.get(userKey);
+    if (stateKey != null) {
+      return stateKey;
+    }
+    try {
+      commonKeysCache.put(userKey, stateKey = computeStateKeyFromUserKey(userKey));
+      return stateKey;
+    } catch (IOException e) {
+      throw new RuntimeException(""Unable to serialize the key "" + userKey, e);
+    }
+  }
+
+  private MultiplexedStateKey computeStateKeyFromUserKey(K userKey) throws IOException {
+    byte[] userKeyBytes = keySerializer.serialize(userKey);
+    ByteString userKeyByteString = ByteString.copyFrom(userKeyBytes);
+    return accessorMapKeyPrefix.toBuilder().addUserKeys(userKeyByteString).build();","[{'comment': '👍 gotcha (RE: just figured out the answer to my question on whether `MultiplexedStateKey` needs additional fields, answer is no).', 'commenter': 'tzulitai'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/state/MultiplexedTableStateAccessor.java,"@@ -0,0 +1,141 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.flink.statefun.flink.core.state;
+
+import com.google.protobuf.ByteString;
+import java.io.IOException;
+import java.util.Objects;
+import javax.annotation.Nonnull;
+import javax.annotation.Nullable;
+import org.apache.flink.api.common.state.MapState;
+import org.apache.flink.api.common.typeutils.TypeSerializer;
+import org.apache.flink.core.memory.DataInputDeserializer;
+import org.apache.flink.core.memory.DataOutputSerializer;
+import org.apache.flink.statefun.flink.core.cache.SingleThreadedLruCache;
+import org.apache.flink.statefun.flink.core.generated.MultiplexedStateKey;
+import org.apache.flink.statefun.sdk.state.TableAccessor;
+
+final class MultiplexedTableStateAccessor<K, V> implements TableAccessor<K, V> {
+  private final MapState<MultiplexedStateKey, byte[]> mapStateHandle;
+  private final MultiplexedStateKey accessorMapKeyPrefix;
+  private final TaggedRawSerializer<K> keySerializer;
+  private final TaggedRawSerializer<V> valueSerializer;
+
+  private final SingleThreadedLruCache<K, MultiplexedStateKey> commonKeysCache =
+      new SingleThreadedLruCache<>(128);","[{'comment': 'nit: again, consider assigning this 128 to a class static final named variable for readability.', 'commenter': 'tzulitai'}, {'comment': 'Good idea! will followup with a hot fix commit.', 'commenter': 'igalshilman'}]"
17,statefun-flink/statefun-flink-core/src/main/java/org/apache/flink/statefun/flink/core/state/MultiplexedTableStateAccessor.java,"@@ -0,0 +1,141 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.flink.statefun.flink.core.state;
+
+import com.google.protobuf.ByteString;
+import java.io.IOException;
+import java.util.Objects;
+import javax.annotation.Nonnull;
+import javax.annotation.Nullable;
+import org.apache.flink.api.common.state.MapState;
+import org.apache.flink.api.common.typeutils.TypeSerializer;
+import org.apache.flink.core.memory.DataInputDeserializer;
+import org.apache.flink.core.memory.DataOutputSerializer;
+import org.apache.flink.statefun.flink.core.cache.SingleThreadedLruCache;
+import org.apache.flink.statefun.flink.core.generated.MultiplexedStateKey;
+import org.apache.flink.statefun.sdk.state.TableAccessor;
+
+final class MultiplexedTableStateAccessor<K, V> implements TableAccessor<K, V> {
+  private final MapState<MultiplexedStateKey, byte[]> mapStateHandle;
+  private final MultiplexedStateKey accessorMapKeyPrefix;
+  private final TaggedRawSerializer<K> keySerializer;
+  private final TaggedRawSerializer<V> valueSerializer;
+
+  private final SingleThreadedLruCache<K, MultiplexedStateKey> commonKeysCache =
+      new SingleThreadedLruCache<>(128);
+
+  MultiplexedTableStateAccessor(
+      MapState<MultiplexedStateKey, byte[]> handle,
+      MultiplexedStateKey accessorMapKeyPrefix,
+      TypeSerializer<K> subKeySerializer,
+      TypeSerializer<V> subValueSerializer) {
+    this.mapStateHandle = Objects.requireNonNull(handle);
+    this.keySerializer = new TaggedRawSerializer<>(new byte[0], subKeySerializer);
+    this.valueSerializer = new TaggedRawSerializer<>(new byte[0], subValueSerializer);
+    this.accessorMapKeyPrefix = accessorMapKeyPrefix;
+  }
+
+  @Override
+  public void set(K key, V value) {
+    try {
+      MultiplexedStateKey keyBytes = stateKey(key);
+      if (value == null) {
+        mapStateHandle.remove(keyBytes);
+      } else {
+        byte[] bytes = valueSerializer.serialize(value);
+        mapStateHandle.put(keyBytes, bytes);
+      }
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public V get(K userKey) {
+    try {
+      final MultiplexedStateKey stateKey = stateKey(userKey);
+      final byte[] bytes = mapStateHandle.get(stateKey);
+      if (bytes == null) {
+        return null;
+      }
+      return valueSerializer.deserialize(bytes);
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Override
+  public void remove(K userKey) {
+    try {
+      mapStateHandle.remove(stateKey(userKey));
+    } catch (Exception e) {
+      throw new RuntimeException(e);
+    }
+  }
+
+  @Nonnull
+  private MultiplexedStateKey stateKey(final K userKey) {
+    Objects.requireNonNull(userKey, ""Key can not be NULL"");
+    @Nullable MultiplexedStateKey stateKey = commonKeysCache.get(userKey);
+    if (stateKey != null) {
+      return stateKey;
+    }
+    try {
+      commonKeysCache.put(userKey, stateKey = computeStateKeyFromUserKey(userKey));
+      return stateKey;
+    } catch (IOException e) {
+      throw new RuntimeException(""Unable to serialize the key "" + userKey, e);
+    }
+  }
+
+  private MultiplexedStateKey computeStateKeyFromUserKey(K userKey) throws IOException {
+    byte[] userKeyBytes = keySerializer.serialize(userKey);
+    ByteString userKeyByteString = ByteString.copyFrom(userKeyBytes);
+    return accessorMapKeyPrefix.toBuilder().addUserKeys(userKeyByteString).build();
+  }
+
+  private static final class TaggedRawSerializer<T> {
+
+    private final TypeSerializer<T> delegate;
+    private final DataOutputSerializer output;
+    private final DataInputDeserializer input;
+    private final byte[] tag;
+
+    TaggedRawSerializer(byte[] tag, TypeSerializer<T> delegate) {
+      this.tag = Objects.requireNonNull(tag);","[{'comment': ""I don't think we need this tag. It's also always an empty byte array being passed as argument in its usages."", 'commenter': 'tzulitai'}, {'comment': 'Yes you are right, I have addressed that in e40b2f2c93716adacbbd07587996f515f263645c', 'commenter': 'igalshilman'}]"
