Pull,Path,Diff_hunk,Comment
13,long-ride-alerts/DISCUSSION.md,"@@ -21,7 +21,23 @@ under the License.
 
 (Discussion of [Lab: `ProcessFunction` and Timers (Long Ride Alerts)](./))
 
+It would be interesting to test that the solution does not leak state.
 
+A good way to write unit tests for a `KeyedProcessFunction` that check for state retention, etc., is to","[{'comment': '```suggestion\r\nA good way to write unit tests for a `KeyedProcessFunction` to check for state retention, etc., is to\r\n```', 'commenter': 'NicoK'}]"
13,long-ride-alerts/DISCUSSION.md,"@@ -21,7 +21,23 @@ under the License.
 
 (Discussion of [Lab: `ProcessFunction` and Timers (Long Ride Alerts)](./))
 
+It would be interesting to test that the solution does not leak state.
 
+A good way to write unit tests for a `KeyedProcessFunction` that check for state retention, etc., is to
+use the test harnesses described in the
+[documentation on testing](https://ci.apache.org/projects/flink/flink-docs-stable/dev/stream/testing.html#unit-testing-stateful-or-timely-udfs--custom-operators). 
+
+In fact, the reference solutions will leak state in the case where a START event is missing. They also
+leak in the case where the alert is generated, but then the END event does eventually arrive (after `onTimer()`
+has cleared the matching START event).
+
+This could be addressed either by using [state TTL](https://ci.apache.org/projects/flink/flink-docs-stable/dev/stream/state/state.html#state-time-to-live-ttl),
+or by using another timer that eventually
+clears any remaining state. There is a tradeoff here, however: once that state has been removed,
+then if the matching events are't actually missing, but are instead very, very late, they will cause erroneous alerts.","[{'comment': '```suggestion\r\nthen if the matching events are not actually missing, but are instead very, very late, they will cause erroneous alerts.\r\n```', 'commenter': 'NicoK'}]"
13,long-ride-alerts/README.md,"@@ -62,13 +62,11 @@ The resulting stream should be printed to standard out.
 <details>
 <summary><strong>Overall approach</strong></summary>
 
-This exercise revolves around using a `ProcessFunction` to manage some keyed state and event time timers, and doing so in a way that works even when the END event for a given `rideId` arrives before the START (which will happen). The challenge is figuring out what state to keep, and when to set and clear that state.
-</details>
-
-<details>
-<summary><strong>Timers and State</strong></summary>
-
-You will want to use event time timers that fire two hours after the incoming events, and in the `onTimer()` method, collect START events to the output only if a matching END event hasn't yet arrived. As for what state to keep, it is enough to remember the ""last"" event for each `rideId`, where ""last"" is based on event time and ride type (START vs END &mdash; yes, there are rides where the START and END have the same timestamp), rather than the order in which the events are processed. The `TaxiRide` class implements `Comparable`; feel free to take advantage of that, and be sure to eventually clear any state you create.","[{'comment': 'Why did you remove the hints on what state to keep?', 'commenter': 'NicoK'}, {'comment': ""That hint was somewhat wrong-headed. I've written a new hint that points (rather strongly) toward the new solution."", 'commenter': 'alpinegizmo'}]"
13,long-ride-alerts/README.md,"@@ -69,6 +69,20 @@ You will want to use event time timers that fire two hours after an incoming STA
 collect START events to the output only if a matching END event hasn't yet arrived.
 </details>
 
+<details>
+<summary><strong>State and timers</strong></summary>
+
+There are many possible solutions for this exercise, but in general it is enough to keep one
+`TaxiRide` in state (one `TaxiRide` for each key, or `rideId`). The approach used in the reference solution is to
+store whichever event arrives first (the START or the END), and if it's a START event,
+create a timer for two hours later. If and when the other event (for the same rideId) arrives,","[{'comment': '```suggestion\r\ncreate a timer for two hours later. If and when the other event (for the same `rideId`) arrives,\r\n```', 'commenter': 'NicoK'}]"
13,long-ride-alerts/README.md,"@@ -69,6 +69,20 @@ You will want to use event time timers that fire two hours after an incoming STA
 collect START events to the output only if a matching END event hasn't yet arrived.
 </details>
 
+<details>
+<summary><strong>State and timers</strong></summary>
+
+There are many possible solutions for this exercise, but in general it is enough to keep one
+`TaxiRide` in state (one `TaxiRide` for each key, or `rideId`). The approach used in the reference solution is to
+store whichever event arrives first (the START or the END), and if it's a START event,
+create a timer for two hours later. If and when the other event (for the same rideId) arrives,
+carefully clean things up.
+
+It's possible to arrange this so that if `onTimer()` is called, you are guaranteed that","[{'comment': '```suggestion\r\nIt is possible to arrange this so that if `onTimer()` is called, you are guaranteed that\r\n```', 'commenter': 'NicoK'}]"
16,ride-cleansing/README.md,"@@ -27,7 +27,7 @@ The `GeoUtils` utility class provides a static method `isInNYC(float lon, float
 
 ### Input Data
 
-This series of exercises is based a stream of `TaxiRide` events, as described in [Using the Taxi Data Streams](../README.md#using-the-taxi-data-streams).
+This series of exercises is based on stream of `TaxiRide` events, as described in [Using the Taxi Data Streams](../README.md#using-the-taxi-data-streams).","[{'comment': '```suggestion\r\nThis exercise is based on a stream of `TaxiRide` events, as described in [Using the Taxi Data Streams](../README.md#using-the-taxi-data-streams).\r\n```', 'commenter': 'alpinegizmo'}]"
31,common/src/test/java/org/apache/flink/training/exercises/testing/ComposedPipeline.java,"@@ -0,0 +1,47 @@
+package org.apache.flink.training.exercises.testing;
+
+import org.apache.flink.streaming.api.functions.source.SourceFunction;
+import org.apache.flink.training.exercises.common.utils.MissingSolutionException;
+
+/**
+ * This allows the tests to be run against both the exercises and the solutions.
+ *
+ * <p>If an exercise throws MissingSolutionException, then the solution is tested.
+ */
+public class ComposedPipeline<IN, OUT> implements ExecutablePipeline<IN, OUT> {
+
+    private ExecutablePipeline<IN, OUT> exercise;
+    private ExecutablePipeline<IN, OUT> solution;
+
+    public ComposedPipeline(
+            ExecutablePipeline<IN, OUT> exercise, ExecutablePipeline<IN, OUT> solution) {
+        this.exercise = exercise;
+        this.solution = solution;
+    }
+
+    @Override
+    public void execute(SourceFunction<IN> source, TestSink<OUT> sink) throws Exception {
+
+        sink.reset();
+
+        try {
+            exercise.execute(source, sink);
+        } catch (Exception e) {
+            if (ultimateCauseIsMissingSolution(e)) {
+                solution.execute(source, sink);
+            } else {
+                throw e;
+            }
+        }
+    }
+
+    private boolean ultimateCauseIsMissingSolution(Throwable e) {
+        if (e instanceof MissingSolutionException) {
+            return true;
+        } else if (e.getCause() != null) {
+            return ultimateCauseIsMissingSolution(e.getCause());
+        } else {
+            return false;
+        }","[{'comment': ""I'm not sure how deep these stack traces could be, but wouldn't it be better to iterate through these instead?\r\n```suggestion\r\n        while (e != null) {\r\n            if (e instanceof MissingSolutionException) {\r\n                return true;\r\n            } else {\r\n                e = e.getCause();\r\n            }\r\n        }\r\n        return false;\r\n```"", 'commenter': 'NicoK'}]"
31,common/build.gradle,"@@ -17,6 +17,10 @@ dependencies {
     shadow ""org.apache.flink:flink-runtime_${scalaBinaryVersion}:${flinkVersion}""
 
     testApi ""junit:junit:${junitVersion}""
+    testApi ""org.apache.flink:flink-streaming-java_${scalaBinaryVersion}:${flinkVersion}:tests""
+    testApi ""org.apache.flink:flink-runtime_${scalaBinaryVersion}:${flinkVersion}:tests""
     testApi ""org.apache.flink:flink-test-utils-junit:${flinkVersion}""
+    testApi ""org.apache.flink:flink-test-utils_${scalaBinaryVersion}:${flinkVersion}""
     testApi 'org.hamcrest:hamcrest-library:1.3'
+    testApi 'org.assertj:assertj-core:3.20.2'","[{'comment': ""Do wee need this dependency? Isn't `org.junit.Assert#assertThat()` doing the same?"", 'commenter': 'NicoK'}, {'comment': ""It's my intention to replace hamcrest with assertj. The motivation is to be able to use assertj's assertions on Collections, such as containsExactlyInAnyOrder.\r\n\r\nI don't believe this is possible with junit (or hamcrest)."", 'commenter': 'alpinegizmo'}]"
31,common/src/test/java/org/apache/flink/training/exercises/testing/ParallelTestSource.java,"@@ -0,0 +1,73 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+
+package org.apache.flink.training.exercises.testing;
+
+import org.apache.flink.configuration.Configuration;
+import org.apache.flink.streaming.api.functions.source.RichParallelSourceFunction;
+
+import java.util.ArrayList;
+import java.util.List;
+
+public class ParallelTestSource<T> extends RichParallelSourceFunction<T> {
+    protected T[] testStream;
+    TestSourcePartitioner<T> partitioner;
+    private List<T> substream;
+
+    public ParallelTestSource(TestSourcePartitioner<T> partitioner, T... events) {
+        this.partitioner = partitioner;
+        this.testStream = events;
+    }
+
+    public ParallelTestSource(T... events) {
+        this.partitioner = (e -> 0);
+        this.testStream = events;
+    }
+
+    @Override
+    public void open(Configuration parameters) throws Exception {
+
+        int indexOfThisSubtask = getRuntimeContext().getIndexOfThisSubtask();
+        int numberOfParallelSubtasks = getRuntimeContext().getNumberOfParallelSubtasks();
+        substream = new ArrayList<>();
+
+        for (int i = 0; i < testStream.length; i++) {
+            T element = testStream[i];
+            long subtaskToUse = partitioner.partition(element) % numberOfParallelSubtasks;
+
+            if (subtaskToUse == indexOfThisSubtask) {
+                substream.add(element);
+            } else if (subtaskToUse < 0 || subtaskToUse > numberOfParallelSubtasks - 1) {
+                throw new RuntimeException(""Requested subtask is out-of-bounds: "" + subtaskToUse);
+            }
+        }","[{'comment': ""Did you create this `substream` separately for debugging purposes to see which elements are actually contained in a source? Otherwise, we can skip this variable and integrate the logic here into `run()` (but maybe, it's relevant for the source interface change)"", 'commenter': 'NicoK'}]"
31,common/src/test/java/org/apache/flink/training/exercises/testing/ParallelTestSource.java,"@@ -0,0 +1,73 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+
+package org.apache.flink.training.exercises.testing;
+
+import org.apache.flink.configuration.Configuration;
+import org.apache.flink.streaming.api.functions.source.RichParallelSourceFunction;
+
+import java.util.ArrayList;
+import java.util.List;
+
+public class ParallelTestSource<T> extends RichParallelSourceFunction<T> {
+    protected T[] testStream;
+    TestSourcePartitioner<T> partitioner;
+    private List<T> substream;
+
+    public ParallelTestSource(TestSourcePartitioner<T> partitioner, T... events) {
+        this.partitioner = partitioner;
+        this.testStream = events;
+    }
+
+    public ParallelTestSource(T... events) {
+        this.partitioner = (e -> 0);
+        this.testStream = events;
+    }
+
+    @Override
+    public void open(Configuration parameters) throws Exception {
+
+        int indexOfThisSubtask = getRuntimeContext().getIndexOfThisSubtask();
+        int numberOfParallelSubtasks = getRuntimeContext().getNumberOfParallelSubtasks();
+        substream = new ArrayList<>();
+
+        for (int i = 0; i < testStream.length; i++) {
+            T element = testStream[i];","[{'comment': '```suggestion\r\n        for (T element : testStream) {\r\n```', 'commenter': 'NicoK'}]"
