Pull,Path,Diff_hunk,Comment
91,flume-ng-doc/sphinx/FlumeUserGuide.rst,"@@ -3920,7 +3920,7 @@ Property Name          Default      Description
 **type**               --           The component type name has to be ``remove_header``
 withName               --           Name of the header to remove
 fromList               --           List of headers to remove, separated with the separator specified with from.list.separator
-fromListSeparator    \s*,\s*      Regular expression used to separate multiple header names in the list specified using from.list
+fromListSeparator      \s*,\s*      Regular expression used to separate multiple header names in the list specified using from.list","[{'comment': '`\\\\s*,\\\\s*` should be in the default column, `\\s*,\\s*` will be translated to `s*,s*`. (Double backslash is needed to display a single one)', 'commenter': 'adenes'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -564,14 +564,22 @@ protected void doCommit() throws InterruptedException {
                   ex);
         }
       } else {
+        //event taken ensures that we have collected events in this transaction","[{'comment': 'nit: missing space after //', 'commenter': 'simonati'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -564,14 +564,22 @@ protected void doCommit() throws InterruptedException {
                   ex);
         }
       } else {
+        //event taken ensures that we have collected events in this transaction
+        // before committing
         if (consumerAndRecords.get().failedEvents.isEmpty() && eventTaken) {","[{'comment': 'Naive question: could you please tell why the else path is not needed. Condition to the if statement suggests that we silently ignore some failure scenario.', 'commenter': 'simonati'}, {'comment': 'See comment', 'commenter': 'jholoman'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -677,34 +685,45 @@ private Event deserializeValue(byte[] value, boolean parseAsFlumeEvent) throws I
     }
 
     void poll() {
+      logger.trace(""polling with timeout: {}ms channel-{}"", pollTimeout, channelUUID);
       this.records = consumer.poll(pollTimeout);
       this.recordIterator = records.iterator();
-      logger.trace(""polling"");
+      logger.debug(""returned {} records from last poll channel-{}"", records.count(), channelUUID);
     }
 
     void commitOffsets() {
       this.consumer.commitSync(offsets);
     }
 
-    // This will reset the latest assigned partitions to the last committed offsets;
+    String getOffsetMapString() {
+      StringBuilder sb = new StringBuilder();
+      sb.append(""Current offsets map: "");
+      for (TopicPartition tp : offsets.keySet()) {
+        sb.append(""p"").append(tp.partition()).append(""-"")
+            .append(offsets.get(tp).offset()).append("" "");
+      }
+      return sb.toString();
+    }
 
-    public void printCurrentAssignment() {
+    // This prints the current committed offsets when debug is enabled
+    String getCommittedOffsetsString() {
       StringBuilder sb = new StringBuilder();
+      sb.append(""Channel "").append(this.uuid)
+          .append("" committed: "");
       for (TopicPartition tp : this.consumer.assignment()) {
         try {
-          sb.append(""Committed: ["").append(tp).append("","")
+          sb.append(""["").append(tp).append("","")
               .append(this.consumer.committed(tp).offset())
-              .append("","").append(this.consumer.committed(tp).metadata()).append(""]"");","[{'comment': 'is consumer.committed(tp).metadata() not useful anymore?', 'commenter': 'simonati'}, {'comment': ""I haven't found a good use for it, and it's just polluting the logs. "", 'commenter': 'jholoman'}, {'comment': 'Thanks for the explanation. Fine by me.', 'commenter': 'simonati'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -677,34 +685,45 @@ private Event deserializeValue(byte[] value, boolean parseAsFlumeEvent) throws I
     }
 
     void poll() {
+      logger.trace(""polling with timeout: {}ms channel-{}"", pollTimeout, channelUUID);
       this.records = consumer.poll(pollTimeout);
       this.recordIterator = records.iterator();
-      logger.trace(""polling"");
+      logger.debug(""returned {} records from last poll channel-{}"", records.count(), channelUUID);
     }
 
     void commitOffsets() {
       this.consumer.commitSync(offsets);
     }
 
-    // This will reset the latest assigned partitions to the last committed offsets;
+    String getOffsetMapString() {
+      StringBuilder sb = new StringBuilder();
+      sb.append(""Current offsets map: "");
+      for (TopicPartition tp : offsets.keySet()) {
+        sb.append(""p"").append(tp.partition()).append(""-"")
+            .append(offsets.get(tp).offset()).append("" "");
+      }
+      return sb.toString();
+    }
 
-    public void printCurrentAssignment() {
+    // This prints the current committed offsets when debug is enabled
+    String getCommittedOffsetsString() {","[{'comment': 'I think this should be private', 'commenter': 'simonati'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -677,34 +685,45 @@ private Event deserializeValue(byte[] value, boolean parseAsFlumeEvent) throws I
     }
 
     void poll() {
+      logger.trace(""polling with timeout: {}ms channel-{}"", pollTimeout, channelUUID);
       this.records = consumer.poll(pollTimeout);
       this.recordIterator = records.iterator();
-      logger.trace(""polling"");
+      logger.debug(""returned {} records from last poll channel-{}"", records.count(), channelUUID);
     }
 
     void commitOffsets() {
       this.consumer.commitSync(offsets);
     }
 
-    // This will reset the latest assigned partitions to the last committed offsets;
+    String getOffsetMapString() {","[{'comment': 'I think this should be private', 'commenter': 'simonati'}, {'comment': 'Agree', 'commenter': 'jholoman'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -564,14 +564,22 @@ protected void doCommit() throws InterruptedException {
                   ex);
         }
       } else {
+        //event taken ensures that we have collected events in this transaction
+        // before committing
         if (consumerAndRecords.get().failedEvents.isEmpty() && eventTaken) {
+          logger.trace(""about to commit batch."");
           long startTime = System.nanoTime();
           consumerAndRecords.get().commitOffsets();
           long endTime = System.nanoTime();
           counter.addToKafkaCommitTimer((endTime - startTime) / (1000 * 1000));
-          consumerAndRecords.get().printCurrentAssignment();
+          counter.addToEventTakeSuccessCount(Long.valueOf(events.get().size()));","[{'comment': 'nit: could you please remove Long.valueOf? it is not needed (here and in the doRollback function)', 'commenter': 'simonati'}, {'comment': 'Sure', 'commenter': 'jholoman'}, {'comment': 'This needs to be moved back out of the if statement.', 'commenter': 'jholoman'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -497,21 +495,18 @@ protected Event doTake() throws InterruptedException {
             e = deserializeValue(record.value(), parseAsFlumeEvent);
             TopicPartition tp = new TopicPartition(record.topic(), record.partition());
             OffsetAndMetadata oam = new OffsetAndMetadata(record.offset() + 1, batchUUID);
+            //we should refactor this into a method in the subclass
             consumerAndRecords.get().offsets.put(tp, oam);
 
-            if (logger.isTraceEnabled()) {","[{'comment': 'Have you measuered the performance impact of this change? Based on general guidance this should be the other way around except perf measurement shows otherwise. I would like to ask you moving back the log level checking condition if you do relatively heavy computation for calculating the argument list for logging function calls on critical paths (doTake is considered as critical path)\r\n\r\nPlease see: http://logging.apache.org/log4j/1.2/manual.html#performance', 'commenter': 'simonati'}, {'comment': ""My understanding is that using the {} means they aren't evaluated if the logging mode doesn't match. Am I wrong about this?\r\n\r\nhttp://www.slf4j.org/faq.html#logging_performance"", 'commenter': 'jholoman'}, {'comment': ""You can save the cost of string concatenation with {} if log level doesn't match (which is already a gain). In java before calling any function, its argument list is evaluated. So JVM will execute consumerAndRecords.get().getOffsetMapString() statement before invoking logger.trace(arg1, arg2) to make sure arg2 is computed so that it can be passed into."", 'commenter': 'simonati'}, {'comment': ""You can save the cost of string concatenation with {} if log level doesn't match (which is already a gain). In java before calling any function, its argument list is evaluated. So JVM will execute consumerAndRecords.get().getOffsetMapString() statement before invoking logger.trace(arg1, arg2) to make sure arg2 is computed so that it can be passed into."", 'commenter': 'simonati'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -154,8 +155,7 @@ public void stop() {
     producer.close();
     counter.stop();
     super.stop();
-    logger.info(""Kafka channel {} stopped. Metrics: {}"", getName(),","[{'comment': 'I would like to ask you to revert this line. I consider shutdown metrics to be quite useful.', 'commenter': 'simonati'}, {'comment': 'They are already printed in the Flume Agent log when the channel closes:\r\n\r\norg.apache.flume.instrumentation.MonitoredCounterGroup: Shutdown Metric for type: CHANNEL, name: kafka-channel-1. channel.start.time == 1480359313437\r\n\r\nSo this was redundant.', 'commenter': 'jholoman'}, {'comment': 'Indeed. conter.stop() logs this data at info level already. ', 'commenter': 'simonati'}]"
92,flume-ng-channels/flume-kafka-channel/src/main/java/org/apache/flume/channel/kafka/KafkaChannel.java,"@@ -497,21 +495,18 @@ protected Event doTake() throws InterruptedException {
             e = deserializeValue(record.value(), parseAsFlumeEvent);
             TopicPartition tp = new TopicPartition(record.topic(), record.partition());
             OffsetAndMetadata oam = new OffsetAndMetadata(record.offset() + 1, batchUUID);
+            //we should refactor this into a method in the subclass","[{'comment': 'nit: missing whitespace after //', 'commenter': 'simonati'}]"
