Pull,Path,Diff_hunk,Comment
237,src/components/org/apache/jmeter/visualizers/backend/WindowMode.java,"@@ -0,0 +1,41 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ *
+ */
+
+package org.apache.jmeter.visualizers.backend;
+
+import org.apache.jmeter.util.JMeterUtils;
+
+/**
+ * Metrics are sent into boxes which can be {@link #FIXED a fixed-size sliding window} or {@link #TIMED time boxed}.
+ * @author Logan Mzz","[{'comment': ""We don't use the author doc tag."", 'commenter': 'FSchumacher'}]"
237,src/components/org/apache/jmeter/visualizers/backend/SamplerMetric.java,"@@ -88,8 +110,18 @@ private void addHits(SampleResult res) {
      * Reset metric except for percentile related data
      */
     public synchronized void resetForTimeInterval() {
-        // We don't clear responsesStats nor usersStats as it will slide as per my understanding of 
-        // http://commons.apache.org/proper/commons-math/userguide/stat.html
+    	switch (windowMode) {
+    		case FIXED:
+                // We don't clear responsesStats nor usersStats as it will slide as per my understanding of 
+                // http://commons.apache.org/proper/commons-math/userguide/stat.html
+    			break;
+    		case TIMED:
+    			for (DescriptiveStatistics stat : windowedStats) {
+    				stat.clear();
+    			}
+    			break;
+			default: throw new UnsupportedOperationException(windowMode.name());","[{'comment': 'Seems like a formatting error', 'commenter': 'FSchumacher'}]"
237,src/components/org/apache/jmeter/visualizers/backend/SamplerMetric.java,"@@ -88,8 +110,18 @@ private void addHits(SampleResult res) {
      * Reset metric except for percentile related data
      */
     public synchronized void resetForTimeInterval() {
-        // We don't clear responsesStats nor usersStats as it will slide as per my understanding of 
-        // http://commons.apache.org/proper/commons-math/userguide/stat.html
+    	switch (windowMode) {
+    		case FIXED:
+                // We don't clear responsesStats nor usersStats as it will slide as per my understanding of 
+                // http://commons.apache.org/proper/commons-math/userguide/stat.html
+    			break;
+    		case TIMED:
+    			for (DescriptiveStatistics stat : windowedStats) {","[{'comment': 'JMeter now uses java 8, so we could use the newer syntax :)', 'commenter': 'FSchumacher'}]"
237,src/components/org/apache/jmeter/visualizers/backend/SamplerMetric.java,"@@ -28,24 +34,39 @@
  * @since 2.13
  */
 public class SamplerMetric {
-    private static final int SLIDING_WINDOW_SIZE = JMeterUtils.getPropDefault(""backend_metrics_window"", 100); //$NON-NLS-1$
     
     // Response times for OK samples
-    // Limit to sliding window of SLIDING_WINDOW_SIZE values 
-    private DescriptiveStatistics okResponsesStats = new DescriptiveStatistics(SLIDING_WINDOW_SIZE);
+    private DescriptiveStatistics okResponsesStats = new DescriptiveStatistics();
     // Response times for KO samples
-    // Limit to sliding window of SLIDING_WINDOW_SIZE values 
-    private DescriptiveStatistics koResponsesStats = new DescriptiveStatistics(SLIDING_WINDOW_SIZE);
+    private DescriptiveStatistics koResponsesStats = new DescriptiveStatistics();
     // Response times for All samples
-    // Limit to sliding window of SLIDING_WINDOW_SIZE values 
-    private DescriptiveStatistics allResponsesStats = new DescriptiveStatistics(SLIDING_WINDOW_SIZE);
+    private DescriptiveStatistics allResponsesStats = new DescriptiveStatistics();
+    // OK, KO, ALL stats
+    private List<DescriptiveStatistics> windowedStats = Collections.emptyList();
+    // Timeboxed percentiles don't makes sense
+    private DescriptiveStatistics pctResponseStats = new DescriptiveStatistics();
+    private WindowMode windowMode;
     private int successes;
     private int failures;
     private int hits;
     /**
      * 
      */
     public SamplerMetric() {
+    	windowMode = WindowMode.get();
+
+    	List<DescriptiveStatistics> stats = new ArrayList<>();
+    	stats.add(pctResponseStats);
+    	if (windowMode == WindowMode.FIXED) {
+    		windowedStats = asList(okResponsesStats, koResponsesStats, allResponsesStats);
+    		stats.addAll(windowedStats);
+    	}
+
+    	int slidingWindowSize = JMeterUtils.getPropDefault(""backend_metrics_window"", 100);
+    	// Limit to sliding window of SLIDING_WINDOW_SIZE values
+		for (DescriptiveStatistics stat : stats) {","[{'comment': 'Formatting issue', 'commenter': 'FSchumacher'}]"
237,bin/jmeter.properties,"@@ -917,6 +917,8 @@ summariser.name=summary
 # BackendListener - configuration
 #---------------------------------------------------------------------------
 #
+# Backend metrics window mode (fixed=fixed-size window, timed=time boxed) 
+#backend_metrics_window_mode=fixed","[{'comment': 'Documentation is missing for this new feature. It should be mentioned in the properties section and the users manual.', 'commenter': 'FSchumacher'}]"
238,src/core/org/apache/jmeter/threads/ThreadGroup.java,"@@ -279,34 +282,30 @@ private void delayBy(long delay) {
     @Override
     public void start(int groupCount, ListenerNotifier notifier, ListedHashTree threadGroupTree, StandardJMeterEngine engine) {
         running = true;
+        numGroup = groupCount;","[{'comment': 'Is this rename important, or just an aesthetic thing?', 'commenter': 'Llammissar'}, {'comment': 'It has better meaning\r\n(Clean code inside ;))', 'commenter': 'max3163'}]"
238,src/core/org/apache/jmeter/threads/AbstractThreadGroup.java,"@@ -251,6 +251,8 @@ public boolean getOnErrorStopTestNow() {
 
     public abstract void start(int groupCount, ListenerNotifier notifier, ListedHashTree threadGroupTree, StandardJMeterEngine engine);
 
+    public abstract void addNewThread(int delay, StandardJMeterEngine engine);","[{'comment': ""Is it possible that, rather than void, this could return... say, the threadId?  Having the option to keep track of the threads you've started in this manner would be useful if, for example, you want to remove them (because removing a thread requires that threadId).  The alternative is making a comparable removeOldThread() method to complete the API, but I'm sort of up in the air on whether it would be a good idea to grab a random thread and tell it to end in current JMeter (it makes perfect sense in a hypothetical future dispatch-oriented design, though)."", 'commenter': 'Llammissar'}]"
291,src/core/org/apache/jmeter/resources/messages_fr.properties,"@@ -238,6 +238,7 @@ database_sql_query_title=Requ\u00EAte SQL JDBC par d\u00E9faut
 database_testing_title=Requ\u221A\u2122te JDBC
 database_url=URL JDBC\:
 database_url_jdbc_props=URL et driver JDBC de la base de donn\u221A\u00A9es
+date_to_shift=Date sur laquel on applique le d\u00E9callage (optionnel) (defaut \: maintenant )","[{'comment': 'laquelle, \r\nd\\u00E9faut', 'commenter': 'pmouawad'}]"
291,src/core/org/apache/jmeter/resources/messages_fr.properties,"@@ -1169,6 +1170,7 @@ throughput_control_perthread_label=Par utilisateur
 throughput_control_title=Contr\u00F4leur D\u00E9bit
 throughput_control_tplabel=D\u00E9bit \:
 time_format=Chaine de formatage sur le mod\u00E8le SimpleDateFormat (optionnel)
+time_format_shift=Chaine de formatage sur le mod\u00E8le DateTimeFormatter (optionnel) ( defaut unix timestamp en milliseconde )","[{'comment': 'Chaîne\r\nmillisecondes', 'commenter': 'pmouawad'}]"
291,src/functions/org/apache/jmeter/functions/TimeShiftingFunction.java,"@@ -0,0 +1,186 @@
+/*
+ * Licensed to the Apache Software Foundation (ASF) under one or more
+ * contributor license agreements.  See the NOTICE file distributed with
+ * this work for additional information regarding copyright ownership.
+ * The ASF licenses this file to You under the Apache License, Version 2.0
+ * (the ""License""); you may not use this file except in compliance with
+ * the License.  You may obtain a copy of the License at
+ *
+ *   http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ *
+ */
+
+package org.apache.jmeter.functions;
+
+import java.time.Instant;
+import java.time.LocalDateTime;
+import java.time.Year;
+import java.time.ZoneId;
+import java.time.ZoneOffset;
+import java.time.format.DateTimeFormatter;
+import java.time.format.DateTimeFormatterBuilder;
+import java.time.format.DateTimeParseException;
+import java.time.temporal.ChronoField;
+import java.util.Collection;
+import java.util.LinkedList;
+import java.util.List;
+
+import org.apache.commons.lang3.StringUtils;
+import org.apache.jmeter.engine.util.CompoundVariable;
+import org.apache.jmeter.samplers.SampleResult;
+import org.apache.jmeter.samplers.Sampler;
+import org.apache.jmeter.threads.JMeterVariables;
+import org.apache.jmeter.util.JMeterUtils;
+import org.slf4j.Logger;
+import org.slf4j.LoggerFactory;
+
+/**
+ * timeShifting Function permit to shift a date
+ *
+ * Parameters:
+ * - format date @see https://docs.oracle.com/javase/8/docs/api/java/time/format/DateTimeFormatter.html (optional - defaults to epoch time in millisecond)
+ * - date to shift formated as first param (optional - defaults now)
+ * - amount of (seconds / minutes / hours / days / months ) to add (optional - default nothing is add )
+ * - variable name ( optional )
+ *
+ * Returns:
+ * - Returns a formated date with the specified number of (seconds / minutes / hours / days / months ) added.
+ * - value is also saved in the variable for later re-use.
+ *
+ * @since 3.3
+ */
+public class TimeShiftingFunction extends AbstractFunction {
+    private static final Logger log = LoggerFactory.getLogger(TimeShiftingFunction.class);
+
+    private static final String KEY = ""__timeShifting""; // $NON-NLS-1$
+
+    private static final List<String> desc = new LinkedList<>();
+    
+    static {
+        desc.add(JMeterUtils.getResString(""time_format_shift"")); //$NON-NLS-1$
+        desc.add(JMeterUtils.getResString(""date_to_shift"")); //$NON-NLS-1$
+        desc.add(JMeterUtils.getResString(""value_to_shift"")); //$NON-NLS-1$
+        desc.add(JMeterUtils.getResString(""function_name_paropt"")); //$NON-NLS-1$
+    }
+
+    // Ensure that these are set, even if no paramters are provided
+    private String format = """"; //$NON-NLS-1$
+    private String dateToShift = """"; //$NON-NLS-1$
+    private String shift = """"; //$NON-NLS-1$
+    private String variable = """"; //$NON-NLS-1$
+
+    public TimeShiftingFunction() {
+        super();
+    }
+
+    /** {@inheritDoc} */
+    @Override
+    public String execute(SampleResult previousResult, Sampler currentSampler) throws InvalidVariableException {
+        String dateString;
+        LocalDateTime localDateTimeToShift = LocalDateTime.now( ZoneId.systemDefault() );
+        DateTimeFormatter formatter = null; 
+        if (!StringUtils.isEmpty(format)) {
+            try {
+                formatter = new DateTimeFormatterBuilder().appendPattern(format)
+                        .parseDefaulting(ChronoField.NANO_OF_SECOND, 0)
+                        .parseDefaulting(ChronoField.MILLI_OF_SECOND, 0)
+                        .parseDefaulting(ChronoField.SECOND_OF_MINUTE, 0)
+                        .parseDefaulting(ChronoField.MINUTE_OF_HOUR, 0)
+                        .parseDefaulting(ChronoField.HOUR_OF_DAY, 0)
+                        .parseDefaulting(ChronoField.DAY_OF_MONTH, 1)
+                        .parseDefaulting(ChronoField.MONTH_OF_YEAR, 1)
+                        .parseDefaulting(ChronoField.YEAR_OF_ERA, Year.now().getValue())
+                        .toFormatter(JMeterUtils.getLocale());
+            } catch (IllegalArgumentException ex) {
+                log.error(""Pattern is invalid"", ex); // $NON-NLS-1$","[{'comment': 'Mention pattern in message', 'commenter': 'pmouawad'}]"
