Pull,Path,Diff_hunk,Comment
681,pom.xml,"@@ -521,7 +540,8 @@
                 <artifactId>maven-checkstyle-plugin</artifactId>
                 <version>${maven-checkstyle-plugin.version}</version>
                 <configuration>
-                    <configLocation>src/main/resources/dd_checks.xml</configLocation>
+                    <configLocation>src/main/resources/checkstyle_ci.xml</configLocation>
+                    <includeTestSourceDirectory>false</includeTestSourceDirectory>","[{'comment': 'Should include includeTestSourceDirectory too', 'commenter': 'terrymanu'}, {'comment': 'Ok, got it.', 'commenter': 'Leonidasz'}]"
681,pom.xml,"@@ -431,7 +432,25 @@
                     </execution>
                 </executions>
             </plugin>
-             <plugin>
+            <plugin>
+                <groupId>org.apache.maven.plugins</groupId>
+                <artifactId>maven-checkstyle-plugin</artifactId>
+                <version>${maven-checkstyle-plugin.version}</version>
+                <configuration>
+                    <configLocation>src/main/resources/checkstyle_ci.xml</configLocation>
+                    <includeTestSourceDirectory>false</includeTestSourceDirectory>","[{'comment': 'Should include includeTestSourceDirectory too', 'commenter': 'terrymanu'}, {'comment': 'Ok, got it.', 'commenter': 'Leonidasz'}]"
681,pom.xml,"@@ -521,7 +540,8 @@
                 <artifactId>maven-checkstyle-plugin</artifactId>
                 <version>${maven-checkstyle-plugin.version}</version>
                 <configuration>
-                    <configLocation>src/main/resources/dd_checks.xml</configLocation>
+                    <configLocation>src/main/resources/checkstyle_ci.xml</configLocation>","[{'comment': 'For report should use `checkstyle.xml`, not `checkstyle_ci.xml`.\r\nThis pr add 2 template files of checkstyle, is it?\r\n', 'commenter': 'terrymanu'}, {'comment': 'Yes, we add 2 temlate files of checkstyle. I thought checkstyle.xml was for the IDE. I will change the setting.', 'commenter': 'Leonidasz'}]"
681,pom.xml,"@@ -263,7 +264,7 @@
             </dependency>
         </dependencies>
     </dependencyManagement>
-    
+","[{'comment': 'Should not change original code indent.\r\nPlease disable code auto formatting on code commit.\r\n', 'commenter': 'terrymanu'}, {'comment': 'Ok, got it.', 'commenter': 'Leonidasz'}]"
688,pom.xml,"@@ -93,7 +93,7 @@
                 <version>${quartz.version}</version>
                 <exclusions>
                     <exclusion>
-                        <groupId>c3p0</groupId>
+                        <groupId>com.mchange</groupId>","[{'comment': 'Can we remove c3p0 when quartz upgrade?', 'commenter': 'terrymanu'}, {'comment': ""quartz 2.3.0 has two default implementations of pooling connection provider: c3p0 and HikaryCP, so if we don't use c3p0 in ElasticJob, we can safely remove the dependency from ElasticJob pom. So quartz does have a compile dependency to c3p0, but not mendatory for runtime."", 'commenter': 'compilerduck'}, {'comment': 'The license of c3p0 is LGPL which is not friendly for Apache license, please use HikariCP instead of it', 'commenter': 'terrymanu'}, {'comment': ""I'm a bit confused. Did you mean we are using quartz persistence in ElasticJob, which can persist trigger info to db? But actually, ElasticJob doesn't use quartz persistence capability, therefore c3p0 never exist in our pom at all (by adding <exclusion> under quartz dependency node in pom.xml, as seen in above code). This means we don't need use HikariCP currently, unless we add trigger persistence feature later."", 'commenter': 'compilerduck'}, {'comment': ""Quartz 2.2.1 only provides a c3p0 implementation of pooling connection provider, without capability of customized extension. While in 2.3.0, a 'PoolingConnectionProvider' interface and two implementations (c3p0 and HicariCP) are provided, so we have choices in case we need store trigger info."", 'commenter': 'compilerduck'}, {'comment': ""No, we do not need use c3p0, and do not need persist job into database.\r\nSo we should remove c3p0's dependency.\r\nPlease use HikariCP to instead of c3p0 for license reason"", 'commenter': 'terrymanu'}]"
688,elastic-job-lite-spring/src/main/resources/META-INF/namespace/job.xsd,"@@ -38,7 +38,7 @@
                 <xsd:attribute name=""monitor-port"" type=""xsd:string"" default=""-1""/>
                 <xsd:attribute name=""max-time-diff-seconds"" type=""xsd:string"" default=""-1""/>
                 <xsd:attribute name=""failover"" type=""xsd:string"" default=""false""/>
-                <xsd:attribute name=""reconcile-interval-minutes"" type=""xsd:int"" default=""10""/>
+                <xsd:attribute name=""reconcile-interval-minutes"" type=""xsd:string"" default=""10""/>","[{'comment': ""Please use other pull request to change it. Let's make this pull request do upgrade quartz only."", 'commenter': 'terrymanu'}]"
699,elastic-job-lite-core/src/main/java/io/elasticjob/lite/internal/guarantee/GuaranteeService.java,"@@ -40,24 +40,38 @@ public GuaranteeService(final CoordinatorRegistryCenter regCenter, final String
     }
     
     /**
-     * 根据分片项注册任务开始运行.
-     * 
-     * @param shardingItems 待注册的分片项
+     * Register the start status of job with the sharding count.
+     *
+     * @param itemCount the count of items
+     * @param shardingTotalCount the total count of sharding
+     * @return the num of items which has been registered
      */
-    public void registerStart(final Collection<Integer> shardingItems) {
-        for (int each : shardingItems) {
-            jobNodeStorage.createJobNodeIfNeeded(GuaranteeNode.getStartedNode(each));
+    public int registerStart(final int itemCount, final int shardingTotalCount) {
+        int each = 0;
+        while (each++ < shardingTotalCount + 3) {","[{'comment': ""What's mean of `shardingTotalCount + 3`, what is the magic number `3`?"", 'commenter': 'terrymanu'}]"
757,elastic-job-lite-console/pom.xml,"@@ -86,6 +86,7 @@
             <plugin>
                 <groupId>org.apache.maven.plugins</groupId>
                 <artifactId>maven-assembly-plugin</artifactId>
+                <version>2.2-beta-5</version>","[{'comment': 'Can we change a stable version instead of the beta version?', 'commenter': 'terrymanu'}, {'comment': 'Add id like \\<id>console-bin\\</id> in both <execution> and assembly.xml will resolve this problem.', 'commenter': 'tuohai666'}, {'comment': ""thanks!\r\n\r\nAdd id  like <id>console-bin</id> can resolve 2.x\r\nbut 3.x have no goal assembly ,the goal should be single\r\n\r\nI have test all the version.\r\nI'm trying to use version 3. X"", 'commenter': 'DoolinMa'}, {'comment': 'You are right, the goal should be single.', 'commenter': 'tuohai666'}, {'comment': 'I have tested all the versions，change maven-assembly-plugin version to 3.3.0.\r\nbut it should be id in assembly.xml .please check.', 'commenter': 'DoolinMa'}]"
777,elastic-job-lite-console/src/main/resources/console/index.html,"@@ -121,7 +121,7 @@
         <div id=""content"" class=""lang-en"">
         </div>
         <footer class=""main-footer"">
-            <strong>Copyright &copy; 2004-2017 <a href=""http://www.dangdang.com"" data-lang=""dangdang""></a>.</strong> All rights reserved.
+            <strong>Copyright &copy; 2004-2020 <a href=""http://elaticjob.shardingsphere.apache.org"" data-lang=""apache""></a>.</strong> All rights reserved.","[{'comment': 'It should be 2018-2020', 'commenter': 'terrymanu'}]"
777,pom.xml,"@@ -655,14 +655,14 @@
             <distribution>repo</distribution>
         </license>
     </licenses>
-    
+","[{'comment': 'Please keep the original indent', 'commenter': 'terrymanu'}]"
