Pull,Path,Diff_hunk,Comment
99,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,"@@ -716,7 +716,12 @@ public void process(WatchedEvent event) {
         // Convert WatchedEvent to a type that can be sent over the wire
         WatcherEvent e = event.getWrapper();
 
-        sendResponse(h, e, ""notification"");
+        try {
+            sendResponse(h, e, ""notification"");
+        } catch (IOException ex) {
+            LOG.debug(""Problem sending to "" + getRemoteSocketAddress(), ex);
+            close();","[{'comment': 'this is an interesting change -- how/when were we closing the connection before?\n', 'commenter': 'rgs1'}, {'comment': 'It was not closing (I think) before as exception was swallowed since sendResponse in NIOServerCnxn was not throwing IOException\n', 'commenter': 'yufeldman'}, {'comment': 'hmm, that would be a pretty bad leak given all what goes on in close():\n\n```\n    @Override                                                                                                                                                                     \n    public void close() {                                                                                                                                                         \n        if (!factory.removeCnxn(this)) {                                                                                                                                          \n            return;                                                                                                                                                               \n        }                                                                                                                                                                         \n\n        if (zkServer != null) {                                                                                                                                                   \n            zkServer.removeCnxn(this);                                                                                                                                            \n        }                                                                                                                                                                         \n\n        if (sk != null) {                                                                                                                                                         \n            try {                                                                                                                                                                 \n                // need to cancel this selection key from the selector                                                                                                            \n                sk.cancel();                                                                                                                                                      \n            } catch (Exception e) {                                                                                                                                               \n                if (LOG.isDebugEnabled()) {                                                                                                                                       \n                    LOG.debug(""ignoring exception during selectionkey cancel"", e);                                                                                                \n                }                                                                                                                                                                 \n            }                                                                                                                                                                     \n        }                                                                                                                                                                         \n\n        closeSock();                                                                                                                                                              \n    } \n```\n\nshould we add a test case for making sure close is called then? although i think it\'s handled somewhere else, let me re-read the code. \n', 'commenter': 'rgs1'}, {'comment': 'I agree that it must be closing somewhere - just need to trace where\n', 'commenter': 'yufeldman'}, {'comment': "">> It was not closing (I think) before as exception was swallowed since sendResponse in NIOServerCnxn was not throwing IOException\r\n\r\nYes, I think the connection was not closing before in cases of exception thrown from `NIOServerCnxn.sendResponse` which swallows everything. The change in this PR changes the behavior by closing the connection in case of exceptions occur in sendResponse. I am leaning towards the old behavior of NOT closing the connection, because the connection looks pretty innocent - in fact `NIOServerCnxn.sendResponse` does not involve any socket IO I believe, it just queuing stuff to be send over sockets. So if something goes wrong, we just do our best effort by logging what's wrong - rather than trying mess up with sockets which seems out of responsibilities of `NIOServerCnxn.sendResponse`. Similarly since `NIOServerCnxn.sendResponse` does not directly involve sockets, there should not be any leaks in case sendResponse screw up."", 'commenter': 'hanm'}, {'comment': 'Will remove close() from catch block', 'commenter': 'yufeldman'}]"
99,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,"@@ -716,7 +716,12 @@ public void process(WatchedEvent event) {
         // Convert WatchedEvent to a type that can be sent over the wire
         WatcherEvent e = event.getWrapper();
 
-        sendResponse(h, e, ""notification"");
+        try {
+            sendResponse(h, e, ""notification"");
+        } catch (IOException ex) {
+            LOG.debug(""Problem sending to "" + getRemoteSocketAddress(), ex);","[{'comment': 'i have mixed feelings with concatenating strings in a hot path (IOException happening here is a hot path when, for instance, a network blip happens). \n', 'commenter': 'rgs1'}, {'comment': 'Any suggestion here? Not to getRemoteSocketAddress() at all?\n', 'commenter': 'yufeldman'}, {'comment': ""We're using LOG.debug, so it shouldn't be an issue on prod."", 'commenter': 'lvfangmin'}, {'comment': 'nit: I would use a modern debug format:\r\n\r\n``\r\nLOG.debug(""Problem sending to {}"", getRemoteSocketAddress(), ex);\r\n``', 'commenter': 'eribeiro'}]"
99,src/java/main/org/apache/zookeeper/server/NIOServerCnxnFactory.java,"@@ -630,6 +640,22 @@ public static ByteBuffer getDirectBuffer() {
      * limits of the operating system). startup(zks) must be called subsequently.
      */
     public NIOServerCnxnFactory() {
+        String serverCnxnClassName = System.getProperty(ServerCnxnFactory.ZOOKEEPER_SERVER_CNXN);
+        if ( serverCnxnClassName != null ) {","[{'comment': 'nit: extra spaces\n', 'commenter': 'rgs1'}]"
99,src/java/main/org/apache/zookeeper/server/NIOServerCnxnFactory.java,"@@ -842,7 +868,26 @@ private void addCnxn(NIOServerCnxn cnxn) {
 
     protected NIOServerCnxn createConnection(SocketChannel sock,
             SelectionKey sk, SelectorThread selectorThread) throws IOException {
-        return new NIOServerCnxn(zkServer, sock, sk, this, selectorThread);
+
+        NIOServerCnxn cnxn = null;
+
+        if (serverCnxnClassCtr != null) {","[{'comment': 'why not set serverCnxnClassCtr to NIOServerCnxn by default to avoid looking up the right constructor every time we want to create a new connection (a bit of a hot path)?\n', 'commenter': 'rgs1'}, {'comment': 'Actually I tend to come back to double instantiation - as it will be used only in UnitTests (serverCnxnClassCtr != null), while manipulation with constructor (invocation of newInstance) instead of directly creating instance of NIOServerCnxn will be really a hot path \n', 'commenter': 'yufeldman'}, {'comment': ""what's wrong with setting serverCnxnClassCtr to NettyServerCnxn by default (by doing all the reflection magic)?\n"", 'commenter': 'rgs1'}, {'comment': 'nothing is wrong with it per say - just overhead, as we will call ""newInstance"" on the constructor for every code path - test or not.\n', 'commenter': 'yufeldman'}]"
99,src/java/main/org/apache/zookeeper/server/NettyServerCnxnFactory.java,"@@ -105,8 +115,26 @@ public void channelConnected(ChannelHandlerContext ctx,
                 LOG.trace(""Channel connected "" + e);
             }
 
-            NettyServerCnxn cnxn = new NettyServerCnxn(ctx.getChannel(),
-                    zkServer, NettyServerCnxnFactory.this);
+            NettyServerCnxn cnxn = null;
+            if (serverCnxnClassCtr != null) {","[{'comment': 'same as for NIO, lets set serverCnxnClassCtr to NettyServerCnxn by default\n', 'commenter': 'rgs1'}]"
99,src/java/main/org/apache/zookeeper/server/NettyServerCnxn.java,"@@ -165,31 +163,35 @@ public void process(WatchedEvent event) {
     @Override
     public void sendResponse(ReplyHeader h, Record r, String tag)
             throws IOException {
-        if (!channel.isOpen()) {
-            return;
-        }
-        ByteArrayOutputStream baos = new ByteArrayOutputStream();
-        // Make space for length
-        BinaryOutputArchive bos = BinaryOutputArchive.getArchive(baos);
         try {
-            baos.write(fourBytes);
-            bos.writeRecord(h, ""header"");
-            if (r != null) {
-                bos.writeRecord(r, tag);
+            if (!channel.isOpen()) {
+                return;
             }
-            baos.close();
-        } catch (IOException e) {
-            LOG.error(""Error serializing response"");
-        }
-        byte b[] = baos.toByteArray();
-        ByteBuffer bb = ByteBuffer.wrap(b);
-        bb.putInt(b.length - 4).rewind();
-        sendBuffer(bb);
-        if (h.getXid() > 0) {
-            // zks cannot be null otherwise we would not have gotten here!
-            if (!zkServer.shouldThrottle(outstandingCount.decrementAndGet())) {
-                enableRecv();
+            ByteArrayOutputStream baos = new ByteArrayOutputStream();
+            // Make space for length
+            BinaryOutputArchive bos = BinaryOutputArchive.getArchive(baos);
+            try {
+                baos.write(fourBytes);
+                bos.writeRecord(h, ""header"");
+                if (r != null) {
+                    bos.writeRecord(r, tag);
+                }
+                baos.close();
+            } catch (IOException e) {","[{'comment': 'This IOException is swallowed either, should we re-throw it?', 'commenter': 'lvfangmin'}, {'comment': 'I did not modify this code - it was like that before, but potentially - yes it makes sense to rethrow\r\nI would say there are multiple places I came across where exceptions are swallowed ', 'commenter': 'yufeldman'}, {'comment': 'Agree on re-throw the exception here. We could just remove the try - catch block here given there is a new try - catch block added in this PR that wraps the entire `sendResponse.` \r\nWe can start triaging other places where the exceptions are swallowed but should re-throw after this PR merging in.', 'commenter': 'hanm'}]"
99,src/java/main/org/apache/zookeeper/server/NettyServerCnxn.java,"@@ -71,7 +71,7 @@
     NettyServerCnxnFactory factory;
     boolean initialized;
     
-    NettyServerCnxn(Channel channel, ZooKeeperServer zks, NettyServerCnxnFactory factory) {
+    public NettyServerCnxn(Channel channel, ZooKeeperServer zks, NettyServerCnxnFactory factory) {","[{'comment': 'It is not obvious to me why the access specifier of `NettyServerCnxn` should be changed public here.', 'commenter': 'hanm'}, {'comment': 'I think I did this to match NIOServerCnxn constructor. It can be kept package level, as my test class is in the same package namespace. I can change it back, but it will be inconsistent with NIO\r\n', 'commenter': 'yufeldman'}, {'comment': 'Take my words back. I need it to be public as I use reflection to create it in NettyServerCnxnFactory and if it is not I would have to do couple of more steps during init to set access to public which is unnecessary', 'commenter': 'yufeldman'}, {'comment': ""@yufeldman Thanks for explaining, makes sense to me. It is required to run the tests, however I do find another problem with tests: it looks like the Netty tests (testNetty*) never run with current configuration. Proof: remove the public access specifier appertain to `NettyServerCnxn` and all tests of `ServerCxnExceptionsTest` still pass. We expect Netty related tests fail here without public access specifier, right? Now put back the public for `NettyServerCnxn` but remove the public access specifier appertains to `NIOServercCnxn`, now all tests failed while we expect only NIO tests fail but Netty tests pass. \r\n\r\nIt's likely caused by the intervening of the java system properties that controls the Netty vs NIO server selection. One solution is to split the `ServerCxnExceptionsTest` into Netty and NIO specific tests. "", 'commenter': 'hanm'}, {'comment': '@hanm - there is nothing wrong with the tests, they do run fine. They do not use ctor from NettyServerCnxn, but from MockNettyServerCnxn - that has public ctor.\r\nYou can make MockNettyServerCnxn not public and you will have the same issue. And BTW \r\norg.apache.zookeeper.server.NettyServerCnxnTest fails with not public ctor in NettyServerCnxn ', 'commenter': 'yufeldman'}, {'comment': ""@yufeldman Yeah the tests are fine. What I mentioned that leads to `NettyServerCnxnx` not get instantiated only happens in erroneous cases when `ZOOKEEPER_SERVER_CNXN_FACTORY` is not initialized properly - this happens when the public specifier was removed so all tests fall back to create `NIOServerCnxnx` instead. That's not a real alarm."", 'commenter': 'hanm'}, {'comment': ""@hanm - >>> so all tests fall back to create NIOServerCnxnx instead\r\n\r\nIt is not the case, they don't fall back to NIO - they fail.\r\nHere is printout from running tests with both Netty and MockNettyServerCnxn not having public ctor:\r\n   [junit] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.159 sec\r\n  **[junit] Test org.apache.zookeeper.server.NettyServerCnxnTest FAILED**\r\n    [junit] Running org.apache.zookeeper.server.PrepRequestProcessorTest\r\n    [junit] Tests run: 4, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.279 sec\r\n    [junit] Running org.apache.zookeeper.server.PurgeTxnTest\r\n    [junit] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 2.431 sec\r\n    [junit] Running org.apache.zookeeper.server.ReferenceCountedACLCacheTest\r\n    [junit] Tests run: 10, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 0.089 sec\r\n    [junit] Running org.apache.zookeeper.server.SerializationPerfTest\r\n    [junit] Tests run: 8, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 1.114 sec\r\n    [junit] Running org.apache.zookeeper.server.ServerCxnExceptionsTest\r\n    [junit] Tests run: 6, Failures: 0, Errors: 6, Skipped: 0, Time elapsed: 0.284 sec\r\n**[junit] Test org.apache.zookeeper.server.ServerCxnExceptionsTest FAILED**\r\n\r\n"", 'commenter': 'yufeldman'}, {'comment': "">> It is not the case, they don't fall back to NIO - they fail.\r\n\r\nThe fallback I was referring to is https://github.com/apache/zookeeper/blob/master/src/java/main/org/apache/zookeeper/server/ServerCnxnFactory.java#L130. It gets hit when public was removed from NIOServerCnxn for Netty* tests. An example call stack (note that a Netty test complaining about NIOServerCnxnFactory):\r\n` INFO  [main:ZKTestCase$1@70] - FAILED testNettyRunTimeException\r\njava.io.IOException: Couldn't instantiate org.apache.zookeeper.server.NIOServerCnxnFactory\r\n>-------at org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:142)\r\n>-------at org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:158)\r\n>-------at org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:152)`\r\n\r\nThanks for persisting on this, but I don't think this erroneous case need to be investigated further as it would not happen when real test cases were running."", 'commenter': 'hanm'}, {'comment': ""Interesting. For me it actually is:\r\n\r\n2016-12-05 11:11:02,523 [myid:] - INFO  [Time-limited test:JUnit4ZKTestRunner$LoggedInvokeMethod@98] - TEST METHOD FAILED testNettyRunTimeException\r\n**java.io.IOException: Couldn't instantiate org.apache.zookeeper.server.NettyServerCnxnFactory at org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:141) at org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:157)\r\nat org.apache.zookeeper.server.ServerCnxnFactory.createFactory(ServerCnxnFactory.java:151)**\r\n"", 'commenter': 'yufeldman'}, {'comment': '@hanm - thank you for all the reviews and feedback. Really appreciate it.', 'commenter': 'yufeldman'}]"
99,src/java/test/org/apache/zookeeper/server/ServerCxnExceptionsTest.java,"@@ -0,0 +1,170 @@
+/**
+ * Licensed to the Apache Software Foundation (ASF) under one
+ * or more contributor license agreements.  See the NOTICE file
+ * distributed with this work for additional information
+ * regarding copyright ownership.  The ASF licenses this file
+ * to you under the Apache License, Version 2.0 (the
+ * ""License""); you may not use this file except in compliance
+ * with the License.  You may obtain a copy of the License at
+ *
+ *     http://www.apache.org/licenses/LICENSE-2.0
+ *
+ * Unless required by applicable law or agreed to in writing, software
+ * distributed under the License is distributed on an ""AS IS"" BASIS,
+ * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
+ * See the License for the specific language governing permissions and
+ * limitations under the License.
+ */
+package org.apache.zookeeper.server;
+
+import org.apache.zookeeper.CreateMode;
+import org.apache.zookeeper.KeeperException;
+import org.apache.zookeeper.ZooDefs;
+import org.apache.zookeeper.ZooKeeper;
+import org.apache.zookeeper.data.Stat;
+import org.apache.zookeeper.test.ClientBase;
+import org.junit.AfterClass;
+import org.junit.Test;
+import org.slf4j.Logger;
+import org.slf4j.LoggerFactory;
+
+import static org.junit.Assert.fail;
+
+/**
+ * Unit tests to test different exceptions scenarious in sendResponse","[{'comment': 'typo: ``scenarios``', 'commenter': 'eribeiro'}]"
102,src/java/main/org/apache/jute/compiler/CGenerator.java,"@@ -61,70 +61,88 @@ void genCode() throws IOException {
                         + outputDirectory);
             }
         }
-        FileWriter c = new FileWriter(new File(outputDirectory, mName+"".c""));
-        FileWriter h = new FileWriter(new File(outputDirectory, mName+"".h""));
 
-        h.write(""/**\n"");
-        h.write(""* Licensed to the Apache Software Foundation (ASF) under one\n"");
-        h.write(""* or more contributor license agreements.  See the NOTICE file\n"");
-        h.write(""* distributed with this work for additional information\n"");
-        h.write(""* regarding copyright ownership.  The ASF licenses this file\n"");
-        h.write(""* to you under the Apache License, Version 2.0 (the\n"");
-        h.write(""* \""License\""); you may not use this file except in compliance\n"");
-        h.write(""* with the License.  You may obtain a copy of the License at\n"");
-        h.write(""*\n"");
-        h.write(""*     http://www.apache.org/licenses/LICENSE-2.0\n"");
-        h.write(""*\n"");
-        h.write(""* Unless required by applicable law or agreed to in writing, software\n"");
-        h.write(""* distributed under the License is distributed on an \""AS IS\"" BASIS,\n"");
-        h.write(""* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"");
-        h.write(""* See the License for the specific language governing permissions and\n"");
-        h.write(""* limitations under the License.\n"");
-        h.write(""*/\n"");
-        h.write(""\n"");
+        FileWriter c = null, h = null;
+        try {
+            c = new FileWriter(new File(outputDirectory, mName + "".c""));
+            h = new FileWriter(new File(outputDirectory, mName + "".h""));
 
-        c.write(""/**\n"");
-        c.write(""* Licensed to the Apache Software Foundation (ASF) under one\n"");
-        c.write(""* or more contributor license agreements.  See the NOTICE file\n"");
-        c.write(""* distributed with this work for additional information\n"");
-        c.write(""* regarding copyright ownership.  The ASF licenses this file\n"");
-        c.write(""* to you under the Apache License, Version 2.0 (the\n"");
-        c.write(""* \""License\""); you may not use this file except in compliance\n"");
-        c.write(""* with the License.  You may obtain a copy of the License at\n"");
-        c.write(""*\n"");
-        c.write(""*     http://www.apache.org/licenses/LICENSE-2.0\n"");
-        c.write(""*\n"");
-        c.write(""* Unless required by applicable law or agreed to in writing, software\n"");
-        c.write(""* distributed under the License is distributed on an \""AS IS\"" BASIS,\n"");
-        c.write(""* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"");
-        c.write(""* See the License for the specific language governing permissions and\n"");
-        c.write(""* limitations under the License.\n"");
-        c.write(""*/\n"");
-        c.write(""\n"");
+            h.write(""/**\n"");
+            h.write(""* Licensed to the Apache Software Foundation (ASF) under one\n"");
+            h.write(""* or more contributor license agreements.  See the NOTICE file\n"");
+            h.write(""* distributed with this work for additional information\n"");
+            h.write(""* regarding copyright ownership.  The ASF licenses this file\n"");
+            h.write(""* to you under the Apache License, Version 2.0 (the\n"");
+            h.write(""* \""License\""); you may not use this file except in compliance\n"");
+            h.write(""* with the License.  You may obtain a copy of the License at\n"");
+            h.write(""*\n"");
+            h.write(""*     http://www.apache.org/licenses/LICENSE-2.0\n"");
+            h.write(""*\n"");
+            h.write(""* Unless required by applicable law or agreed to in writing, software\n"");
+            h.write(""* distributed under the License is distributed on an \""AS IS\"" BASIS,\n"");
+            h.write(""* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"");
+            h.write(""* See the License for the specific language governing permissions and\n"");
+            h.write(""* limitations under the License.\n"");
+            h.write(""*/\n"");
+            h.write(""\n"");
 
-        h.write(""#ifndef __""+mName.toUpperCase().replace('.','_')+""__\n"");
-        h.write(""#define __""+mName.toUpperCase().replace('.','_')+""__\n"");
+            c.write(""/**\n"");
+            c.write(""* Licensed to the Apache Software Foundation (ASF) under one\n"");
+            c.write(""* or more contributor license agreements.  See the NOTICE file\n"");
+            c.write(""* distributed with this work for additional information\n"");
+            c.write(""* regarding copyright ownership.  The ASF licenses this file\n"");
+            c.write(""* to you under the Apache License, Version 2.0 (the\n"");
+            c.write(""* \""License\""); you may not use this file except in compliance\n"");
+            c.write(""* with the License.  You may obtain a copy of the License at\n"");
+            c.write(""*\n"");
+            c.write(""*     http://www.apache.org/licenses/LICENSE-2.0\n"");
+            c.write(""*\n"");
+            c.write(""* Unless required by applicable law or agreed to in writing, software\n"");
+            c.write(""* distributed under the License is distributed on an \""AS IS\"" BASIS,\n"");
+            c.write(""* WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.\n"");
+            c.write(""* See the License for the specific language governing permissions and\n"");
+            c.write(""* limitations under the License.\n"");
+            c.write(""*/\n"");
+            c.write(""\n"");
 
-        h.write(""#include \""recordio.h\""\n"");
-        for (Iterator<JFile> i = mInclFiles.iterator(); i.hasNext();) {
-            JFile f = i.next();
-            h.write(""#include \""""+f.getName()+"".h\""\n"");
-        }
-        // required for compilation from C++
-        h.write(""\n#ifdef __cplusplus\nextern \""C\"" {\n#endif\n\n"");
+            h.write(""#ifndef __"" + mName.toUpperCase().replace('.', '_') + ""__\n"");
+            h.write(""#define __"" + mName.toUpperCase().replace('.', '_') + ""__\n"");
 
-        c.write(""#include <stdlib.h>\n""); // need it for calloc() & free()
-        c.write(""#include \""""+mName+"".h\""\n\n"");
+            h.write(""#include \""recordio.h\""\n"");
+            for (Iterator<JFile> i = mInclFiles.iterator(); i.hasNext(); ) {
+                JFile f = i.next();
+                h.write(""#include \"""" + f.getName() + "".h\""\n"");
+            }
+            // required for compilation from C++
+            h.write(""\n#ifdef __cplusplus\nextern \""C\"" {\n#endif\n\n"");
 
-        for (Iterator<JRecord> i = mRecList.iterator(); i.hasNext();) {
-            JRecord jr = i.next();
-            jr.genCCode(h, c);
-        }
+            c.write(""#include <stdlib.h>\n""); // need it for calloc() & free()
+            c.write(""#include \"""" + mName + "".h\""\n\n"");
 
-        h.write(""\n#ifdef __cplusplus\n}\n#endif\n\n"");
-        h.write(""#endif //""+mName.toUpperCase().replace('.','_')+""__\n"");
+            for (Iterator<JRecord> i = mRecList.iterator(); i.hasNext(); ) {
+                JRecord jr = i.next();
+                jr.genCCode(h, c);
+            }
 
-        h.close();
-        c.close();
+            h.write(""\n#ifdef __cplusplus\n}\n#endif\n\n"");
+            h.write(""#endif //"" + mName.toUpperCase().replace('.', '_') + ""__\n"");
+        } catch (IOException e) {
+            throw e;
+        } finally {
+            if (h != null) {
+                try {
+                    h.close();
+                } catch (IOException ex) {
+                    throw ex;
+                } finally {
+                    if (c != null) {
+                        c.close();
+                    }
+                }
+            }
+            if (c != null) {","[{'comment': ""It's sad that we have to close c twice (one here, one in the finally block earlier.). Findbugs is not happy if either of them is missing. It could be that the flow sensitive engine of findbug need an improvement.\n"", 'commenter': 'hanm'}, {'comment': 'i think try with resources would clean this up. we are on java7 now right?\n', 'commenter': 'breed'}, {'comment': ""Yeah I thought about using try / with  - for some reasons I had the impression that we also need to support JDK 1.6 (that's probably only for 3.4.x). I'll update with try / with.\n"", 'commenter': 'hanm'}]"
102,src/java/main/org/apache/zookeeper/cli/DeleteCommand.java,"@@ -59,11 +59,6 @@ private void retainCompatibility(String[] cmdArgs) throws CliParseException {
         // delete path [version]
         if (args.length > 2) {
             // rewrite to option","[{'comment': 'you can remove the comment too :)\n', 'commenter': 'breed'}]"
