pullNumber,commenter,comment,state,html_url,submitted_at,commented_commitID
153,joshelser,"PasswordToken is only one way that we support authentication. Not all of them have a ""traditional"" password. I would just state that the token is missing or similar.
",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/153#pullrequestreview-241784,2016-09-15T19:57:25Z,0dc335b25933e35115cb4adf4fec7ec29753da47
154,joshelser,"Nit-picky things about throwing exceptions instead of returning null in expected situations.
",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/154#pullrequestreview-645178,2016-09-19T21:50:46Z,8d65fb5219cff62ce328eef99693c0bdc4c5c977
159,ctubbsii,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/159#pullrequestreview-4560262,2016-10-17T22:00:31Z,e701ab62058fc731b3edd40118a0a9d79efbdfc3
163,joshelser,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/163#pullrequestreview-3801636,2016-10-12T02:59:31Z,ca3b8f1414fc4536e9c42921e8b8271025874912
175,mikewalch,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/175#pullrequestreview-6472898,2016-10-31T16:36:35Z,f7a5c15767ccf62f5b6fdc9cfa2f5d8ba3081e26
176,ctubbsii,"Some small punctuation and grammar issues, but nothing worth noting in particular. Content looks good, with only some minor suggestions.
",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/176#pullrequestreview-6340410,2016-10-29T03:00:10Z,6b98fd4e7ecb76075bd0c713867401f614d8fd04
176,joshelser,"Very nice! Some minor fixes but this is a great writeup.
",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/176#pullrequestreview-6370884,2016-10-30T20:35:21Z,6b98fd4e7ecb76075bd0c713867401f614d8fd04
187,drewfarris,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/187#pullrequestreview-9745813,2016-11-22T20:13:07Z,d95118fa1dd91d242e870b53c61893b97cbf3184
194,ctubbsii,"You should run `mvn clean verify -DskipITs`, and make any changes necessary for things to succeed. This will also format the code. You should commit any changes from formatting the code and fixing checkstyle errors and update the PR with those changes (pushing to the branch will update the PR).",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/194#pullrequestreview-14234075,2016-12-22T21:35:11Z,38f9912167262bad5d1b023eb2cd913999832247
194,joshelser,"I think I ended up commenting more on the hacks that I had put in originally (which you've now inherited), but this is some nice progress! Good work, @lstav.

I think it would be prudent to make progress on the ""packaging"" and ""jackson-or-sparkjava"" questions that are outstanding. Once we get to a place where this new server is more ""standard"" with the rest of the Accumulo service startup/configuration, it will be easier to continue to test.

After we get that working standalone, then we can start writing some simple unit tests against these new pojos. That was one of the major goals that I had originally.

One final comment, I think we should re-target the merge into a feature branch instead of landing it into master. I think getting code into the Apache repository is a good forcing-factor on us all to think about and work on this; however, I do not believe this is stable enough to go into the master branch yet.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/194#pullrequestreview-14355959,2016-12-24T18:23:26Z,d84f3ccc4ebb842769195c1f0e029b0644a1e0f9
196,joshelser,"Thanks for putting this one together, Luis! Just the one minor suggestion.",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/196#pullrequestreview-14707678,2016-12-29T20:23:49Z,9a88d9dc01cb85842e3b25b959e8feeda03c00a5
210,keith-turner,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/210#pullrequestreview-19851298,2017-02-02T18:14:59Z,41db183ee9bef6fd3d8b688710d0f9c5996d8740
220,joshelser,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/220#pullrequestreview-23545811,2017-02-23T18:12:45Z,579762aa3e71d2a0513b4d122a9d68e62fa094e0
221,joshelser,"Nice change with docs.

One open-ended question: how can we make sure that log-forwarding works with the removal of MonitorLoggingIT? Do we need to extend MAC to allow us to configure log4j better and test this?",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/221#pullrequestreview-23772658,2017-02-24T18:03:17Z,20ed875a515829d6d9e6d060cc909c2a3a51b786
228,joshelser,I am -1 on these changes as it breaks functionality of the StandaloneCluster in the case where configuration files are rw-only by the Accumulo user only.,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/228#pullrequestreview-25368921,2017-03-06T21:35:36Z,310323a306fe3adcb353e559f2bec635ebcfb106
242,joshelser,"Nice work here, Luis! Good on you to stick with this.

A couple of general comments:

* I see some pojo classes have `@XmlAttribute` on the member variables, and others don't? Why the inconsistency (when the name isn't being overridden)?
* Might just be me, but I'd prefer to see consistency on the variable declaration (one per line) and only set an initial value when it doesn't involve instantiating a new object. I don't remember what Accumulo's ""style"" actually says.
* All of those pojos also leave the member variables public. Can we not encapsulate them and expose them with getters? I am pretty sure that Jackson supports this.
* Some minor whitespace things. Extra newlines at the start of a method body which are just bloat.
* Any cross-browser testing? e.g. FF, Chrome, IE?",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/242#pullrequestreview-31218934,2017-04-06T04:35:47Z,719033eb92c71df0cba206ca5966d8fb271337bc
244,joshelser,"Overall, I think you should provide some context as to why you've made these changes. Someone else looking back would have no reason as to why you made these changes.

I'm quite astounded that the benchmarks showed these changes are faster than previous (notably, the SynchronizedFilter).",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/244#pullrequestreview-33814304,2017-04-20T16:18:43Z,6b1712af5d65d8d811c240ed0092696b09bcf700
250,phrocker,"How about an alternative: Store this information into an Accumulo table, and avoid storing anything into Accumulo. Provides us the benefit of security. it could then be a contrib. 

In a multi-tenant system how would you protect the ZK entries?",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/250#pullrequestreview-33592840,2017-04-19T19:10:11Z,c22031a9c67769bb0a90cbeeb9e935dd8accafbc
256,joshelser,A test that verifies that other block cache implementations can be loaded would be great (since we have implicit testing that the default can be loaded).,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/256#pullrequestreview-36811530,2017-05-08T16:05:12Z,03a8f2acfb4f95b545c47a4e681dd5b8fa585c94
256,mjwall,"'mvn clean install' fails with checkstyle errors, findbug errors and animal sniffer errors
",CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/256#pullrequestreview-37612211,2017-05-11T17:57:29Z,d98fba14b226b7c47a7700876e16c832c3100806
270,phrocker,,CHANGES_REQUESTED,https://github.com/apache/accumulo/pull/270#pullrequestreview-45214638,2017-06-20T17:45:02Z,84e815786f78c9391962ffd788265946abe546d2
